tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,total_other_finance_cost,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-922671.0,0.243,427911000.0,-3797000.0,-3797000.0,274585000.0,58461000.0,1375976000.0,424114000.0,365653000.0,849000.0,849000.0,277459329.0,274585000.0,1973140000.0,361856000.0,51418000.0,51131000.0,5.34,5.37,274585000.0,274585000.0,274585000.0,274585000.0,274585000.0,88120000.0,362705000.0,-3797000.0,-3797000.0,3797000.0,849000.0,-849000.0,849000.0,365653000.0,597164000.0,3797000.0,597164000.0,962817000.0,1375976000.0,2338793000.0,2338793000.0,2022-10-31
-536294.248179,0.246119,511166000.0,-2179000.0,-2179000.0,340751000.0,59190000.0,2014270000.0,508987000.0,449797000.0,4378000.0,,342393705.751821,340751000.0,2776976000.0,447618000.0,50976000.0,50624000.0,6.68,6.73,340751000.0,340751000.0,340751000.0,340751000.0,340751000.0,111245000.0,451996000.0,-2179000.0,-2179000.0,2179000.0,4378000.0,-4378000.0,,449797000.0,762706000.0,2179000.0,762706000.0,1212503000.0,2014270000.0,3226773000.0,3226773000.0,2023-01-31
-150024.0,0.228,501335000.0,-658000.0,-658000.0,347051000.0,57949000.0,1579406000.0,500677000.0,442728000.0,7348000.0,,347558976.0,347051000.0,2191535000.0,442070000.0,50469000.0,50153000.0,6.88,6.92,347051000.0,347051000.0,347051000.0,347051000.0,347051000.0,102367000.0,449418000.0,-658000.0,-658000.0,658000.0,7348000.0,-7348000.0,,442728000.0,612129000.0,658000.0,612129000.0,1054857000.0,1579406000.0,2634263000.0,2634263000.0,2023-04-30
-309276.0,0.242,456111000.0,-1278000.0,-1278000.0,300102000.0,61913000.0,1536197000.0,454833000.0,392920000.0,4449000.0,,301070724.0,300102000.0,2136889000.0,391642000.0,49849000.0,49617000.0,6.02,6.05,300102000.0,300102000.0,300102000.0,300102000.0,300102000.0,95989000.0,396091000.0,-1278000.0,-1278000.0,1278000.0,4449000.0,-4449000.0,,392920000.0,600692000.0,1278000.0,600692000.0,993612000.0,1536197000.0,2529809000.0,2529809000.0,2023-07-31
-840780.0,0.243,395558000.0,-3460000.0,-3460000.0,249483000.0,61411000.0,1496866000.0,392098000.0,330687000.0,2497000.0,2497000.0,252102220.0,249483000.0,2158246000.0,327227000.0,49226000.0,49007000.0,5.07,5.09,249483000.0,249483000.0,249483000.0,249483000.0,249483000.0,80241000.0,329724000.0,-3460000.0,-3460000.0,3460000.0,2497000.0,,2497000.0,330687000.0,661380000.0,,661380000.0,992067000.0,1496866000.0,2488933000.0,2488933000.0,2023-10-31
-754233.300923,0.242207,585885000.0,-3114000.0,-3114000.0,394369000.0,62567000.0,2213734000.0,582771000.0,520204000.0,3328000.0,,396728766.699077,394369000.0,3034094000.0,517090000.0,,,,,394369000.0,394369000.0,394369000.0,394369000.0,394369000.0,126049000.0,520418000.0,-3114000.0,-3114000.0,3114000.0,3328000.0,,,520204000.0,820360000.0,,820360000.0,1340564000.0,2213734000.0,3554298000.0,3554298000.0,2024-01-31
