tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,excise_taxes,operating_revenue,date
-860197620.0,0.34,7819269000.0,-2529993000.0,-2529993000.0,4966828000.0,1632310000.0,10985287000.0,5289276000.0,3656966000.0,1535206000.0,-670495000.0,542708000.0,6636623380.0,4966828000.0,17277296000.0,5428458000.0,15848400000.0,15741600000.0,0.33,0.33,4966828000.0,4966828000.0,4966828000.0,-116480000.0,5083308000.0,5083308000.0,-755847000.0,4327461000.0,-2623460000.0,,221149000.0,23848000.0,-261512000.0,47611000.0,-21136000.0,-2751142000.0,1535206000.0,-322003000.0,-670495000.0,542708000.0,5415715000.0,6292009000.0,-587613000.0,126326000.0,6753296000.0,5299070000.0,1454226000.0,1454226000.0,11707724000.0,10985287000.0,22693011000.0,7197920000.0,35488636000.0,2022-12-31
-5277767.1,0.0151,6418205000.0,-349521000.0,-349521000.0,3699575000.0,1526837000.0,10131684000.0,6068684000.0,4541847000.0,-589749000.0,664183000.0,361217000.0,4043818232.9,3699575000.0,15700637000.0,4889698000.0,15844004283.0,15742872340.0,0.2335,0.235,3699575000.0,3699575000.0,3699575000.0,-119674000.0,3819249000.0,3819249000.0,58415000.0,3877664000.0,-363693000.0,,290103000.0,28077000.0,-289915000.0,27889000.0,-14172000.0,-639624000.0,-589749000.0,286783000.0,664183000.0,361217000.0,4831106000.0,5568953000.0,-452999000.0,58404000.0,5963548000.0,4657996000.0,1305552000.0,1305552000.0,10400059000.0,10131684000.0,20531743000.0,6239600000.0,31805237000.0,2023-03-31
-315436020.0,0.34,5306039000.0,-927753000.0,-927753000.0,2502974000.0,1703919000.0,9635609000.0,4378286000.0,2674367000.0,-189667000.0,302434000.0,522958000.0,3115290980.0,2502974000.0,15405725000.0,3447848000.0,15851640279.0,15751881687.0,0.1579,0.1589,2502974000.0,2502974000.0,2502974000.0,-94786000.0,2597760000.0,2597760000.0,-225827000.0,2371933000.0,-930789000.0,-605000.0,-6092000.0,14496000.0,-7818000.0,28406000.0,-2431000.0,-921661000.0,-189667000.0,410191000.0,302434000.0,522958000.0,3492389000.0,5770116000.0,-382546000.0,64984000.0,6087678000.0,4772074000.0,1315604000.0,1315604000.0,9262505000.0,9635609000.0,18898114000.0,5907359000.0,28604820000.0,2023-06-30
-3609991.0,0.011,6733927000.0,-328181000.0,-328181000.0,3911740000.0,1671482000.0,10223018000.0,6405746000.0,4734264000.0,-471275000.0,674582000.0,438016000.0,4236311009.0,3911740000.0,15498235000.0,4896138000.0,15843418388.0,15747745572.0,0.2469,0.2484,3911740000.0,3911740000.0,3911740000.0,-103264000.0,4015004000.0,4015004000.0,44678000.0,4059682000.0,-288573000.0,38168000.0,141213000.0,11978000.0,-145342000.0,16107000.0,1440000.0,-469394000.0,-471275000.0,234709000.0,674582000.0,438016000.0,4819530000.0,5275217000.0,-424589000.0,43105000.0,5656701000.0,4384677000.0,1272024000.0,1272024000.0,10094747000.0,10223018000.0,20317765000.0,6384749000.0,31325320000.0,2023-09-30
-72204482.358962,0.04194,8676299000.0,-1721618000.0,-1721618000.0,4387611000.0,1512962000.0,9301289000.0,6954681000.0,5441719000.0,948650000.0,715098000.0,882609000.0,6037024517.641038,4387611000.0,14190227000.0,5597316000.0,,,,,4387611000.0,4387611000.0,4387611000.0,-140776000.0,4528387000.0,4528387000.0,198234000.0,4726621000.0,-2021080000.0,,-463794000.0,31849000.0,458645000.0,36998000.0,-170137000.0,-1257824000.0,948650000.0,-781139000.0,715098000.0,882609000.0,5799051000.0,4888938000.0,-556128000.0,-189137000.0,5634203000.0,4348353000.0,1285850000.0,1285850000.0,10687989000.0,9301289000.0,19989278000.0,6695792000.0,28382323000.0,2023-12-31
