tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,depreciation_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,rent_and_landing_fees,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.241895,468100000.0,0.0,0.0,298000000.0,32200000.0,5828600000.0,468100000.0,435900000.0,-41100000.0,41100000.0,298000000.0,298000000.0,6676300000.0,94600000.0,335500000.0,70800000.0,70800000.0,4.21,4.21,298000000.0,298000000.0,298000000.0,-1300000.0,299300000.0,0.0,299300000.0,95500000.0,394800000.0,100400000.0,0.0,100400000.0,-41100000.0,41100000.0,335500000.0,847700000.0,32200000.0,32200000.0,32200000.0,815500000.0,29600000.0,785900000.0,181600000.0,94600000.0,509700000.0,1183200000.0,5828600000.0,7011800000.0,7011800000.0,2022-12-31
0.0,0.264,489500000.0,,,298300000.0,33900000.0,6086700000.0,489500000.0,455600000.0,-48700000.0,48700000.0,298300000.0,298300000.0,6965500000.0,95400000.0,373500000.0,69218861.0,69201232.0,4.31,4.31,298300000.0,298300000.0,298300000.0,-1300000.0,299600000.0,,299600000.0,107300000.0,406900000.0,82100000.0,,82100000.0,-48700000.0,48700000.0,373500000.0,878800000.0,33900000.0,33900000.0,33900000.0,844900000.0,32300000.0,812600000.0,211500000.0,95400000.0,505700000.0,1252300000.0,6086700000.0,7339000000.0,7339000000.0,2023-03-31
0.0,0.244,489400000.0,,,300800000.0,34100000.0,6195500000.0,489400000.0,455300000.0,-55000000.0,55000000.0,300800000.0,300800000.0,7087700000.0,97700000.0,380800000.0,68190828.0,68175825.0,4.41,4.41,300800000.0,300800000.0,300800000.0,-1800000.0,302600000.0,,302600000.0,97700000.0,400300000.0,74500000.0,,74500000.0,-55000000.0,55000000.0,380800000.0,892200000.0,34100000.0,34100000.0,34100000.0,858100000.0,35200000.0,822900000.0,206900000.0,97700000.0,518300000.0,1273000000.0,6195500000.0,7468500000.0,7468500000.0,2023-06-30
0.0,0.258,451900000.0,,,263400000.0,35400000.0,6227400000.0,451900000.0,416500000.0,-60000000.0,60000000.0,263400000.0,263400000.0,7116300000.0,97400000.0,331500000.0,67267230.0,67252265.0,3.92,3.92,263400000.0,263400000.0,263400000.0,-1000000.0,264400000.0,,264400000.0,92100000.0,356500000.0,85000000.0,,85000000.0,-60000000.0,60000000.0,331500000.0,888900000.0,35400000.0,35400000.0,35400000.0,853500000.0,35100000.0,818400000.0,210700000.0,97400000.0,510300000.0,1220400000.0,6227400000.0,7447800000.0,7447800000.0,2023-09-30
0.0,0.249414,355400000.0,,,190700000.0,37600000.0,6084000000.0,355400000.0,317800000.0,-62000000.0,62000000.0,190700000.0,190700000.0,6965700000.0,98700000.0,265700000.0,67200000.0,67200000.0,2.84,2.84,190700000.0,190700000.0,190700000.0,-1300000.0,192000000.0,,192000000.0,63800000.0,255800000.0,11400000.0,,52100000.0,-62000000.0,62000000.0,306400000.0,881700000.0,37600000.0,37600000.0,37600000.0,844100000.0,33200000.0,810900000.0,210600000.0,98700000.0,501600000.0,1188100000.0,6084000000.0,7272100000.0,7272100000.0,2023-12-31
