treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_revenue,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,current_deferred_assets,prepaid_assets,receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
,144210000.0,144210000.0,54597000.0,1219253000.0,323461000.0,1570817000.0,1122078000.0,323461000.0,79711000.0,431275000.0,1570817000.0,431275000.0,431275000.0,-37824000.0,-37824000.0,-956201000.0,1425156000.0,144000.0,144000.0,,2404457000.0,1293174000.0,9958000.0,92609000.0,92609000.0,1190607000.0,51065000.0,1139542000.0,1111283000.0,913104000.0,913104000.0,28646000.0,28646000.0,79587000.0,89946000.0,60229000.0,29717000.0,29717000.0,2835732000.0,602371000.0,23465000.0,211468000.0,107814000.0,29267000.0,78547000.0,259624000.0,-132009000.0,391633000.0,7339000.0,290897000.0,93397000.0,0.0,2233361000.0,49849000.0,90004000.0,49849000.0,268718000.0,268718000.0,1824790000.0,739845000.0,1084945000.0,2022-10-31
,145087000.0,145087000.0,,1215922000.0,423394000.0,1669173000.0,1212105000.0,423394000.0,75406000.0,528657000.0,1669173000.0,528657000.0,528657000.0,-5037000.0,-5037000.0,-1013654000.0,1547203000.0,145000.0,145000.0,,2511299000.0,1307295000.0,9025000.0,111521000.0,111521000.0,1186749000.0,46233000.0,1140516000.0,1204004000.0,1000359000.0,1000359000.0,29173000.0,29173000.0,97293000.0,77179000.0,43547000.0,33632000.0,33632000.0,3039956000.0,623847000.0,29222000.0,219046000.0,105263000.0,26716000.0,78547000.0,270316000.0,-147114000.0,417430000.0,7339000.0,303949000.0,106142000.0,0.0,2416109000.0,56046000.0,96105000.0,,358614000.0,358614000.0,1905344000.0,648332000.0,1257012000.0,2023-01-31
,145874000.0,145874000.0,,1214778000.0,483241000.0,1742114000.0,1238108000.0,483241000.0,73938000.0,601274000.0,1742114000.0,601274000.0,601274000.0,-102000.0,-102000.0,-1059700000.0,1660930000.0,146000.0,146000.0,,2599438000.0,1310296000.0,10100000.0,116472000.0,116472000.0,1183724000.0,42884000.0,1140840000.0,1289142000.0,1058901000.0,1058901000.0,31054000.0,31054000.0,123195000.0,75992000.0,51209000.0,24783000.0,24783000.0,3200712000.0,673462000.0,31798000.0,232304000.0,118033000.0,28841000.0,89192000.0,291327000.0,-162526000.0,453853000.0,7404000.0,328524000.0,117925000.0,0.0,2527250000.0,78608000.0,103896000.0,,376339000.0,376339000.0,1968407000.0,693110000.0,1275297000.0,2023-04-30
,147169000.0,147169000.0,,1210545000.0,610061000.0,1859271000.0,1354446000.0,610061000.0,76386000.0,725112000.0,1859271000.0,725112000.0,725112000.0,-1576000.0,-1576000.0,-1090374000.0,1816915000.0,147000.0,147000.0,0.0,2883205000.0,1347337000.0,12728000.0,158533000.0,158533000.0,1176076000.0,41917000.0,1134159000.0,1535868000.0,1281143000.0,1281143000.0,34469000.0,34469000.0,136800000.0,83456000.0,64975000.0,18481000.0,18481000.0,3608317000.0,718003000.0,30519000.0,259407000.0,115051000.0,25859000.0,89192000.0,313026000.0,-176424000.0,489450000.0,7608000.0,351522000.0,130320000.0,0.0,2890314000.0,91619000.0,115827000.0,,582636000.0,582636000.0,2100232000.0,838026000.0,1262206000.0,2023-07-31
0.0,148313000.0,148313000.0,,1215770000.0,689487000.0,1941551000.0,1417172000.0,689487000.0,81744000.0,807525000.0,1941551000.0,807525000.0,807525000.0,-17955000.0,-17955000.0,-1123857000.0,1949189000.0,148000.0,148000.0,,2828059000.0,1353641000.0,20993000.0,155016000.0,155016000.0,1177632000.0,43606000.0,1134026000.0,1474418000.0,1244528000.0,1244528000.0,38138000.0,38138000.0,97568000.0,94184000.0,70950000.0,23234000.0,23234000.0,3635584000.0,743994000.0,29841000.0,253386000.0,118038000.0,25623000.0,92415000.0,342729000.0,-192725000.0,535454000.0,7960000.0,384616000.0,142878000.0,0.0,2891590000.0,80926000.0,119417000.0,,366843000.0,366843000.0,2324404000.0,962681000.0,1361723000.0,2023-10-31
,149758000.0,149758000.0,,1233690000.0,843901000.0,2099867000.0,1558803000.0,843901000.0,92679000.0,958856000.0,2099867000.0,958856000.0,958856000.0,-3009000.0,-3009000.0,-1152326000.0,2114041000.0,150000.0,150000.0,,2975370000.0,1391465000.0,16789000.0,185759000.0,185759000.0,1188917000.0,47906000.0,1141011000.0,1583905000.0,1316416000.0,1316416000.0,44773000.0,44773000.0,137362000.0,85354000.0,68217000.0,17137000.0,17137000.0,3934226000.0,791518000.0,38381000.0,255883000.0,114955000.0,22540000.0,92415000.0,382299000.0,-208361000.0,590660000.0,8278000.0,424482000.0,157900000.0,0.0,3142708000.0,77702000.0,125591000.0,,479611000.0,479611000.0,2459804000.0,1021218000.0,1438586000.0,2024-01-31
