tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.21,-48629000.0,,,-68162000.0,14428000.0,76697000.0,-48629000.0,-63057000.0,6534000.0,359000.0,7865000.0,-68162000.0,-68162000.0,424635000.0,-69087000.0,143476000.0,143476000.0,-0.48,-0.48,-68162000.0,-68162000.0,-68162000.0,-68162000.0,-68162000.0,4746000.0,-63416000.0,-863000.0,-863000.0,,,6534000.0,972000.0,359000.0,7865000.0,-69087000.0,347938000.0,74946000.0,272992000.0,228836000.0,44156000.0,44156000.0,278851000.0,76697000.0,355548000.0,355548000.0,2022-10-31
0.0,0.21,-37485000.0,,,-57453000.0,15916000.0,87604000.0,-37485000.0,-53401000.0,11336000.0,360000.0,12669000.0,-57453000.0,-57453000.0,452836000.0,-65238000.0,144511000.0,144511000.0,-0.4,-0.4,-57453000.0,-57453000.0,-57453000.0,-57453000.0,-57453000.0,3692000.0,-53761000.0,141000.0,141000.0,,,11336000.0,973000.0,360000.0,12669000.0,-65238000.0,365232000.0,85765000.0,279467000.0,235945000.0,43522000.0,43522000.0,299994000.0,87604000.0,387598000.0,387598000.0,2023-01-31
-1323210.0,0.21,-14174000.0,-6301000.0,-6301000.0,-46046000.0,17503000.0,95849000.0,-20475000.0,-37978000.0,17194000.0,1383000.0,18577000.0,-41068210.0,-46046000.0,468245000.0,-55746000.0,145354000.0,145354000.0,-0.32,-0.32,-46046000.0,-46046000.0,-46046000.0,-46046000.0,-46046000.0,6685000.0,-39361000.0,-7110000.0,-809000.0,-6301000.0,6301000.0,17194000.0,,1383000.0,18577000.0,-49445000.0,372396000.0,92637000.0,279759000.0,236273000.0,43486000.0,43486000.0,322951000.0,95849000.0,418800000.0,418800000.0,2023-04-30
-272790.0,0.21,-3264000.0,-1299000.0,-1299000.0,-30674000.0,18969000.0,102682000.0,-4563000.0,-23532000.0,18857000.0,2494000.0,21351000.0,-29647790.0,-30674000.0,498259000.0,-44552000.0,146424000.0,146424000.0,-0.21,-0.21,-30674000.0,-30674000.0,-30674000.0,-30674000.0,-30674000.0,4648000.0,-26026000.0,-1630000.0,-331000.0,-1299000.0,1299000.0,18857000.0,,2494000.0,21351000.0,-43253000.0,395577000.0,96387000.0,298417000.0,29757000.0,268660000.0,-26671000.0,352324000.0,102682000.0,455006000.0,455006000.0,2023-07-31
0.0,0.21,-5306000.0,,,-33483000.0,16998000.0,111394000.0,-5306000.0,-22304000.0,22783000.0,2182000.0,25942000.0,-33483000.0,-33483000.0,542760000.0,-46057000.0,147625000.0,147625000.0,-0.23,-0.23,-33483000.0,-33483000.0,-33483000.0,-33483000.0,-33483000.0,8997000.0,-24486000.0,-1212000.0,-1212000.0,,,22783000.0,977000.0,2182000.0,25942000.0,-46057000.0,431366000.0,113539000.0,317827000.0,267111000.0,50716000.0,50716000.0,385309000.0,111394000.0,496703000.0,496703000.0,2023-10-31
0.0,0.4,604000.0,,,-28469000.0,18482000.0,117199000.0,604000.0,-17878000.0,24780000.0,2627000.0,28385000.0,-28469000.0,-28469000.0,570456000.0,-45457000.0,148951000.0,148951000.0,-0.19,-0.19,-28469000.0,-28469000.0,-28469000.0,-28469000.0,-28469000.0,7964000.0,-20505000.0,172000.0,172000.0,,,24780000.0,978000.0,2627000.0,28385000.0,-45457000.0,453257000.0,122181000.0,331076000.0,276481000.0,54595000.0,54595000.0,407800000.0,117199000.0,524999000.0,524999000.0,2024-01-31
