tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-54610000.0,0.254,980000000.0,-215000000.0,-215000000.0,394000000.0,181000000.0,1219000000.0,765000000.0,584000000.0,-26000000.0,52000000.0,26000000.0,554390000.0,394000000.0,3849000000.0,556000000.0,360400000.0,357700000.0,1.09,1.1,394000000.0,394000000.0,394000000.0,-3000000.0,397000000.0,397000000.0,135000000.0,532000000.0,-213000000.0,2000000.0,-215000000.0,207000000.0,8000000.0,-26000000.0,52000000.0,26000000.0,771000000.0,2630000000.0,2630000000.0,3401000000.0,1219000000.0,4620000000.0,4620000000.0,2022-12-31
-2940000.0,0.21,541000000.0,-14000000.0,-14000000.0,156000000.0,189000000.0,1159000000.0,527000000.0,338000000.0,-21000000.0,58000000.0,37000000.0,167060000.0,156000000.0,3440000000.0,297000000.0,361200000.0,357900000.0,0.43,0.44,156000000.0,156000000.0,156000000.0,1000000.0,155000000.0,155000000.0,125000000.0,280000000.0,-10000000.0,4000000.0,-14000000.0,0.0,14000000.0,-21000000.0,58000000.0,37000000.0,311000000.0,2281000000.0,2281000000.0,2592000000.0,1159000000.0,3751000000.0,3751000000.0,2023-03-31
-10333333.333333,0.333333,278000000.0,-31000000.0,-31000000.0,-33000000.0,196000000.0,1163000000.0,247000000.0,51000000.0,-46000000.0,99000000.0,53000000.0,-12333333.333333,-33000000.0,3583000000.0,-5000000.0,358300000.0,358300000.0,-0.09,-0.09,-33000000.0,-33000000.0,-33000000.0,-1000000.0,-32000000.0,-32000000.0,-16000000.0,-48000000.0,-28000000.0,3000000.0,-31000000.0,0.0,31000000.0,-46000000.0,99000000.0,53000000.0,26000000.0,2420000000.0,2420000000.0,2446000000.0,1163000000.0,3609000000.0,3636000000.0,2023-06-30
-217000.0,0.217,345000000.0,-1000000.0,-1000000.0,31000000.0,203000000.0,1070000000.0,344000000.0,141000000.0,-54000000.0,95000000.0,41000000.0,31783000.0,31000000.0,3419000000.0,98000000.0,360500000.0,358400000.0,0.09,0.09,31000000.0,31000000.0,31000000.0,-5000000.0,36000000.0,36000000.0,10000000.0,46000000.0,1000000.0,2000000.0,-1000000.0,,1000000.0,-54000000.0,95000000.0,41000000.0,99000000.0,2349000000.0,2349000000.0,2448000000.0,1070000000.0,3518000000.0,3518000000.0,2023-09-30
-2632000.0,0.376,829000000.0,-7000000.0,-7000000.0,313000000.0,205000000.0,1154000000.0,822000000.0,617000000.0,-58000000.0,98000000.0,40000000.0,317368000.0,313000000.0,3698000000.0,574000000.0,360000000.0,358700000.0,0.87,0.87,313000000.0,313000000.0,313000000.0,-11000000.0,324000000.0,324000000.0,195000000.0,519000000.0,-4000000.0,3000000.0,-7000000.0,0.0,7000000.0,-58000000.0,98000000.0,40000000.0,581000000.0,2544000000.0,2544000000.0,3125000000.0,1154000000.0,4279000000.0,4279000000.0,2023-12-31
