treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,derivative_product_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,payables_and_accrued_expenses,payables,dividends_payable,accounts_payable,total_assets,investments_and_advances,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,receivables,accounts_receivable,cash_and_cash_equivalents,date,current_debt_and_capital_lease_obligation,current_debt,line_of_credit
,62800000.0,468309810.0,468309810.0,7218295000.0,8795009000.0,7968986000.0,18528883000.0,9505555000.0,9733874000.0,1536569000.0,20065452000.0,11369426000.0,98983000.0,11270443000.0,-3708896000.0,-3708896000.0,-9543233000.0,22981320000.0,1541252000.0,4683000.0,1536569000.0,70481286000.0,204172000.0,8795009000.0,8795009000.0,1895239000.0,1895239000.0,412113000.0,1483126000.0,81850712000.0,65789907000.0,65789907000.0,1764888000.0,1764888000.0,,1212392000.0,1212392000.0,1576714000.0,2022-12-31,,,
,63500000.0,493880938.0,493880938.0,9573341000.0,9729342000.0,9395116000.0,19984895000.0,10931685000.0,10255553000.0,1536569000.0,21521464000.0,11909033000.0,116911000.0,11792122000.0,-2550614000.0,-2550614000.0,-10741863000.0,23543091000.0,1541508000.0,4939000.0,1536569000.0,74922984000.0,473515000.0,9729342000.0,9729342000.0,3698452000.0,3698452000.0,321023000.0,3377429000.0,86832017000.0,7068330000.0,7068330000.0,860437000.0,844516000.0,15921000.0,1452818000.0,1452818000.0,156001000.0,2023-03-31,,,
,63500000.0,493893288.0,493893288.0,10604722000.0,10781589000.0,9334111000.0,21021299000.0,10870680000.0,10239710000.0,1536569000.0,22557868000.0,11887345000.0,111066000.0,11776279000.0,-2382531000.0,-2382531000.0,-10933044000.0,23550346000.0,1541508000.0,4939000.0,1536569000.0,77443132000.0,156182000.0,10781589000.0,10781589000.0,4792966000.0,4792966000.0,321031000.0,4471935000.0,89330477000.0,8181355000.0,8181355000.0,905599000.0,905599000.0,,1731979000.0,1731979000.0,176867000.0,2023-06-30,,,
0.0,63500000.0,494814038.0,494814038.0,10897668000.0,11272289000.0,7916108000.0,20300190000.0,9452677000.0,9027901000.0,1536569000.0,21836759000.0,10677057000.0,112587000.0,10564470000.0,-2694776000.0,-2694776000.0,-11855267000.0,23572996000.0,1541517000.0,4948000.0,1536569000.0,78971366000.0,97616000.0,11272289000.0,11272289000.0,2734032000.0,2734032000.0,321629000.0,2412403000.0,89648423000.0,3976314000.0,3976314000.0,1111793000.0,1111793000.0,,2206214000.0,2206214000.0,374621000.0,2023-09-30,,,
,62800000.0,500080287.0,500080287.0,12928323000.0,13204173000.0,9366201000.0,22923397000.0,10902770000.0,9719224000.0,1536569000.0,23959966000.0,11345091000.0,89298000.0,11255793000.0,-1335400000.0,-1335400000.0,-12622768000.0,23672391000.0,1541570000.0,5001000.0,1536569000.0,81882145000.0,302295000.0,12704173000.0,12704173000.0,3862378000.0,3862378000.0,325052000.0,3537326000.0,93227236000.0,4213317000.0,4213317000.0,353023000.0,353023000.0,,3932929000.0,3932929000.0,275850000.0,2023-12-31,500000000.0,500000000.0,500000000.0
