tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,gain_on_sale_of_ppe,other_special_charges,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
1560545.944569,0.113651,245773000.0,13731000.0,13731000.0,66103000.0,147239000.0,173825000.0,259504000.0,112265000.0,-37135000.0,37686000.0,551000.0,53932545.944569,66103000.0,439187000.0,110054000.0,101765520.0,101699470.0,0.65,0.65,66011000.0,66011000.0,92000.0,66103000.0,,66103000.0,66103000.0,8476000.0,74579000.0,15391000.0,13731000.0,13731000.0,,1660000.0,-37135000.0,37686000.0,551000.0,96323000.0,265362000.0,,147239000.0,147239000.0,118123000.0,118123000.0,118123000.0,361685000.0,173825000.0,535510000.0,535510000.0,2022-12-31
61824.0,0.023,189877000.0,2688000.0,2688000.0,76041000.0,73125000.0,168432000.0,192565000.0,119440000.0,-40983000.0,41444000.0,461000.0,73414824.0,76041000.0,355219000.0,118801000.0,101963563.0,101792317.0,0.74,0.75,75950000.0,75950000.0,91000.0,76041000.0,-157000.0,76198000.0,76198000.0,1798000.0,77996000.0,2866000.0,2688000.0,2688000.0,,178000.0,-40983000.0,41444000.0,461000.0,116113000.0,186787000.0,,73125000.0,73125000.0,113662000.0,113662000.0,113662000.0,302900000.0,168432000.0,471332000.0,471332000.0,2023-03-31
40224.0,0.024,251199000.0,1676000.0,1676000.0,130620000.0,75158000.0,171783000.0,252875000.0,177717000.0,-43172000.0,43649000.0,477000.0,128984224.0,130620000.0,366022000.0,176791000.0,102104429.0,101917200.0,1.28,1.28,130529000.0,130529000.0,91000.0,130620000.0,-268000.0,130888000.0,130888000.0,3180000.0,134068000.0,2125000.0,1676000.0,1676000.0,,449000.0,-43172000.0,43649000.0,477000.0,175115000.0,194239000.0,28556000.0,75158000.0,75158000.0,90525000.0,90525000.0,90525000.0,369354000.0,171783000.0,541137000.0,541137000.0,2023-06-30
20628.0,0.027,263210000.0,764000.0,764000.0,140017000.0,74636000.0,175188000.0,263974000.0,189338000.0,-44449000.0,45070000.0,621000.0,139273628.0,140017000.0,355355000.0,188133000.0,102130614.0,101960356.0,1.37,1.37,139926000.0,139926000.0,91000.0,140017000.0,-408000.0,140425000.0,140425000.0,3843000.0,144268000.0,1463000.0,764000.0,879000.0,115000.0,699000.0,-44449000.0,45070000.0,621000.0,187254000.0,180167000.0,24248000.0,74636000.0,74636000.0,81283000.0,81283000.0,81283000.0,367421000.0,175188000.0,542609000.0,542609000.0,2023-09-30
1477.123618,0.006394,264908000.0,231000.0,231000.0,149085000.0,70504000.0,181396000.0,265139000.0,194635000.0,-43793000.0,44349000.0,556000.0,148855477.123618,149085000.0,364431000.0,191709000.0,,,,,148993000.0,148993000.0,92000.0,149085000.0,-240000.0,149325000.0,149325000.0,961000.0,150286000.0,2601000.0,231000.0,231000.0,0.0,2370000.0,-43793000.0,44349000.0,556000.0,191478000.0,183035000.0,24694000.0,70504000.0,70504000.0,87837000.0,87837000.0,87837000.0,374513000.0,181396000.0,555909000.0,555909000.0,2023-12-31
