treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,commercial_paper,payables_and_accrued_expenses,current_accrued_expenses,payables,dividends_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,finished_goods,work_in_process,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
,522000000.0,522000000.0,6780700000.0,11680800000.0,13167100000.0,24638700000.0,15319000000.0,13167100000.0,209200000.0,13167100000.0,21373200000.0,13167100000.0,13167100000.0,-953400000.0,-953400000.0,,13402400000.0,196100000.0,522000000.0,522000000.0,20108400000.0,10529800000.0,2114500000.0,624400000.0,624400000.0,8415300000.0,209200000.0,8206100000.0,9578600000.0,1465200000.0,,,3265500000.0,3265500000.0,3265500000.0,4847900000.0,1381400000.0,3466500000.0,974600000.0,2491900000.0,33275500000.0,8377900000.0,2106200000.0,6271700000.0,-5344000000.0,11615700000.0,424100000.0,4226500000.0,5086600000.0,1608600000.0,269900000.0,0.0,24897600000.0,682000000.0,2198800000.0,871800000.0,1327000000.0,15711700000.0,15711700000.0,-121700000.0,15833400000.0,6305100000.0,1614200000.0,4690900000.0,2022-12-31
40000.0,522560000.0,522600000.0,7505700000.0,11915800000.0,13882000000.0,25797800000.0,15958400000.0,13882000000.0,,13882000000.0,21939000000.0,13882000000.0,13882000000.0,-873200000.0,-873200000.0,3000000.0,14005300000.0,230300000.0,522600000.0,522600000.0,20944400000.0,10584700000.0,2527700000.0,,,8057000000.0,,8057000000.0,10359700000.0,,193500000.0,193500000.0,3858800000.0,3858800000.0,,6307400000.0,,6307400000.0,,6307400000.0,34826400000.0,8508300000.0,2293500000.0,6214800000.0,,6214800000.0,,6214800000.0,,,,,26318100000.0,771200000.0,2609200000.0,1022500000.0,1586700000.0,16888700000.0,16888700000.0,-123800000.0,17012500000.0,6049000000.0,1638900000.0,4410100000.0,2023-03-31
40000.0,522760000.0,522800000.0,7444200000.0,12590100000.0,15079300000.0,27669400000.0,17095400000.0,15079300000.0,,15079300000.0,23032400000.0,15079300000.0,15079300000.0,-777800000.0,-777800000.0,3000000.0,15095500000.0,241800000.0,522800000.0,522800000.0,21788400000.0,10610000000.0,2656900000.0,,,7953100000.0,,7953100000.0,11178400000.0,,179900000.0,179900000.0,4637000000.0,4637000000.0,,6361500000.0,,6361500000.0,,6361500000.0,36867700000.0,8593900000.0,2477700000.0,6116200000.0,,6116200000.0,,6116200000.0,,,,,28273800000.0,709300000.0,2712900000.0,1089500000.0,1623400000.0,18015200000.0,18015200000.0,-126900000.0,18142100000.0,6836400000.0,1690500000.0,5145900000.0,2023-06-30
40000.0,523060000.0,523100000.0,7019300000.0,12925600000.0,16023100000.0,28948700000.0,18052700000.0,16023100000.0,,16023100000.0,23929500000.0,16023100000.0,16023100000.0,-937600000.0,-937600000.0,3100000.0,16182400000.0,258300000.0,523100000.0,523100000.0,22016400000.0,10522800000.0,2616400000.0,,,7906400000.0,,7906400000.0,11493600000.0,,162400000.0,162400000.0,5019200000.0,5019200000.0,,6312000000.0,,6312000000.0,,6312000000.0,38039500000.0,8493200000.0,2543400000.0,5949800000.0,,5949800000.0,,5949800000.0,,,,,29546300000.0,710500000.0,2622400000.0,1102200000.0,1520200000.0,18564000000.0,18564000000.0,-125600000.0,18689600000.0,7649400000.0,1743100000.0,5906300000.0,2023-09-30
40000.0,523300000.0,523340000.0,7052800000.0,14377100000.0,15878800000.0,30113300000.0,19218900000.0,15878800000.0,142600000.0,15878800000.0,25044400000.0,15878800000.0,15878800000.0,-693900000.0,-693900000.0,,15780300000.0,269100000.0,523300000.0,523300000.0,24944600000.0,12132100000.0,2823900000.0,,,9308200000.0,142600000.0,9165600000.0,12812500000.0,1845600000.0,,,5068900000.0,5068900000.0,5068900000.0,5898000000.0,1563100000.0,4334900000.0,1675000000.0,2659900000.0,40823400000.0,8792000000.0,2708900000.0,6083100000.0,-5503100000.0,11586200000.0,676300000.0,3542700000.0,5337700000.0,1703800000.0,325700000.0,0.0,32031400000.0,680600000.0,2576700000.0,1084000000.0,1492700000.0,19769800000.0,19769800000.0,-133900000.0,19903700000.0,9004300000.0,1822600000.0,7181700000.0,2023-12-31
