tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
-108995047.052997,0.166914,-653000000.0,-653000000.0,1681000000.0,365000000.0,3981000000.0,1257000000.0,5238000000.0,2225004952.947003,1681000000.0,1337338000.0,1326787000.0,1.2,1.21,1610000000.0,1610000000.0,71000000.0,1681000000.0,-1000000.0,1682000000.0,1682000000.0,337000000.0,2019000000.0,-653000000.0,579000000.0,0.0,207000000.0,207000000.0,163000000.0,163000000.0,44000000.0,2268000000.0,70000000.0,2198000000.0,2198000000.0,6282000000.0,6282000000.0,2022-12-31
-12978000.0,0.206,-63000000.0,-63000000.0,1513000000.0,316000000.0,3868000000.0,1917000000.0,5785000000.0,1563022000.0,1513000000.0,1339480000.0,1328602000.0,1.05,1.06,1410000000.0,1410000000.0,103000000.0,1513000000.0,-2000000.0,1515000000.0,1515000000.0,394000000.0,1909000000.0,-63000000.0,63000000.0,0.0,182000000.0,182000000.0,136000000.0,136000000.0,46000000.0,2259000000.0,78000000.0,2181000000.0,2181000000.0,6102000000.0,6102000000.0,2023-03-31
-9504000.0,0.176,-54000000.0,-54000000.0,1309000000.0,301000000.0,3625000000.0,2551000000.0,6176000000.0,1353496000.0,1309000000.0,1337307000.0,1331953000.0,0.92,0.93,1234000000.0,1234000000.0,75000000.0,1309000000.0,-36000000.0,1345000000.0,1345000000.0,287000000.0,1632000000.0,-54000000.0,54000000.0,0.0,175000000.0,175000000.0,131000000.0,131000000.0,44000000.0,2335000000.0,79000000.0,2256000000.0,2256000000.0,5918000000.0,5918000000.0,2023-06-30
-12900000.0,0.172,-75000000.0,-75000000.0,1177000000.0,302000000.0,3564000000.0,2665000000.0,6229000000.0,1239100000.0,1177000000.0,1340574000.0,1333522000.0,0.8,0.8,1071000000.0,1071000000.0,106000000.0,1177000000.0,-6000000.0,1183000000.0,1183000000.0,245000000.0,1428000000.0,-75000000.0,75000000.0,0.0,173000000.0,173000000.0,130000000.0,130000000.0,43000000.0,2278000000.0,78000000.0,2200000000.0,2200000000.0,5672000000.0,5672000000.0,2023-09-30
-82402793.946449,0.012418,-6636000000.0,-6636000000.0,-5090000000.0,296000000.0,3543000000.0,2723000000.0,6266000000.0,1463597206.053551,-5090000000.0,1342790000.0,1333703000.0,-3.87,-3.87,-5167000000.0,-5167000000.0,77000000.0,-5090000000.0,0.0,-5090000000.0,-5090000000.0,-64000000.0,-5154000000.0,-6636000000.0,558000000.0,0.0,172000000.0,172000000.0,130000000.0,130000000.0,42000000.0,2079000000.0,62000000.0,2017000000.0,2017000000.0,5698000000.0,5698000000.0,2023-12-31
