tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,total_revenue,operating_revenue,date
-193427.519333,0.1791,-1080000.0,-1080000.0,211560000.0,282375000.0,-24658000.0,24658000.0,212446572.480667,211560000.0,1064952000.0,98640000.0,97045872.0,2.14,2.18,211560000.0,211560000.0,211560000.0,211560000.0,211560000.0,46157000.0,257717000.0,385000.0,-1080000.0,1080000.0,-24658000.0,24658000.0,3649000.0,87075000.0,87075000.0,32873000.0,54202000.0,1322669000.0,1322669000.0,2022-12-31
0.0,0.184601,,,223610000.0,299101000.0,-24867000.0,24867000.0,223610000.0,223610000.0,1079851000.0,97911100.0,96388211.0,2.28,2.32,223610000.0,223610000.0,223610000.0,223610000.0,223610000.0,50624000.0,274234000.0,50000.0,,,-24867000.0,24867000.0,35352000.0,81586000.0,81586000.0,34624000.0,46962000.0,1354085000.0,1354085000.0,2023-03-31
0.0,0.186181,,,215260000.0,290324000.0,-25818000.0,25818000.0,215260000.0,215260000.0,1101641000.0,96251435.0,95330416.0,2.24,2.26,215260000.0,215260000.0,215260000.0,215260000.0,215260000.0,49246000.0,264506000.0,85000.0,,,-25818000.0,25818000.0,125774000.0,,,,,1366147000.0,1366147000.0,2023-06-30
0.0,0.19363,,,257083000.0,344770000.0,-25955000.0,25955000.0,257083000.0,257083000.0,1000295000.0,95817637.0,94636867.0,2.68,2.72,257083000.0,257083000.0,257083000.0,257083000.0,257083000.0,61732000.0,318815000.0,50000.0,,,-25955000.0,25955000.0,20862000.0,,,,,1319110000.0,1319110000.0,2023-09-30
-165477.516327,0.183864,-900000.0,-900000.0,274802000.0,362387000.0,-25676000.0,25676000.0,275536522.483673,274802000.0,1078980000.0,95464000.0,94110274.0,2.88,2.92,274802000.0,274802000.0,274802000.0,274802000.0,274802000.0,61909000.0,336711000.0,123000.0,-900000.0,,-25676000.0,25676000.0,2612000.0,85214000.0,85214000.0,38524000.0,46690000.0,1415691000.0,1415691000.0,2023-12-31
