ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,line_of_credit,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,investmentin_financial_assets,held_to_maturity_securities,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,land_and_improvements,properties,current_assets,other_current_assets,prepaid_assets,inventory,receivables,taxes_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
55512425.0,55512425.0,1487306000.0,1184488000.0,1184488000.0,317198000.0,1184488000.0,1487306000.0,1184488000.0,1184488000.0,1184488000.0,1184488000.0,929270000.0,254663000.0,555000.0,555000.0,1979227000.0,1339377000.0,4307000.0,41378000.0,41378000.0,1293692000.0,1293692000.0,639850000.0,193614000.0,193614000.0,0.0,446236000.0,166400000.0,279836000.0,0.0,0.0,279836000.0,3163715000.0,2206667000.0,13761000.0,0.0,0.0,0.0,2192906000.0,-439890000.0,2632796000.0,,,2632796000.0,,,,957048000.0,113147000.0,25389000.0,701561000.0,25389000.0,25389000.0,116951000.0,72722000.0,44229000.0,2022-10-31
55537221.0,55537221.0,1496751000.0,1361929000.0,1361929000.0,463819000.0,1361929000.0,1496751000.0,1361929000.0,1361929000.0,1361929000.0,1361929000.0,1100590000.0,260784000.0,555000.0,555000.0,1962982000.0,1360422000.0,4296000.0,59151000.0,59151000.0,1296975000.0,1296975000.0,602560000.0,199776000.0,199776000.0,0.0,402784000.0,161736000.0,241048000.0,19928000.0,19928000.0,221120000.0,3324911000.0,2258532000.0,13870000.0,0.0,0.0,,2244662000.0,-454027000.0,2698689000.0,558723000.0,63393000.0,1319132000.0,727070000.0,30371000.0,0.0,1066379000.0,130592000.0,,527720000.0,8898000.0,8898000.0,399169000.0,66845000.0,332324000.0,2023-01-31
55665239.0,55665239.0,1517923000.0,1387301000.0,1387301000.0,464949000.0,1387301000.0,1517923000.0,1387301000.0,1387301000.0,1387301000.0,1387301000.0,1138068000.0,248677000.0,556000.0,556000.0,1993208000.0,1374654000.0,4626000.0,59563000.0,59563000.0,1310465000.0,1310465000.0,618554000.0,207458000.0,207458000.0,0.0,411096000.0,148853000.0,262243000.0,27751000.0,27751000.0,234492000.0,3380509000.0,2297006000.0,16043000.0,0.0,0.0,0.0,2280963000.0,-483213000.0,2764176000.0,,,2764176000.0,,,,1083503000.0,116689000.0,8898000.0,534389000.0,8898000.0,8898000.0,423527000.0,88241000.0,335286000.0,2023-04-30
55686858.0,55686858.0,1605875000.0,1440146000.0,1440146000.0,462458000.0,1440146000.0,1605875000.0,1440146000.0,1440146000.0,1440146000.0,1440146000.0,1184903000.0,254687000.0,556000.0,556000.0,2109262000.0,1459794000.0,4925000.0,60171000.0,60171000.0,1394698000.0,1394698000.0,649468000.0,211177000.0,211177000.0,0.0,438291000.0,189198000.0,249093000.0,0.0,0.0,249093000.0,3549408000.0,2437482000.0,16322000.0,,,,2421160000.0,-514097000.0,2935257000.0,,,2935257000.0,,,,1111926000.0,121424000.0,10524000.0,543621000.0,10524000.0,10524000.0,436357000.0,101813000.0,334544000.0,2023-07-31
55192500.0,55192500.0,1686555000.0,1377925000.0,1377925000.0,332833000.0,1377925000.0,1686555000.0,1377925000.0,1377925000.0,1377925000.0,1377925000.0,1199497000.0,177877000.0,551000.0,551000.0,2279513000.0,1521347000.0,4625000.0,61364000.0,61364000.0,1455358000.0,1455358000.0,758166000.0,231197000.0,231197000.0,0.0,526969000.0,177629000.0,349340000.0,0.0,0.0,349340000.0,3657438000.0,2566439000.0,16069000.0,,,,2550370000.0,-547682000.0,3098052000.0,,,3098052000.0,,,,1090999000.0,109716000.0,31100000.0,763349000.0,23906000.0,23906000.0,162928000.0,0.0,162928000.0,2023-10-31
55197875.0,55197875.0,1738550000.0,1584956000.0,1584956000.0,487616000.0,1584956000.0,1738550000.0,1584956000.0,1584956000.0,1584956000.0,1584956000.0,1401696000.0,182709000.0,551000.0,551000.0,2287081000.0,1571155000.0,6826000.0,66743000.0,66743000.0,1497586000.0,1497586000.0,715926000.0,240964000.0,240964000.0,0.0,474962000.0,176915000.0,298047000.0,41772000.0,41772000.0,256275000.0,3872037000.0,2668495000.0,16976000.0,7791000.0,7791000.0,7791000.0,2643728000.0,-584090000.0,3227818000.0,697953000.0,80755000.0,1509416000.0,909323000.0,30371000.0,0.0,1203542000.0,123493000.0,30500000.0,584627000.0,4834000.0,4834000.0,460088000.0,280339000.0,179749000.0,2024-01-31
