tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-3212598.425197,0.267717,313000000.0,-12000000.0,-12000000.0,93000000.0,99000000.0,7061000000.0,301000000.0,202000000.0,-75000000.0,75000000.0,101787401.574803,93000000.0,8307000000.0,196000000.0,226995767.0,224887647.0,0.37,0.37,83000000.0,83000000.0,10000000.0,93000000.0,93000000.0,93000000.0,34000000.0,127000000.0,-6000000.0,6000000.0,-12000000.0,,12000000.0,-75000000.0,75000000.0,208000000.0,1246000000.0,1246000000.0,1454000000.0,7061000000.0,8515000000.0,8515000000.0,2022-12-31
0.0,0.23,286000000.0,,,82000000.0,98000000.0,7117000000.0,286000000.0,188000000.0,-81000000.0,81000000.0,82000000.0,82000000.0,8355000000.0,187000000.0,252000000.0,226000000.0,0.32,0.33,75000000.0,75000000.0,7000000.0,82000000.0,82000000.0,82000000.0,25000000.0,107000000.0,1000000.0,1000000.0,,,,-81000000.0,81000000.0,187000000.0,1238000000.0,1238000000.0,1425000000.0,7117000000.0,8542000000.0,8542000000.0,2023-03-31
0.0,0.25,419000000.0,,,182000000.0,95000000.0,7422000000.0,419000000.0,324000000.0,-82000000.0,82000000.0,182000000.0,182000000.0,8691000000.0,322000000.0,251000000.0,238000000.0,0.73,0.76,182000000.0,182000000.0,,182000000.0,182000000.0,182000000.0,60000000.0,242000000.0,2000000.0,2000000.0,,,,-82000000.0,82000000.0,322000000.0,1269000000.0,1269000000.0,1591000000.0,7422000000.0,9013000000.0,9013000000.0,2023-06-30
-5670000.0,0.27,328000000.0,-21000000.0,-21000000.0,95000000.0,97000000.0,7564000000.0,307000000.0,210000000.0,-81000000.0,81000000.0,110330000.0,95000000.0,8876000000.0,230000000.0,249000000.0,247000000.0,0.38,0.38,95000000.0,95000000.0,,95000000.0,95000000.0,95000000.0,34000000.0,129000000.0,-20000000.0,1000000.0,-21000000.0,21000000.0,,-81000000.0,81000000.0,230000000.0,1312000000.0,1312000000.0,1542000000.0,7564000000.0,9106000000.0,9106000000.0,2023-09-30
-3710000.0,0.265,399000000.0,-14000000.0,-14000000.0,147000000.0,105000000.0,7346000000.0,385000000.0,280000000.0,-80000000.0,80000000.0,157290000.0,147000000.0,8644000000.0,278000000.0,,,,,147000000.0,147000000.0,0.0,147000000.0,147000000.0,147000000.0,53000000.0,200000000.0,-12000000.0,2000000.0,-14000000.0,0.0,,-80000000.0,80000000.0,292000000.0,1298000000.0,1298000000.0,1590000000.0,7346000000.0,8936000000.0,8936000000.0,2023-12-31
