treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_debt,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,finished_goods,work_in_process,raw_materials,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,674300000.0,674300000.0,5914600000.0,6287500000.0,-4930500000.0,11142900000.0,999100000.0,-4930500000.0,4855400000.0,10778700000.0,4855400000.0,4855400000.0,-100300000.0,-100300000.0,1170400000.0,3785300000.0,3785300000.0,0.0,8608900000.0,6950100000.0,295400000.0,731400000.0,731400000.0,5923300000.0,5923300000.0,1658800000.0,364100000.0,364200000.0,364200000.0,122400000.0,808100000.0,49900000.0,49900000.0,758200000.0,758200000.0,13464300000.0,10806400000.0,293500000.0,9785900000.0,4133300000.0,5652600000.0,727000000.0,-518400000.0,1245400000.0,141400000.0,652400000.0,393800000.0,57800000.0,0.0,2657900000.0,153100000.0,913500000.0,673200000.0,59100000.0,181200000.0,1218400000.0,1218400000.0,-28200000.0,1246600000.0,372900000.0,372900000.0,2022-12-31
,675100000.0,675100000.0,5766600000.0,6061200000.0,-4765000000.0,11055800000.0,957800000.0,-4765000000.0,4994600000.0,10730600000.0,4994600000.0,4994600000.0,-89700000.0,-89700000.0,1291900000.0,3792400000.0,3792400000.0,,8401300000.0,6731800000.0,300100000.0,695700000.0,695700000.0,5736000000.0,5736000000.0,1669500000.0,414600000.0,325200000.0,325200000.0,124600000.0,805100000.0,39400000.0,39400000.0,765700000.0,765700000.0,13395900000.0,10768600000.0,272500000.0,9759600000.0,4077100000.0,5682500000.0,736500000.0,-541200000.0,1277700000.0,,,,,,2627300000.0,151500000.0,904000000.0,640300000.0,71100000.0,192600000.0,1277200000.0,1277200000.0,-31200000.0,1308400000.0,294600000.0,294600000.0,2023-03-31
,675700000.0,675700000.0,5647900000.0,5884300000.0,-4578000000.0,10895600000.0,949000000.0,-4578000000.0,5011300000.0,10581600000.0,5011300000.0,5011300000.0,-71900000.0,-71900000.0,1284600000.0,3798600000.0,3798600000.0,,8052000000.0,6501900000.0,268800000.0,662800000.0,662800000.0,5570300000.0,5570300000.0,1550100000.0,375900000.0,314000000.0,314000000.0,124300000.0,735900000.0,49300000.0,49300000.0,686600000.0,686600000.0,13063300000.0,10564200000.0,276700000.0,9589300000.0,3895400000.0,5693900000.0,698200000.0,-565300000.0,1263500000.0,,,,,,2499100000.0,156300000.0,890400000.0,644600000.0,67300000.0,178500000.0,1216000000.0,1216000000.0,-34600000.0,1250600000.0,236400000.0,236400000.0,2023-06-30
0.0,676300000.0,676300000.0,5389200000.0,5626100000.0,-4326400000.0,10725500000.0,896700000.0,-4326400000.0,5099400000.0,10389900000.0,5099400000.0,5099400000.0,-111100000.0,-111100000.0,1393000000.0,3817500000.0,3817500000.0,,7698700000.0,6210600000.0,271300000.0,648800000.0,648800000.0,5290500000.0,5290500000.0,1488100000.0,337100000.0,335600000.0,335600000.0,120000000.0,695400000.0,39600000.0,39600000.0,655800000.0,655800000.0,12798100000.0,10413300000.0,289200000.0,9425800000.0,3788100000.0,5637700000.0,698300000.0,-579700000.0,1278000000.0,,,,,,2384800000.0,147300000.0,850300000.0,613500000.0,63000000.0,173800000.0,1150300000.0,1150300000.0,-33500000.0,1183800000.0,236900000.0,236900000.0,2023-09-30
0.0,676600000.0,676600000.0,5273700000.0,5536600000.0,-4239400000.0,10789200000.0,904600000.0,-4239400000.0,5252600000.0,10529300000.0,5252600000.0,5252600000.0,-69000000.0,-69000000.0,1491500000.0,3830100000.0,3830100000.0,,7720100000.0,6239800000.0,350300000.0,612800000.0,612800000.0,5276700000.0,5276700000.0,1480300000.0,411200000.0,259900000.0,259900000.0,133100000.0,676100000.0,50200000.0,50200000.0,625900000.0,625900000.0,12972700000.0,10587800000.0,358300000.0,9492000000.0,3775300000.0,5716700000.0,737500000.0,-616900000.0,1354400000.0,136400000.0,735600000.0,426800000.0,55600000.0,0.0,2384900000.0,143700000.0,828100000.0,594500000.0,66400000.0,167200000.0,1150200000.0,1150200000.0,-35000000.0,1185200000.0,262900000.0,262900000.0,2023-12-31
,679200000.0,679200000.0,5088100000.0,5323000000.0,-3998600000.0,10659300000.0,879200000.0,-3998600000.0,5336300000.0,10360200000.0,5336300000.0,5336300000.0,-97000000.0,-97000000.0,1551900000.0,3881400000.0,3881400000.0,,7427100000.0,5985200000.0,360700000.0,600600000.0,600600000.0,5023900000.0,5023900000.0,1441900000.0,395700000.0,299100000.0,299100000.0,133000000.0,614100000.0,40700000.0,40700000.0,573400000.0,573400000.0,12763400000.0,10442300000.0,367700000.0,9334900000.0,3662900000.0,5672000000.0,739700000.0,-635400000.0,1375100000.0,,,,,,2321100000.0,145900000.0,810600000.0,570000000.0,74500000.0,166100000.0,1129700000.0,1129700000.0,-37700000.0,1167400000.0,234900000.0,234900000.0,2024-03-31
