tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.234601,234983000.0,0.0,0.0,143833000.0,30284000.0,888870000.0,234983000.0,204699000.0,-16780000.0,16780000.0,143833000.0,143833000.0,1061428000.0,203115000.0,31838352.0,31648741.0,4.52,4.54,143833000.0,143833000.0,143833000.0,143833000.0,143833000.0,44086000.0,187919000.0,1584000.0,1584000.0,0.0,-16780000.0,16780000.0,203115000.0,172558000.0,172558000.0,375673000.0,888870000.0,1264543000.0,1264543000.0,2022-12-31
0.0,0.259,233454000.0,,,135870000.0,32100000.0,895023000.0,233454000.0,201354000.0,-18039000.0,18039000.0,135870000.0,135870000.0,1065807000.0,199431000.0,31713239.0,31550658.0,4.28,4.31,135870000.0,135870000.0,135870000.0,135870000.0,135870000.0,47445000.0,183315000.0,1923000.0,1923000.0,,-18039000.0,18039000.0,199431000.0,170784000.0,170784000.0,370215000.0,895023000.0,1265238000.0,1265238000.0,2023-03-31
0.0,0.263,274260000.0,,,164400000.0,32552000.0,895462000.0,274260000.0,241708000.0,-18558000.0,18558000.0,164400000.0,164400000.0,1080159000.0,237103000.0,31731807.0,31599744.0,5.18,5.2,164400000.0,164400000.0,164400000.0,164400000.0,164400000.0,58750000.0,223150000.0,4605000.0,4605000.0,,-18558000.0,18558000.0,237103000.0,184697000.0,184697000.0,421800000.0,895462000.0,1317262000.0,1317262000.0,2023-06-30
0.0,0.254,277071000.0,,,167602000.0,33564000.0,905430000.0,277071000.0,243507000.0,-18830000.0,18830000.0,167602000.0,167602000.0,1088628000.0,237492000.0,31788812.0,31615110.0,5.27,5.3,167602000.0,167602000.0,167602000.0,167602000.0,167602000.0,57075000.0,224677000.0,6015000.0,6015000.0,,-18830000.0,18830000.0,237492000.0,183198000.0,183198000.0,420690000.0,905430000.0,1326120000.0,1326120000.0,2023-09-30
0.0,0.246775,248192000.0,,,146384000.0,34662000.0,894958000.0,248192000.0,213530000.0,-19187000.0,19187000.0,146384000.0,146384000.0,1081274000.0,204800000.0,31805569.0,31623506.0,4.6,4.63,146384000.0,146384000.0,146384000.0,146384000.0,146384000.0,47959000.0,194343000.0,8730000.0,8730000.0,,-19187000.0,19187000.0,204800000.0,186316000.0,186316000.0,391116000.0,894958000.0,1286074000.0,1286074000.0,2023-12-31
