tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,other_special_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-34750000.0,0.25,411000000.0,-139000000.0,-139000000.0,111000000.0,67000000.0,1110000000.0,272000000.0,205000000.0,-54000000.0,57000000.0,3000000.0,215250000.0,111000000.0,1241000000.0,220000000.0,419082115.0,413657108.0,0.26,0.27,111000000.0,111000000.0,0.0,111000000.0,111000000.0,111000000.0,37000000.0,148000000.0,-70000000.0,69000000.0,-127000000.0,,134000000.0,1000000.0,0.0,-12000000.0,-54000000.0,57000000.0,3000000.0,272000000.0,131000000.0,67000000.0,67000000.0,9000000.0,55000000.0,,,,403000000.0,1110000000.0,1513000000.0,1513000000.0,2022-12-31
-654000.0,0.327,348000000.0,-2000000.0,-2000000.0,148000000.0,69000000.0,1164000000.0,346000000.0,277000000.0,-52000000.0,57000000.0,5000000.0,149346000.0,148000000.0,1320000000.0,285000000.0,418000000.0,412000000.0,0.35,0.36,147000000.0,147000000.0,1000000.0,148000000.0,148000000.0,148000000.0,72000000.0,220000000.0,-11000000.0,-9000000.0,-4000000.0,-4000000.0,1000000.0,,-1000000.0,2000000.0,-52000000.0,57000000.0,5000000.0,283000000.0,156000000.0,69000000.0,69000000.0,9000000.0,78000000.0,78000000.0,75000000.0,3000000.0,439000000.0,1164000000.0,1603000000.0,1603000000.0,2023-03-31
-1442000.0,0.206,372000000.0,-7000000.0,-7000000.0,193000000.0,67000000.0,1196000000.0,365000000.0,298000000.0,-50000000.0,55000000.0,5000000.0,198558000.0,193000000.0,1371000000.0,285000000.0,417000000.0,413000000.0,0.46,0.47,193000000.0,193000000.0,,193000000.0,193000000.0,193000000.0,50000000.0,243000000.0,16000000.0,23000000.0,0.0,,,,0.0,-7000000.0,-50000000.0,55000000.0,5000000.0,277000000.0,175000000.0,67000000.0,67000000.0,9000000.0,99000000.0,99000000.0,88000000.0,11000000.0,452000000.0,1196000000.0,1648000000.0,1648000000.0,2023-06-30
-3345000.0,0.223,379000000.0,-15000000.0,-15000000.0,188000000.0,68000000.0,1183000000.0,364000000.0,296000000.0,-49000000.0,54000000.0,5000000.0,199655000.0,188000000.0,1354000000.0,307000000.0,415000000.0,412000000.0,0.45,0.45,187000000.0,187000000.0,1000000.0,188000000.0,188000000.0,188000000.0,54000000.0,242000000.0,-13000000.0,2000000.0,-4000000.0,,,,4000000.0,-11000000.0,-49000000.0,54000000.0,5000000.0,304000000.0,171000000.0,68000000.0,68000000.0,9000000.0,94000000.0,94000000.0,87000000.0,7000000.0,475000000.0,1183000000.0,1658000000.0,1658000000.0,2023-09-30
1511111.111111,0.125926,378000000.0,12000000.0,12000000.0,236000000.0,68000000.0,1230000000.0,390000000.0,322000000.0,-44000000.0,52000000.0,8000000.0,225511111.111111,236000000.0,1400000000.0,326000000.0,,,,,236000000.0,236000000.0,0.0,236000000.0,236000000.0,236000000.0,34000000.0,270000000.0,-17000000.0,,12000000.0,,-24000000.0,,-1000000.0,0.0,-44000000.0,52000000.0,8000000.0,331000000.0,170000000.0,68000000.0,68000000.0,9000000.0,93000000.0,93000000.0,83000000.0,,501000000.0,1230000000.0,1731000000.0,1731000000.0,2023-12-31
