tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,other_operating_expenses,depreciation_and_amortization_in_income_statement,amortization,selling_general_and_administration,general_and_administrative_expense,other_gand_a,total_revenue,operating_revenue,date
-4548972.188634,0.206771,-22000000.0,-22000000.0,1312000000.0,74000000.0,1808000000.0,-154000000.0,154000000.0,21000000.0,1329451027.811366,1312000000.0,9846000000.0,418900000.0,414594856.0,3.13,3.164535,1312000000.0,1312000000.0,1312000000.0,,1312000000.0,1312000000.0,342000000.0,1654000000.0,,-22000000.0,22000000.0,-154000000.0,154000000.0,-7000000.0,74000000.0,74000000.0,916000000.0,916000000.0,916000000.0,11500000000.0,11500000000.0,2022-12-31
-3718000.0,0.169,-22000000.0,-22000000.0,1892000000.0,72000000.0,2436000000.0,-160000000.0,160000000.0,17000000.0,1910282000.0,1892000000.0,8756000000.0,417900000.0,414158680.0,4.53,4.568297,1892000000.0,1892000000.0,1892000000.0,,1892000000.0,1892000000.0,384000000.0,2276000000.0,-115000000.0,-22000000.0,22000000.0,-160000000.0,160000000.0,19000000.0,72000000.0,72000000.0,930000000.0,930000000.0,930000000.0,11032000000.0,11032000000.0,2023-03-31
-2685000.0,0.179,-15000000.0,-15000000.0,1793000000.0,70000000.0,2350000000.0,-165000000.0,165000000.0,12000000.0,1805315000.0,1793000000.0,9636000000.0,415600000.0,410691354.0,4.32,4.365809,1793000000.0,1793000000.0,1793000000.0,,1793000000.0,1793000000.0,392000000.0,2185000000.0,-7000000.0,-15000000.0,15000000.0,-165000000.0,165000000.0,8000000.0,70000000.0,70000000.0,969000000.0,969000000.0,969000000.0,11821000000.0,11821000000.0,2023-06-30
-2352000.0,0.168,-14000000.0,-14000000.0,2043000000.0,84000000.0,2627000000.0,-174000000.0,174000000.0,17000000.0,2054648000.0,2043000000.0,11436000000.0,412600000.0,407984339.0,4.95,5.000192,2043000000.0,2043000000.0,2043000000.0,3000000.0,2040000000.0,2040000000.0,413000000.0,2453000000.0,-32000000.0,-14000000.0,14000000.0,-174000000.0,174000000.0,-1000000.0,84000000.0,84000000.0,1060000000.0,1060000000.0,1060000000.0,13889000000.0,13889000000.0,2023-09-30
-1530000.0,0.085,-18000000.0,-18000000.0,3300000000.0,84000000.0,2785000000.0,-173000000.0,173000000.0,23000000.0,3316470000.0,3300000000.0,10472000000.0,410700000.0,407200000.0,8.03,8.079568,3300000000.0,3300000000.0,3300000000.0,10000000.0,3290000000.0,3290000000.0,-678000000.0,2612000000.0,-153000000.0,-18000000.0,18000000.0,-173000000.0,173000000.0,21000000.0,84000000.0,84000000.0,1048000000.0,1048000000.0,1048000000.0,13084000000.0,13084000000.0,2023-12-31
-908194.233687,0.129742,-7000000.0,-7000000.0,2143000000.0,80000000.0,2814000000.0,-178000000.0,178000000.0,15000000.0,2149091805.766313,2143000000.0,10321000000.0,409739635.0,405662694.0,5.23,5.28,2143000000.0,2143000000.0,2143000000.0,-151000000.0,2294000000.0,2294000000.0,342000000.0,2636000000.0,21000000.0,-7000000.0,7000000.0,-178000000.0,178000000.0,23000000.0,80000000.0,80000000.0,1070000000.0,1070000000.0,1070000000.0,12957000000.0,12957000000.0,2024-03-31
