tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
570150.228609,0.132593,475700000.0,4300000.0,4300000.0,398400000.0,35400000.0,257900000.0,480000000.0,444600000.0,7900000.0,,394670150.228609,398400000.0,901100000.0,447800000.0,616200000.0,612900000.0,0.65,0.65,398400000.0,398400000.0,398400000.0,,398400000.0,398400000.0,60900000.0,459300000.0,4200000.0,-100000.0,600000.0,-1100000.0,500000.0,3700000.0,7900000.0,,,447200000.0,643200000.0,232200000.0,411000000.0,1090400000.0,257900000.0,1348300000.0,1348300000.0,2022-12-31
-6248800.0,0.146,510600000.0,-42800000.0,-42800000.0,340500000.0,35200000.0,329500000.0,467800000.0,432600000.0,8600000.0,8600000.0,377051200.0,340500000.0,1027000000.0,388400000.0,610900000.0,607500000.0,0.56,0.56,340500000.0,340500000.0,340500000.0,,340500000.0,340500000.0,58100000.0,398600000.0,-42600000.0,200000.0,-44200000.0,43500000.0,700000.0,1400000.0,8600000.0,,8600000.0,432600000.0,697500000.0,261200000.0,436300000.0,1130100000.0,329500000.0,1459600000.0,1459600000.0,2023-03-31
-11523600.0,0.097,603100000.0,-118800000.0,-118800000.0,307100000.0,36100000.0,343000000.0,484300000.0,448200000.0,9100000.0,,414376400.0,307100000.0,1082000000.0,327200000.0,610300000.0,606900000.0,0.5,0.51,307100000.0,307100000.0,307100000.0,1600000.0,305500000.0,305500000.0,33000000.0,338500000.0,-118800000.0,,-121000000.0,147900000.0,-26900000.0,2200000.0,9100000.0,-9100000.0,,448200000.0,739000000.0,270300000.0,468700000.0,1187200000.0,343000000.0,1530200000.0,1530200000.0,2023-06-30
-279400.0,0.127,459700000.0,-2200000.0,-2200000.0,384900000.0,36900000.0,350400000.0,457500000.0,420600000.0,15100000.0,,386820600.0,384900000.0,1060300000.0,418400000.0,609500000.0,607000000.0,0.63,0.63,384900000.0,384900000.0,384900000.0,1200000.0,383700000.0,383700000.0,55600000.0,439300000.0,3600000.0,5800000.0,-2200000.0,2200000.0,0.0,,15100000.0,-15100000.0,,420600000.0,709900000.0,270300000.0,439600000.0,1130500000.0,350400000.0,1480900000.0,1480900000.0,2023-09-30
-2133270.097226,0.12331,368300000.0,-17300000.0,-17300000.0,369900000.0,36700000.0,356900000.0,351000000.0,314300000.0,16800000.0,,385066729.902774,369900000.0,1105700000.0,400100000.0,,,,,369900000.0,369900000.0,369900000.0,200000.0,369700000.0,369700000.0,52000000.0,421700000.0,-23500000.0,-6200000.0,-27100000.0,9900000.0,0.0,,16800000.0,,,428400000.0,748800000.0,270000000.0,478800000.0,1177200000.0,356900000.0,1534100000.0,1534100000.0,2023-12-31
