tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.219,509000000.0,40000000.0,586000000.0,241000000.0,827000000.0,509000000.0,509000000.0,220400000.0,214700000.0,2.3,2.36,507000000.0,507000000.0,2000000.0,509000000.0,509000000.0,509000000.0,143000000.0,652000000.0,1736000000.0,1736000000.0,,1736000000.0,2752000000.0,2752000000.0,2022-12-31
0.0,0.233,427000000.0,41000000.0,631000000.0,284000000.0,915000000.0,427000000.0,427000000.0,219200000.0,214300000.0,1.93,1.97,425000000.0,425000000.0,2000000.0,427000000.0,427000000.0,427000000.0,130000000.0,557000000.0,2027000000.0,2027000000.0,207000000.0,1820000000.0,2837000000.0,2837000000.0,2023-03-31
0.0,0.241,369000000.0,42000000.0,601000000.0,386000000.0,987000000.0,369000000.0,369000000.0,214800000.0,210100000.0,1.71,1.75,369000000.0,369000000.0,,369000000.0,369000000.0,369000000.0,117000000.0,486000000.0,1851000000.0,1851000000.0,,1851000000.0,2867000000.0,2867000000.0,2023-06-30
0.0,0.25812,434000000.0,42000000.0,557000000.0,462000000.0,1019000000.0,434000000.0,434000000.0,213800000.0,208300000.0,2.02,2.07,427000000.0,427000000.0,2000000.0,434000000.0,434000000.0,434000000.0,151000000.0,585000000.0,1892000000.0,1892000000.0,,1892000000.0,3012000000.0,3012000000.0,2023-09-30
0.0,0.21,498000000.0,42000000.0,546000000.0,507000000.0,1053000000.0,498000000.0,498000000.0,213800000.0,208600000.0,2.32,2.38,497000000.0,497000000.0,1000000.0,498000000.0,498000000.0,498000000.0,132000000.0,630000000.0,1921000000.0,1921000000.0,,1921000000.0,2973000000.0,2973000000.0,2023-12-31
