tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.254,315310000.0,136355000.0,77752000.0,2983955000.0,315310000.0,237558000.0,-37070000.0,40077000.0,3007000.0,136355000.0,135647000.0,3560863000.0,237805000.0,127496000.0,126824000.0,1.06,1.07,135647000.0,135647000.0,135647000.0,-11023000.0,146670000.0,-708000.0,147378000.0,50103000.0,197481000.0,-3254000.0,-3254000.0,-37070000.0,40077000.0,3007000.0,237805000.0,576908000.0,576908000.0,814713000.0,2983955000.0,3798668000.0,3798668000.0,2022-12-31
0.0,0.076,371107000.0,216587000.0,78181000.0,3188038000.0,371107000.0,292926000.0,-32983000.0,40613000.0,7630000.0,216587000.0,216512000.0,3788469000.0,289863000.0,127359000.0,126886000.0,1.7,1.71,216512000.0,216512000.0,216512000.0,-16666000.0,233178000.0,-75000.0,233253000.0,19060000.0,252313000.0,-4567000.0,-4567000.0,-32983000.0,40613000.0,7630000.0,289863000.0,600431000.0,600431000.0,890294000.0,3188038000.0,4078332000.0,4078332000.0,2023-03-31
0.0,0.239,343641000.0,163945000.0,73169000.0,3329959000.0,343641000.0,270472000.0,-35957000.0,43787000.0,7830000.0,163945000.0,164239000.0,3916961000.0,269741000.0,127138000.0,126646000.0,1.29,1.3,164239000.0,164239000.0,164239000.0,-8574000.0,172813000.0,294000.0,172519000.0,54166000.0,226685000.0,-7099000.0,-7099000.0,-35957000.0,43787000.0,7830000.0,269741000.0,587002000.0,587002000.0,856743000.0,3329959000.0,4186702000.0,4186702000.0,2023-06-30
0.0,0.303296,361982000.0,149733000.0,78150000.0,3377146000.0,361982000.0,283832000.0,-36085000.0,43631000.0,7546000.0,149733000.0,149380000.0,4010883000.0,277829000.0,,,,,149380000.0,149380000.0,149380000.0,-17616000.0,166996000.0,-353000.0,167349000.0,72852000.0,240201000.0,-1543000.0,-1543000.0,-36085000.0,43631000.0,7546000.0,277829000.0,633737000.0,633737000.0,911566000.0,3377146000.0,4288712000.0,4288712000.0,2023-09-30
0.0,0.21,285389000.0,172184000.0,76288000.0,3308687000.0,285389000.0,209101000.0,-35119000.0,43352000.0,8233000.0,172184000.0,171610000.0,3955162000.0,204063000.0,126813000.0,126105000.0,1.37,1.37,171610000.0,171610000.0,171610000.0,-9844000.0,181454000.0,-574000.0,182028000.0,-16279000.0,165749000.0,-3195000.0,-3195000.0,-35119000.0,43352000.0,8233000.0,204063000.0,646475000.0,646475000.0,850538000.0,3308687000.0,4159225000.0,4159225000.0,2023-12-31
