ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,payables_and_accrued_expenses,current_accrued_expenses,payables,dividends_payable,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,prepaid_assets,receivables,other_receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,treasury_shares_number
126668513.0,126668513.0,2274859000.0,4245995000.0,-2568937000.0,9670065000.0,1566484000.0,-2568937000.0,760034000.0,6184104000.0,9618422000.0,6861507000.0,677403000.0,6184104000.0,-845852000.0,-845852000.0,4230866000.0,2672421000.0,126669000.0,126669000.0,0.0,8056666000.0,4815404000.0,293134000.0,293134000.0,480278000.0,297746000.0,4041992000.0,607674000.0,3434318000.0,3241262000.0,736953000.0,736953000.0,204003000.0,152360000.0,51643000.0,51643000.0,2300306000.0,1370561000.0,929745000.0,,,929745000.0,14918173000.0,10110427000.0,504466000.0,29805000.0,29805000.0,8753041000.0,1411959000.0,7341082000.0,823115000.0,,823115000.0,,,823115000.0,,,,,4807746000.0,156704000.0,156704000.0,3439940000.0,1982188000.0,1457752000.0,1211102000.0,1211102000.0,2022-12-31,
126805092.0,126805092.0,2230875000.0,4193401000.0,-2366114000.0,9833843000.0,1696455000.0,-2366114000.0,739195000.0,6379637000.0,9782108000.0,7094031000.0,714394000.0,6379637000.0,-838042000.0,-838042000.0,4393351000.0,2697523000.0,126805000.0,126805000.0,0.0,7908600000.0,4697174000.0,285648000.0,285648000.0,422250000.0,302046000.0,3989276000.0,586805000.0,3402471000.0,3211426000.0,723054000.0,723054000.0,204125000.0,152390000.0,51735000.0,51735000.0,2284247000.0,1316415000.0,967832000.0,,,967832000.0,15002631000.0,10094750000.0,504576000.0,30617000.0,30617000.0,8745751000.0,1379879000.0,7365872000.0,813806000.0,,813806000.0,,,813806000.0,,,,,4907881000.0,165822000.0,,3518728000.0,2070856000.0,1447872000.0,1223331000.0,1223331000.0,2023-03-31,
125880738.0,125880738.0,2109145000.0,3924538000.0,-2247519000.0,9722988000.0,1523761000.0,-2247519000.0,723266000.0,6521716000.0,9667245000.0,7216763000.0,695047000.0,6521716000.0,-772388000.0,-772388000.0,4460729000.0,2707494000.0,125881000.0,125881000.0,0.0,7719936000.0,4419950000.0,288474000.0,288474000.0,415626000.0,289036000.0,3715850000.0,570321000.0,3145529000.0,3299986000.0,761574000.0,761574000.0,208688000.0,152945000.0,55743000.0,55743000.0,2329724000.0,1238545000.0,1091179000.0,,,1091179000.0,14936699000.0,10112952000.0,499262000.0,28626000.0,28626000.0,8769235000.0,1354677000.0,7414558000.0,815829000.0,,815829000.0,,,815829000.0,,,,,4823747000.0,172896000.0,,3558724000.0,2040456000.0,1518268000.0,1092127000.0,1092127000.0,2023-06-30,
125976998.0,125976998.0,1948319000.0,3570208000.0,-2069249000.0,9421121000.0,1267792000.0,-2069249000.0,695307000.0,6546220000.0,9359691000.0,7233061000.0,686841000.0,6546220000.0,-857954000.0,-857954000.0,4542872000.0,2735325000.0,125977000.0,125977000.0,0.0,7384048000.0,3961487000.0,258540000.0,258540000.0,346246000.0,221158000.0,3356701000.0,543230000.0,2813471000.0,3422561000.0,763608000.0,763608000.0,213507000.0,152077000.0,61430000.0,61430000.0,2445446000.0,1157103000.0,1288343000.0,34342000.0,110199000.0,1143802000.0,14617109000.0,9926756000.0,486740000.0,53131000.0,53131000.0,8615469000.0,1271943000.0,7343526000.0,771416000.0,-643604000.0,1415020000.0,190257000.0,28355000.0,414384000.0,719167000.0,62380000.0,477000.0,0.0,4690353000.0,204965000.0,,3558806000.0,2101473000.0,1457333000.0,926582000.0,926582000.0,2023-09-30,
125599058.0,125599058.0,1748492000.0,3565861000.0,-2011453000.0,9568993000.0,1330722000.0,-2011453000.0,675142000.0,6678274000.0,9513154000.0,7388926000.0,710652000.0,6678274000.0,-781591000.0,-781591000.0,4604850000.0,2729416000.0,125599000.0,125599000.0,0.0,7563278000.0,3918732000.0,276307000.0,276307000.0,284875000.0,153869000.0,3357550000.0,522670000.0,2834880000.0,3644546000.0,945892000.0,945892000.0,208311000.0,152472000.0,55839000.0,55839000.0,2490343000.0,1375553000.0,1114790000.0,,,1114790000.0,14952204000.0,9976936000.0,481631000.0,46525000.0,46525000.0,8689727000.0,1268329000.0,7421398000.0,759053000.0,,759053000.0,,,759053000.0,,,,,4975268000.0,156533000.0,,3676508000.0,2129572000.0,1546936000.0,1142227000.0,1142227000.0,2023-12-31,0.0
