tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,pretax_income,other_income_expense,special_income_charges,impairment_of_capital_assets,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
985320.0,0.21,210561000.0,4692000.0,4692000.0,95263000.0,76865000.0,96030000.0,215253000.0,133018000.0,-36278000.0,36633000.0,355000.0,91556320.0,95263000.0,198515000.0,171586000.0,170659178.0,0.558206,0.558206,95263000.0,95263000.0,,95263000.0,-1122000.0,96385000.0,96385000.0,96385000.0,16661000.0,0.0,0.0,11969000.0,4692000.0,-36278000.0,36633000.0,355000.0,116002000.0,107855000.0,2427000.0,82235000.0,82235000.0,23193000.0,23193000.0,23193000.0,223857000.0,90660000.0,314517000.0,314517000.0,2022-12-31
392280.0,0.21,215973000.0,1868000.0,1868000.0,97281000.0,77229000.0,94977000.0,217841000.0,135134000.0,-36284000.0,36646000.0,362000.0,95805280.0,97281000.0,196989000.0,171494000.0,171212000.0,0.57,0.57,97281000.0,97281000.0,,97281000.0,-1207000.0,98488000.0,98488000.0,98488000.0,13784000.0,,,11916000.0,1868000.0,-36284000.0,36646000.0,362000.0,120988000.0,107490000.0,-497000.0,82707000.0,82707000.0,25280000.0,25280000.0,25280000.0,228478000.0,89499000.0,317977000.0,317977000.0,2023-03-31
382830.0,0.21,206466000.0,1823000.0,1823000.0,86782000.0,74797000.0,101267000.0,208289000.0,125128000.0,-36956000.0,36956000.0,,85341830.0,86782000.0,202811000.0,171275000.0,170990000.0,0.51,0.51,86782000.0,86782000.0,,86782000.0,-1390000.0,88172000.0,88172000.0,88172000.0,13692000.0,,,11869000.0,1823000.0,-36956000.0,36956000.0,,111436000.0,109908000.0,1682000.0,83161000.0,83161000.0,25065000.0,25065000.0,25065000.0,221344000.0,92903000.0,314247000.0,314247000.0,2023-06-30
-198450.0,0.21,219705000.0,-945000.0,-945000.0,90720000.0,79774000.0,107129000.0,218760000.0,131255000.0,-38698000.0,39082000.0,384000.0,91466550.0,90720000.0,211339000.0,178231000.0,177344000.0,0.5,0.5,89076000.0,89076000.0,1644000.0,90720000.0,-1453000.0,92173000.0,92173000.0,92173000.0,11572000.0,,,12517000.0,-945000.0,-38698000.0,39082000.0,384000.0,119299000.0,111941000.0,3533000.0,87505000.0,87505000.0,20903000.0,20903000.0,20903000.0,231240000.0,99398000.0,330638000.0,330638000.0,2023-09-30
703710.0,0.21,230404000.0,3351000.0,3351000.0,89774000.0,91352000.0,120526000.0,233755000.0,134846000.0,-41983000.0,42812000.0,829000.0,87126710.0,89774000.0,243177000.0,,,,,86361000.0,86361000.0,3413000.0,89774000.0,-2260000.0,92034000.0,92034000.0,92034000.0,17590000.0,,,14239000.0,3252000.0,-41983000.0,42812000.0,829000.0,116427000.0,130208000.0,4741000.0,98909000.0,98909000.0,26558000.0,26558000.0,26558000.0,246635000.0,112969000.0,359604000.0,359604000.0,2023-12-31
