tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-697.260586,0.015158,63380000.0,-46000.0,-46000.0,51913000.0,9342000.0,45422000.0,63334000.0,53992000.0,-1280000.0,1280000.0,51958302.739414,51913000.0,121898000.0,54016000.0,139631000.0,137095000.0,0.37,0.38,51913000.0,51913000.0,51913000.0,51913000.0,51913000.0,799000.0,52712000.0,-70000.0,-24000.0,-46000.0,46000.0,-1280000.0,,1280000.0,54062000.0,68004000.0,870000.0,870000.0,870000.0,870000.0,34779000.0,32355000.0,122066000.0,53894000.0,175960000.0,175960000.0,2022-12-31
-1313.692634,0.04379,68816000.0,-30000.0,-30000.0,55923000.0,9747000.0,46832000.0,68786000.0,59039000.0,-555000.0,555000.0,55951686.307366,55923000.0,125146000.0,59134000.0,140101000.0,137418000.0,0.4,0.41,55923000.0,55923000.0,55923000.0,55923000.0,55923000.0,2561000.0,58484000.0,-125000.0,-95000.0,-30000.0,30000.0,-555000.0,,555000.0,59164000.0,69437000.0,870000.0,870000.0,870000.0,870000.0,35989000.0,32578000.0,128601000.0,55709000.0,184310000.0,184310000.0,2023-03-31
5146.054292,0.045947,62994000.0,112000.0,112000.0,50644000.0,10148000.0,48239000.0,63106000.0,52958000.0,189000.0,,50537146.054292,50644000.0,137121000.0,53070000.0,139768000.0,137735000.0,0.36,0.37,50644000.0,50644000.0,50644000.0,50644000.0,50644000.0,2439000.0,53083000.0,-64000.0,-176000.0,112000.0,-112000.0,189000.0,-189000.0,,52958000.0,79603000.0,869000.0,869000.0,869000.0,869000.0,41946000.0,36788000.0,132561000.0,57518000.0,190079000.0,190079000.0,2023-06-30
-106804.405286,0.070778,70341000.0,-1509000.0,-1509000.0,53788000.0,10406000.0,48072000.0,68832000.0,58426000.0,954000.0,,55190195.594714,53788000.0,133743000.0,56917000.0,139828000.0,137948000.0,0.38,0.39,53788000.0,53788000.0,53788000.0,53788000.0,53788000.0,4097000.0,57885000.0,-1495000.0,14000.0,-1509000.0,1509000.0,954000.0,-954000.0,,58426000.0,76135000.0,870000.0,870000.0,870000.0,870000.0,42048000.0,33217000.0,134561000.0,57608000.0,192169000.0,192169000.0,2023-09-30
-101010.0,0.21,55006000.0,-481000.0,-481000.0,98706000.0,10895000.0,41623000.0,54525000.0,43630000.0,1453000.0,,99085990.0,98706000.0,126966000.0,43149000.0,,,,,98706000.0,98706000.0,98706000.0,98706000.0,98706000.0,-53302000.0,45404000.0,321000.0,802000.0,-481000.0,481000.0,1453000.0,-1453000.0,,43630000.0,75317000.0,869000.0,869000.0,869000.0,869000.0,39787000.0,34661000.0,118947000.0,51649000.0,170596000.0,170596000.0,2023-12-31
