ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,inventory,finished_goods,work_in_process,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,non_current_deferred_assets,non_current_deferred_taxes_assets
137099000.0,137099000.0,148824000.0,146735000.0,615915000.0,251794000.0,146735000.0,20072000.0,487163000.0,615915000.0,487163000.0,487163000.0,-2414000.0,-2414000.0,-111094000.0,599300000.0,1371000.0,1371000.0,0.0,311550000.0,184177000.0,41807000.0,142370000.0,13618000.0,128752000.0,127373000.0,28164000.0,28164000.0,6454000.0,6454000.0,92755000.0,50719000.0,42036000.0,,42036000.0,798713000.0,419546000.0,13914000.0,340428000.0,25070000.0,315358000.0,65204000.0,-116349000.0,181553000.0,12416000.0,17590000.0,151547000.0,,0.0,379167000.0,29052000.0,110375000.0,52106000.0,58269000.0,94018000.0,94018000.0,0.0,94018000.0,145722000.0,145722000.0,2022-12-31,,
137637000.0,137637000.0,122260000.0,175686000.0,618793000.0,251722000.0,175686000.0,18441000.0,514974000.0,618793000.0,514974000.0,514974000.0,-2225000.0,-2225000.0,-55171000.0,570994000.0,1376000.0,1376000.0,0.0,252655000.0,155497000.0,39666000.0,115831000.0,12012000.0,103819000.0,97158000.0,17037000.0,17037000.0,6429000.0,6429000.0,73692000.0,25674000.0,48018000.0,7175000.0,40843000.0,767629000.0,418749000.0,12321000.0,339288000.0,23930000.0,315358000.0,67140000.0,-117815000.0,184955000.0,,168901000.0,,16054000.0,0.0,348880000.0,28843000.0,117079000.0,48588000.0,68491000.0,90822000.0,90822000.0,0.0,90822000.0,112136000.0,112136000.0,2023-03-31,,
137823000.0,137823000.0,60610000.0,236613000.0,618646000.0,252646000.0,236613000.0,16725000.0,574761000.0,618646000.0,574761000.0,574761000.0,-2682000.0,-2682000.0,-4527000.0,580592000.0,1378000.0,1378000.0,0.0,184310000.0,92344000.0,37632000.0,54712000.0,10827000.0,43885000.0,91966000.0,14191000.0,14191000.0,5898000.0,5898000.0,71877000.0,30613000.0,41264000.0,,41264000.0,759071000.0,414459000.0,11322000.0,338148000.0,22790000.0,315358000.0,64989000.0,-120959000.0,185948000.0,,171405000.0,,14543000.0,0.0,344612000.0,32762000.0,111490000.0,46650000.0,64840000.0,96587000.0,96587000.0,0.0,96587000.0,103773000.0,103773000.0,2023-06-30,,
138022000.0,138022000.0,18054000.0,288861000.0,626170000.0,260070000.0,288861000.0,18054000.0,626170000.0,626170000.0,626170000.0,626170000.0,-3051000.0,-3051000.0,49261000.0,578580000.0,1380000.0,1380000.0,0.0,153452000.0,52789000.0,40667000.0,12122000.0,12122000.0,,100663000.0,18068000.0,18068000.0,5932000.0,5932000.0,76663000.0,39776000.0,36887000.0,,36887000.0,779622000.0,418889000.0,15328000.0,337309000.0,21951000.0,315358000.0,66252000.0,-124493000.0,190745000.0,,190745000.0,,,,360733000.0,36404000.0,104019000.0,33822000.0,70197000.0,105913000.0,105913000.0,0.0,105913000.0,114397000.0,114397000.0,2023-09-30,,
137340000.0,137340000.0,16310000.0,355688000.0,692020000.0,270546000.0,355688000.0,16310000.0,692020000.0,692020000.0,692020000.0,692020000.0,-2906000.0,-2906000.0,147967000.0,545586000.0,1373000.0,1373000.0,0.0,148874000.0,51474000.0,40735000.0,10739000.0,10739000.0,,97400000.0,16722000.0,16722000.0,5571000.0,5571000.0,75107000.0,33862000.0,41245000.0,6758000.0,34487000.0,840894000.0,472948000.0,14821000.0,336332000.0,20974000.0,315358000.0,64033000.0,-125856000.0,189889000.0,13519000.0,14487000.0,161883000.0,,0.0,367946000.0,36430000.0,98826000.0,33430000.0,65396000.0,104373000.0,104373000.0,0.0,104373000.0,128317000.0,128317000.0,2023-12-31,57762000.0,57762000.0
