ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,other_equity_interest,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,inventory,other_inventories,finished_goods,raw_materials,receivables,taxes_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date,treasury_shares_number
732794000.0,732794000.0,3472000000.0,5075000000.0,10749000000.0,15802000000.0,1006000000.0,10749000000.0,22000000.0,10749000000.0,14820000000.0,10749000000.0,10749000000.0,7691000000.0,-247000000.0,-247000000.0,2389000000.0,916000000.0,916000000.0,6591000000.0,4851000000.0,340000000.0,440000000.0,96000000.0,4071000000.0,4071000000.0,1740000000.0,,,1004000000.0,22000000.0,982000000.0,982000000.0,201000000.0,535000000.0,265000000.0,69000000.0,270000000.0,23000000.0,247000000.0,17340000000.0,14594000000.0,11979000000.0,8000000.0,8000000.0,2607000000.0,-3710000000.0,6317000000.0,222000000.0,1055000000.0,3791000000.0,1166000000.0,83000000.0,0.0,2746000000.0,216000000.0,550000000.0,149000000.0,56000000.0,345000000.0,399000000.0,42000000.0,357000000.0,1581000000.0,,1581000000.0,2022-12-31,
732507000.0,732507000.0,4256000000.0,5074000000.0,10076000000.0,15129000000.0,403000000.0,10076000000.0,21000000.0,10076000000.0,14148000000.0,10076000000.0,10076000000.0,7662000000.0,-240000000.0,-240000000.0,1738000000.0,916000000.0,916000000.0,6504000000.0,4854000000.0,335000000.0,447000000.0,101000000.0,4072000000.0,4072000000.0,1650000000.0,,,1002000000.0,21000000.0,981000000.0,981000000.0,147000000.0,501000000.0,211000000.0,72000000.0,290000000.0,24000000.0,266000000.0,16580000000.0,14527000000.0,11929000000.0,8000000.0,8000000.0,2590000000.0,-3759000000.0,6349000000.0,222000000.0,6127000000.0,,,,,2053000000.0,202000000.0,586000000.0,149000000.0,78000000.0,359000000.0,468000000.0,28000000.0,440000000.0,797000000.0,,797000000.0,2023-03-31,
730850000.0,730850000.0,4702000000.0,5817000000.0,10141000000.0,15938000000.0,1260000000.0,10141000000.0,20000000.0,10141000000.0,14958000000.0,10141000000.0,10141000000.0,7624000000.0,-225000000.0,-225000000.0,1828000000.0,914000000.0,914000000.0,7329000000.0,5622000000.0,352000000.0,453000000.0,105000000.0,4817000000.0,4817000000.0,1707000000.0,,,1000000000.0,20000000.0,980000000.0,980000000.0,157000000.0,550000000.0,263000000.0,72000000.0,287000000.0,33000000.0,254000000.0,17470000000.0,14503000000.0,11895000000.0,8000000.0,8000000.0,2600000000.0,-3820000000.0,6420000000.0,260000000.0,6160000000.0,,,,,2967000000.0,188000000.0,539000000.0,151000000.0,40000000.0,348000000.0,480000000.0,18000000.0,462000000.0,1760000000.0,665000000.0,1095000000.0,2023-06-30,
730128000.0,730128000.0,4506000000.0,5700000000.0,10228000000.0,15907000000.0,1330000000.0,10228000000.0,21000000.0,10228000000.0,15046000000.0,10228000000.0,10228000000.0,7609000000.0,-223000000.0,-223000000.0,1929000000.0,913000000.0,913000000.0,7322000000.0,5636000000.0,356000000.0,462000000.0,113000000.0,4818000000.0,4818000000.0,1686000000.0,135000000.0,135000000.0,882000000.0,21000000.0,861000000.0,861000000.0,173000000.0,496000000.0,142000000.0,84000000.0,354000000.0,66000000.0,288000000.0,17550000000.0,14534000000.0,11906000000.0,8000000.0,8000000.0,2620000000.0,-3854000000.0,6474000000.0,311000000.0,6163000000.0,,,,,3016000000.0,186000000.0,528000000.0,145000000.0,31000000.0,352000000.0,461000000.0,18000000.0,443000000.0,1841000000.0,668000000.0,1173000000.0,2023-09-30,
729753000.0,729753000.0,3905000000.0,5088000000.0,10236000000.0,15305000000.0,1525000000.0,10236000000.0,19000000.0,10236000000.0,15305000000.0,10236000000.0,10236000000.0,7608000000.0,-293000000.0,-293000000.0,2009000000.0,912000000.0,912000000.0,6747000000.0,5959000000.0,348000000.0,542000000.0,81000000.0,5069000000.0,5069000000.0,788000000.0,,,19000000.0,19000000.0,,,173000000.0,596000000.0,278000000.0,63000000.0,318000000.0,31000000.0,287000000.0,16983000000.0,14670000000.0,11916000000.0,15000000.0,15000000.0,2739000000.0,-3901000000.0,6640000000.0,270000000.0,1060000000.0,4005000000.0,1222000000.0,83000000.0,0.0,2313000000.0,219000000.0,566000000.0,146000000.0,49000000.0,371000000.0,364000000.0,10000000.0,354000000.0,1164000000.0,,1164000000.0,2023-12-31,0.0
