tax_effect_of_unusual_items,tax_rate_for_calcs,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,total_revenue,operating_revenue,date
0.0,0.230014,-558000000.0,62000000.0,-558000000.0,-558000000.0,14202000000.0,369400000.0,367600000.0,-0.16,-0.15778,-564000000.0,0.0,-564000000.0,6000000.0,-558000000.0,-2000000.0,-556000000.0,-556000000.0,-7000000.0,-164000000.0,-713000000.0,1601000000.0,,3343000000.0,3343000000.0,3343000000.0,13489000000.0,13489000000.0,2022-12-31
0.0,0.207,1462000000.0,41000000.0,1462000000.0,1462000000.0,15185000000.0,367700000.0,366500000.0,3.93,3.94,1444000000.0,,1444000000.0,18000000.0,1462000000.0,-15000000.0,1477000000.0,1477000000.0,12000000.0,382000000.0,1847000000.0,1019000000.0,-13000000.0,3204000000.0,3204000000.0,3204000000.0,17032000000.0,17032000000.0,2023-03-31
0.0,0.198068,511000000.0,5000000.0,511000000.0,511000000.0,12877000000.0,366100000.0,364800000.0,1.38,1.38,505000000.0,0.0,505000000.0,6000000.0,511000000.0,15000000.0,496000000.0,496000000.0,-2000000.0,123000000.0,621000000.0,1044000000.0,-12000000.0,3143000000.0,3143000000.0,3143000000.0,13498000000.0,13498000000.0,2023-06-30
0.0,0.23724,-802000000.0,-45000000.0,-802000000.0,-802000000.0,9365000000.0,362600000.0,362600000.0,-2.23,-2.23,-807000000.0,0.0,-807000000.0,5000000.0,-802000000.0,-11000000.0,-791000000.0,-791000000.0,16000000.0,-251000000.0,-1058000000.0,197000000.0,-9000000.0,3066000000.0,3066000000.0,3066000000.0,8307000000.0,8307000000.0,2023-09-30
0.0,0.216005,1317000000.0,-71000000.0,1317000000.0,1317000000.0,13891000000.0,,,,,1305000000.0,0.0,1305000000.0,12000000.0,1317000000.0,-9000000.0,1326000000.0,1326000000.0,23000000.0,359000000.0,1662000000.0,1805000000.0,158000000.0,3538000000.0,3538000000.0,3538000000.0,15553000000.0,15553000000.0,2023-12-31
