tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.251676,377900000.0,245600000.0,44700000.0,927200000.0,377900000.0,333200000.0,-4700000.0,5000000.0,300000.0,245600000.0,245600000.0,1362700000.0,332900000.0,572800000.0,571100000.0,0.43,0.43,245600000.0,245600000.0,245600000.0,245600000.0,245600000.0,82600000.0,328200000.0,-4700000.0,5000000.0,300000.0,332900000.0,435500000.0,,,,,768400000.0,927200000.0,1695600000.0,1695600000.0,2022-12-31
0.0,0.243,438100000.0,295100000.0,44500000.0,1009100000.0,438100000.0,393600000.0,-3500000.0,3900000.0,400000.0,295100000.0,295100000.0,1465900000.0,393200000.0,572600000.0,570900000.0,0.52,0.52,295100000.0,295100000.0,295100000.0,295100000.0,295100000.0,94600000.0,389700000.0,-3500000.0,3900000.0,400000.0,393200000.0,456800000.0,456800000.0,,,,850000000.0,1009100000.0,1859100000.0,1859100000.0,2023-03-31
0.0,0.241,440400000.0,298000000.0,44900000.0,1025600000.0,440400000.0,395500000.0,-2300000.0,2900000.0,600000.0,298000000.0,298000000.0,1488200000.0,394900000.0,572900000.0,571100000.0,0.52,0.52,298000000.0,298000000.0,298000000.0,298000000.0,298000000.0,94600000.0,392600000.0,-2300000.0,2900000.0,600000.0,394900000.0,462600000.0,,462600000.0,,,857500000.0,1025600000.0,1883100000.0,1883100000.0,2023-06-30
0.0,0.234,432200000.0,295500000.0,44700000.0,998300000.0,432200000.0,387500000.0,-1300000.0,2100000.0,800000.0,295500000.0,295500000.0,1459200000.0,386700000.0,573100000.0,571400000.0,0.52,0.52,295500000.0,295500000.0,295500000.0,295500000.0,295500000.0,89900000.0,385400000.0,-1300000.0,2100000.0,800000.0,386700000.0,460900000.0,,460900000.0,460900000.0,460900000.0,847600000.0,998300000.0,1845900000.0,1845900000.0,2023-09-30
0.0,0.247883,399300000.0,266400000.0,43200000.0,959200000.0,399300000.0,356100000.0,400000.0,1900000.0,2300000.0,266400000.0,266400000.0,1404800000.0,353800000.0,573400000.0,571700000.0,0.46,0.47,266400000.0,266400000.0,266400000.0,266400000.0,266400000.0,87800000.0,354200000.0,400000.0,1900000.0,2300000.0,353800000.0,445600000.0,,445600000.0,,,799400000.0,959200000.0,1758600000.0,1758600000.0,2023-12-31
0.0,0.236,434700000.0,297700000.0,42900000.0,1033500000.0,434700000.0,391800000.0,-400000.0,2000000.0,1600000.0,297700000.0,297700000.0,1504900000.0,390200000.0,574100000.0,572300000.0,0.52,0.52,297700000.0,297700000.0,297700000.0,297700000.0,297700000.0,92100000.0,389800000.0,-400000.0,2000000.0,1600000.0,390200000.0,471400000.0,,471400000.0,,,861600000.0,1033500000.0,1895100000.0,1895100000.0,2024-03-31
