treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,properties,current_assets,other_current_assets,prepaid_assets,inventory,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date
,570811674.0,570811674.0,324900000.0,802100000.0,3163200000.0,3718200000.0,2335000000.0,3163200000.0,247100000.0,3163200000.0,3516400000.0,3163200000.0,3163200000.0,-64800000.0,-64800000.0,3218700000.0,3600000.0,5700000.0,5700000.0,0.0,1385400000.0,595600000.0,3500000.0,83700000.0,83700000.0,508400000.0,155200000.0,353200000.0,789800000.0,293700000.0,91900000.0,201800000.0,201800000.0,54800000.0,40400000.0,400900000.0,105600000.0,295300000.0,40300000.0,,255000000.0,4548600000.0,1423800000.0,170800000.0,1253000000.0,-1301400000.0,2554400000.0,96000000.0,1796000000.0,85700000.0,509200000.0,67500000.0,0.0,3124800000.0,165400000.0,8100000.0,1708000000.0,1013200000.0,1013200000.0,-8300000.0,1021500000.0,230100000.0,230100000.0,2022-12-31
,571024422.0,571024422.0,160200000.0,648100000.0,3270600000.0,3670600000.0,2298300000.0,3270600000.0,248100000.0,3270600000.0,3470600000.0,3270600000.0,3270600000.0,-60500000.0,-60500000.0,3314000000.0,11400000.0,5700000.0,5700000.0,0.0,1306400000.0,443200000.0,2500000.0,84000000.0,84000000.0,356700000.0,156700000.0,200000000.0,863200000.0,291400000.0,91400000.0,200000000.0,200000000.0,,,571800000.0,229200000.0,342600000.0,75800000.0,75800000.0,266800000.0,4577000000.0,1415500000.0,168200000.0,1247300000.0,,1247300000.0,,1247300000.0,,,,,3161500000.0,120000000.0,0.0,1651900000.0,1149800000.0,1149800000.0,-6100000.0,1155900000.0,239800000.0,239800000.0,2023-03-31
,571288830.0,571288830.0,106400000.0,618400000.0,3380800000.0,3730800000.0,2400400000.0,3380800000.0,268400000.0,3380800000.0,3580800000.0,3380800000.0,3380800000.0,-56900000.0,-56900000.0,3412100000.0,19900000.0,5700000.0,5700000.0,0.0,1196000000.0,459400000.0,1800000.0,84300000.0,84300000.0,373300000.0,173300000.0,200000000.0,736600000.0,245100000.0,95100000.0,150000000.0,150000000.0,,,491500000.0,229500000.0,262000000.0,,,262000000.0,4576800000.0,1439800000.0,165800000.0,1274000000.0,,1274000000.0,,1274000000.0,,,,,3137000000.0,141700000.0,14700000.0,1565400000.0,1171600000.0,1171600000.0,-6500000.0,1178100000.0,243600000.0,243600000.0,2023-06-30
0.0,571404311.0,571404311.0,,538900000.0,3466600000.0,3726600000.0,2479700000.0,3466600000.0,278900000.0,3466600000.0,3666600000.0,3466600000.0,3466600000.0,-71500000.0,-71500000.0,3507800000.0,24600000.0,5700000.0,5700000.0,0.0,1130000000.0,462100000.0,900000.0,79300000.0,79300000.0,381900000.0,181900000.0,200000000.0,667900000.0,157000000.0,97000000.0,60000000.0,60000000.0,,,510900000.0,235800000.0,275100000.0,,,275100000.0,4596600000.0,1449000000.0,163300000.0,1285700000.0,,1285700000.0,,1285700000.0,,,,,3147600000.0,150000000.0,15300000.0,1513800000.0,1171000000.0,1171000000.0,-6600000.0,1177600000.0,297500000.0,297500000.0,2023-09-30
0.0,571982367.0,571982367.0,38700000.0,535000000.0,3348800000.0,3608800000.0,2359600000.0,3348800000.0,275000000.0,3348800000.0,3548800000.0,3348800000.0,3348800000.0,-54800000.0,-54800000.0,3356900000.0,41000000.0,5700000.0,5700000.0,0.0,1114100000.0,452800000.0,1000000.0,73000000.0,73000000.0,378800000.0,178800000.0,200000000.0,661300000.0,156200000.0,96200000.0,60000000.0,60000000.0,55400000.0,40100000.0,409600000.0,109400000.0,300200000.0,36100000.0,,264100000.0,4462900000.0,1442000000.0,160700000.0,1281300000.0,-1425500000.0,2706800000.0,107800000.0,1908400000.0,98300000.0,525100000.0,67200000.0,0.0,3020900000.0,171800000.0,17500000.0,1522700000.0,1087600000.0,1087600000.0,-6400000.0,1094000000.0,221300000.0,221300000.0,2023-12-31
,572525495.0,572525495.0,,483400000.0,3429200000.0,3629200000.0,2445600000.0,3429200000.0,283400000.0,3429200000.0,3629200000.0,3429200000.0,3429200000.0,-66700000.0,-66700000.0,3431400000.0,58800000.0,5700000.0,5700000.0,0.0,1103500000.0,465600000.0,5800000.0,73800000.0,73800000.0,386000000.0,186000000.0,200000000.0,637900000.0,97400000.0,97400000.0,,,,,540500000.0,207500000.0,333000000.0,57000000.0,57000000.0,276000000.0,4532700000.0,1449200000.0,158100000.0,1291100000.0,,1291100000.0,,1291100000.0,,,,,3083500000.0,136900000.0,0.0,1496300000.0,1213200000.0,1213200000.0,-4800000.0,1218000000.0,237100000.0,237100000.0,2024-03-31
