tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-27144000.0,0.232,4107000000.0,-117000000.0,-117000000.0,2670000000.0,415000000.0,4942000000.0,3990000000.0,3575000000.0,69000000.0,100000000.0,169000000.0,2759856000.0,2670000000.0,10094000000.0,3540000000.0,4116000000.0,4108000000.0,0.65,0.65,2670000000.0,2670000000.0,2670000000.0,2670000000.0,2670000000.0,805000000.0,3475000000.0,-132000000.0,-15000000.0,2000000.0,-2000000.0,-119000000.0,69000000.0,100000000.0,169000000.0,3538000000.0,4808000000.0,71000000.0,71000000.0,71000000.0,71000000.0,1781000000.0,2956000000.0,2391000000.0,565000000.0,565000000.0,8346000000.0,5286000000.0,13632000000.0,13632000000.0,2022-10-31
-39104000.0,0.188,4168000000.0,-208000000.0,-208000000.0,2773000000.0,438000000.0,4798000000.0,3960000000.0,3522000000.0,112000000.0,107000000.0,219000000.0,2941896000.0,2773000000.0,10057000000.0,3292000000.0,4116000000.0,4103000000.0,0.67,0.68,2773000000.0,2773000000.0,2773000000.0,2773000000.0,2773000000.0,642000000.0,3415000000.0,-232000000.0,-24000000.0,-243000000.0,243000000.0,35000000.0,112000000.0,107000000.0,219000000.0,3535000000.0,4892000000.0,71000000.0,71000000.0,71000000.0,71000000.0,1855000000.0,2966000000.0,2384000000.0,582000000.0,582000000.0,8427000000.0,5165000000.0,13592000000.0,13592000000.0,2023-01-31
-41548000.0,0.188,4738000000.0,-221000000.0,-221000000.0,3212000000.0,451000000.0,4958000000.0,4517000000.0,4066000000.0,153000000.0,109000000.0,262000000.0,3391452000.0,3212000000.0,10538000000.0,3946000000.0,4110000000.0,4089000000.0,0.78,0.79,3212000000.0,3212000000.0,3212000000.0,3212000000.0,3212000000.0,745000000.0,3957000000.0,-229000000.0,-8000000.0,-87000000.0,87000000.0,-134000000.0,153000000.0,109000000.0,262000000.0,4033000000.0,5199000000.0,70000000.0,70000000.0,70000000.0,70000000.0,1962000000.0,3167000000.0,2526000000.0,641000000.0,641000000.0,9232000000.0,5339000000.0,14571000000.0,14571000000.0,2023-04-30
-18587787.966898,0.114739,5166000000.0,-162000000.0,-162000000.0,3958000000.0,422000000.0,5103000000.0,5004000000.0,4582000000.0,201000000.0,111000000.0,312000000.0,4101412212.033102,3958000000.0,10747000000.0,4253000000.0,4093000000.0,4071000000.0,0.97,0.97,3958000000.0,3958000000.0,3958000000.0,3958000000.0,3958000000.0,513000000.0,4471000000.0,-186000000.0,-24000000.0,-203000000.0,203000000.0,41000000.0,201000000.0,111000000.0,312000000.0,4456000000.0,5292000000.0,70000000.0,70000000.0,70000000.0,70000000.0,1953000000.0,3269000000.0,2579000000.0,690000000.0,690000000.0,9748000000.0,5455000000.0,15203000000.0,15203000000.0,2023-07-31
-35114000.0,0.181,5148000000.0,-194000000.0,-194000000.0,3638000000.0,401000000.0,4777000000.0,4954000000.0,4553000000.0,249000000.0,111000000.0,360000000.0,3796886000.0,3638000000.0,10269000000.0,4276000000.0,4087000000.0,4057000000.0,0.89,0.9,3638000000.0,3638000000.0,3638000000.0,3638000000.0,3638000000.0,804000000.0,4442000000.0,-206000000.0,-12000000.0,-123000000.0,123000000.0,-71000000.0,249000000.0,111000000.0,360000000.0,4399000000.0,5158000000.0,67000000.0,67000000.0,67000000.0,67000000.0,1913000000.0,3178000000.0,2506000000.0,672000000.0,672000000.0,9557000000.0,5111000000.0,14668000000.0,14668000000.0,2023-10-31
-20541000.0,0.167,3826000000.0,-123000000.0,-123000000.0,2634000000.0,422000000.0,4218000000.0,3703000000.0,3281000000.0,204000000.0,120000000.0,324000000.0,2736459000.0,2634000000.0,9683000000.0,3096000000.0,4073000000.0,4055000000.0,0.65,0.65,2634000000.0,2634000000.0,2634000000.0,2634000000.0,2634000000.0,527000000.0,3161000000.0,-151000000.0,-28000000.0,-12000000.0,12000000.0,-111000000.0,204000000.0,120000000.0,324000000.0,3108000000.0,5109000000.0,66000000.0,66000000.0,66000000.0,66000000.0,1943000000.0,3100000000.0,2458000000.0,642000000.0,642000000.0,8217000000.0,4574000000.0,12791000000.0,12791000000.0,2024-01-31
