tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,net_non_operating_interest_income_expense,total_other_finance_cost,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,rent_and_landing_fees,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,interest_expense,interest_income,interest_expense_non_operating,interest_income_non_operating
0.0,0.120818,150088000.0,88946000.0,44881000.0,101820000.0,150088000.0,105207000.0,8400000.0,88946000.0,88946000.0,187835000.0,3869000.0,91554000.0,210329656.0,207978371.0,0.42,0.43,89057000.0,89057000.0,,88946000.0,-10056000.0,99002000.0,99002000.0,13605000.0,112607000.0,,,8400000.0,-8400000.0,105207000.0,86015000.0,44881000.0,44881000.0,54787000.0,54787000.0,50918000.0,3869000.0,191222000.0,101820000.0,293042000.0,290732000.0,2022-12-31,,,,
0.0,0.245,167970000.0,87856000.0,45404000.0,114493000.0,167970000.0,122566000.0,12491000.0,87856000.0,87856000.0,206683000.0,4123000.0,122566000.0,210143734.0,208105437.0,0.42,0.42,87733000.0,87733000.0,123000.0,87856000.0,-14337000.0,102193000.0,102193000.0,33205000.0,135398000.0,341000.0,341000.0,12491000.0,-12491000.0,122566000.0,92190000.0,45404000.0,45404000.0,46786000.0,46786000.0,42663000.0,4123000.0,214756000.0,114493000.0,329249000.0,326566000.0,2023-03-31,,,,
0.0,0.221768,162222000.0,89082000.0,45887000.0,103924000.0,162222000.0,116335000.0,15109000.0,89082000.0,89082000.0,194278000.0,4028000.0,116335000.0,213156753.0,211569728.0,0.42,0.42,88980000.0,88980000.0,102000.0,89082000.0,-12857000.0,101939000.0,101939000.0,29049000.0,130988000.0,-456000.0,-456000.0,15109000.0,-15109000.0,116335000.0,90354000.0,45887000.0,45887000.0,44467000.0,44467000.0,40439000.0,4028000.0,206689000.0,103924000.0,310613000.0,307670000.0,2023-06-30,,,,
0.0,0.204325,171297000.0,98614000.0,46559000.0,116016000.0,171297000.0,124738000.0,17465000.0,98614000.0,98614000.0,203619000.0,4132000.0,124738000.0,213491634.0,211618475.0,0.46,0.47,98490000.0,98490000.0,124000.0,98614000.0,-13016000.0,111630000.0,111630000.0,28666000.0,140296000.0,-1907000.0,-1907000.0,17465000.0,-17465000.0,124738000.0,87603000.0,46559000.0,46559000.0,41044000.0,41044000.0,36912000.0,4132000.0,212341000.0,116016000.0,328357000.0,325306000.0,2023-09-30,,,,
0.0,0.2658,179613000.0,89314000.0,47500000.0,125872000.0,179613000.0,132113000.0,20285000.0,89314000.0,89314000.0,237887000.0,3647000.0,141630000.0,,,,,89195000.0,89195000.0,119000.0,89314000.0,-14427000.0,103741000.0,103741000.0,37557000.0,141298000.0,-11100000.0,-11100000.0,20285000.0,-20285000.0,132113000.0,112015000.0,47500000.0,47500000.0,54998000.0,54998000.0,51351000.0,3647000.0,244128000.0,125872000.0,370000000.0,367110000.0,2023-12-31,,,,
0.0,0.233333,238075000.0,126142000.0,49337000.0,143087000.0,238075000.0,188738000.0,19342000.0,126142000.0,126142000.0,241061000.0,4673000.0,167678000.0,214660853.0,212709872.0,0.59,0.59,126047000.0,126047000.0,95000.0,126142000.0,-17240000.0,143382000.0,143382000.0,43638000.0,187020000.0,,,19342000.0,,167678000.0,97974000.0,49337000.0,49337000.0,48637000.0,48637000.0,43964000.0,4673000.0,265652000.0,143087000.0,408739000.0,405632000.0,2024-03-31,1718000.0,21060000.0,1718000.0,21060000.0
