tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
5299866.552952,0.226258,3609000.0,23424000.0,23424000.0,-15417000.0,28004000.0,458343000.0,27033000.0,-971000.0,-1739000.0,18962000.0,21613000.0,-33541133.447048,-15417000.0,581120000.0,-58565000.0,,,,,-15417000.0,-15417000.0,-15417000.0,6000.0,-15423000.0,-15423000.0,-4510000.0,-19933000.0,39197000.0,,-1174000.0,-1174000.0,0.0,15775000.0,24598000.0,-1739000.0,4390000.0,18962000.0,21613000.0,-57391000.0,122777000.0,90637000.0,2879000.0,29261000.0,29261000.0,29261000.0,65386000.0,458343000.0,523729000.0,523729000.0,2022-12-31
-73260.221608,0.231836,251273000.0,-316000.0,-316000.0,118969000.0,76373000.0,519795000.0,250957000.0,174584000.0,3943000.0,19716000.0,27540000.0,119211739.778392,118969000.0,592270000.0,94705000.0,434557000.0,432850000.0,0.27,0.27,118969000.0,118969000.0,118969000.0,5000.0,118964000.0,118964000.0,35904000.0,154868000.0,56220000.0,,0.0,0.0,,56536000.0,-316000.0,3943000.0,3881000.0,19716000.0,27540000.0,94705000.0,72475000.0,4232000.0,4232000.0,64011000.0,64011000.0,64011000.0,167180000.0,519795000.0,686975000.0,686975000.0,2023-03-31
-6050000.0,0.4,112777000.0,-15125000.0,-15125000.0,13693000.0,41852000.0,372014000.0,97652000.0,55800000.0,8354000.0,18749000.0,31098000.0,22768000.0,13693000.0,446436000.0,35275000.0,434618000.0,433096000.0,0.03,0.03,13693000.0,13693000.0,13693000.0,0.0,13693000.0,13693000.0,23358000.0,37051000.0,-6854000.0,545000.0,-276000.0,-276000.0,0.0,7726000.0,-14849000.0,8354000.0,3995000.0,18749000.0,31098000.0,35551000.0,74422000.0,12267000.0,5107000.0,57048000.0,57048000.0,57048000.0,109973000.0,372014000.0,481987000.0,481987000.0,2023-06-30
1399910.565658,0.21504,257366000.0,6510000.0,6510000.0,148080000.0,55987000.0,423289000.0,263876000.0,207889000.0,11026000.0,19259000.0,33986000.0,142969910.565658,148080000.0,439451000.0,135536000.0,435134000.0,433587000.0,0.34,0.34,148080000.0,148080000.0,148080000.0,13000.0,148067000.0,148067000.0,40563000.0,188630000.0,41976000.0,,-92000.0,-92000.0,0.0,35466000.0,6602000.0,11026000.0,3701000.0,19259000.0,33986000.0,135628000.0,16162000.0,-57198000.0,7850000.0,65510000.0,65510000.0,65510000.0,151790000.0,423289000.0,575079000.0,575079000.0,2023-09-30
14978328.746306,0.248694,126811000.0,60228000.0,60228000.0,80106000.0,46112000.0,710994000.0,187039000.0,140927000.0,-27522000.0,34322000.0,19045000.0,34856328.746306,80106000.0,824553000.0,17344000.0,,,,,80106000.0,80106000.0,80106000.0,13000.0,80093000.0,80093000.0,26512000.0,106605000.0,114963000.0,1000.0,-1820000.0,-1820000.0,0.0,54734000.0,62048000.0,-27522000.0,12245000.0,34322000.0,19045000.0,19164000.0,113559000.0,50742000.0,3847000.0,58970000.0,58970000.0,58970000.0,132723000.0,710994000.0,843717000.0,843717000.0,2023-12-31
