treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,tradeand_other_payables_non_current,long_term_debt_and_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,commercial_paper,payables_and_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,other_investments,investmentin_financial_assets,available_for_sale_securities,net_ppe,accumulated_depreciation,gross_ppe,leases,machinery_furniture_equipment,land_and_improvements,properties,current_assets,other_current_assets,inventory,finished_goods,raw_materials,receivables,other_receivables,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,other_equity_adjustments
,15842407000.0,15842407000.0,90575000000.0,111110000000.0,56727000000.0,167837000000.0,-8509000000.0,56727000000.0,56727000000.0,156354000000.0,56727000000.0,56727000000.0,-12912000000.0,3240000000.0,66399000000.0,66399000000.0,290020000000.0,152734000000.0,53107000000.0,,99627000000.0,99627000000.0,137286000000.0,59893000000.0,7992000000.0,7992000000.0,11483000000.0,11483000000.0,9740000000.0,1743000000.0,57918000000.0,57918000000.0,57918000000.0,346747000000.0,217970000000.0,60924000000.0,,,114095000000.0,114095000000.0,,,42951000000.0,-68044000000.0,110995000000.0,,,,,128777000000.0,16422000000.0,6820000000.0,4307000000.0,2513000000.0,54180000000.0,30428000000.0,23752000000.0,51355000000.0,30820000000.0,20535000000.0,2627000000.0,17908000000.0,2022-12-31,
,15723406000.0,15723406000.0,84928000000.0,109615000000.0,62158000000.0,171773000000.0,-7162000000.0,62158000000.0,62158000000.0,159199000000.0,62158000000.0,62158000000.0,-11746000000.0,4336000000.0,69568000000.0,69568000000.0,270002000000.0,149927000000.0,52886000000.0,,97041000000.0,97041000000.0,120075000000.0,56425000000.0,8131000000.0,8131000000.0,12574000000.0,12574000000.0,10578000000.0,1996000000.0,42945000000.0,42945000000.0,42945000000.0,332160000000.0,219247000000.0,65388000000.0,,,110461000000.0,,110461000000.0,110461000000.0,43398000000.0,-69668000000.0,113066000000.0,,,,,112913000000.0,13660000000.0,7482000000.0,4103000000.0,3379000000.0,35899000000.0,17963000000.0,17936000000.0,55872000000.0,31185000000.0,24687000000.0,4637000000.0,20050000000.0,2023-03-31,
,15647868000.0,15647868000.0,80872000000.0,109280000000.0,60274000000.0,169554000000.0,-2304000000.0,60274000000.0,60274000000.0,158345000000.0,60274000000.0,60274000000.0,-11801000000.0,1408000000.0,70667000000.0,70667000000.0,274764000000.0,149801000000.0,51730000000.0,,98071000000.0,98071000000.0,124963000000.0,58897000000.0,8158000000.0,8158000000.0,11209000000.0,11209000000.0,7216000000.0,3993000000.0,46699000000.0,46699000000.0,46699000000.0,335038000000.0,212379000000.0,64768000000.0,,,104061000000.0,,104061000000.0,104061000000.0,43550000000.0,-70787000000.0,114337000000.0,,,,,122659000000.0,13640000000.0,7351000000.0,3563000000.0,3788000000.0,39186000000.0,19637000000.0,19549000000.0,62482000000.0,34074000000.0,28408000000.0,3071000000.0,25337000000.0,2023-06-30,
0.0,15550061000.0,15550061000.0,81123000000.0,111088000000.0,62146000000.0,173234000000.0,-1742000000.0,62146000000.0,62146000000.0,157427000000.0,62146000000.0,62146000000.0,-11452000000.0,-214000000.0,73812000000.0,73812000000.0,290437000000.0,145129000000.0,34391000000.0,15457000000.0,95281000000.0,95281000000.0,145308000000.0,58829000000.0,8061000000.0,8061000000.0,15807000000.0,15807000000.0,9822000000.0,5985000000.0,62611000000.0,62611000000.0,62611000000.0,352583000000.0,209017000000.0,46906000000.0,17852000000.0,17852000000.0,100544000000.0,,100544000000.0,100544000000.0,43715000000.0,-70884000000.0,114599000000.0,12839000000.0,78314000000.0,23446000000.0,0.0,143566000000.0,14695000000.0,6331000000.0,,,60985000000.0,31477000000.0,29508000000.0,61555000000.0,31590000000.0,29965000000.0,1606000000.0,28359000000.0,2023-09-30,
0.0,15460223000.0,15460223000.0,67280000000.0,108040000000.0,74100000000.0,182140000000.0,9719000000.0,74100000000.0,74100000000.0,169188000000.0,74100000000.0,74100000000.0,-9378000000.0,8242000000.0,75236000000.0,75236000000.0,279414000000.0,145441000000.0,50353000000.0,,95088000000.0,95088000000.0,133973000000.0,54611000000.0,8264000000.0,8264000000.0,12952000000.0,12952000000.0,10954000000.0,1998000000.0,58146000000.0,58146000000.0,58146000000.0,353514000000.0,209822000000.0,66681000000.0,,,99475000000.0,,99475000000.0,99475000000.0,43666000000.0,-72510000000.0,116176000000.0,,,,,143692000000.0,13979000000.0,6511000000.0,,,50102000000.0,26908000000.0,23194000000.0,73100000000.0,32340000000.0,40760000000.0,11218000000.0,29542000000.0,2023-12-31,-9378000000.0
