treasury_shares_number,ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,other_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_prepaid_assets,investments_and_advances,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
2571.0,79120741.0,79123312.0,22866000.0,424808000.0,489686000.0,324891000.0,424808000.0,22866000.0,489686000.0,489686000.0,489686000.0,489686000.0,-357000.0,-357000.0,47000.0,-713775000.0,1203074000.0,791000.0,791000.0,0.0,62121000.0,22952000.0,2595000.0,20357000.0,20357000.0,39169000.0,2509000.0,2509000.0,10006000.0,26654000.0,26057000.0,597000.0,597000.0,551807000.0,187747000.0,1340000.0,608000.0,43276000.0,64878000.0,25724000.0,39154000.0,77645000.0,-9093000.0,86738000.0,589000.0,70541000.0,15608000.0,,0.0,364060000.0,7666000.0,356394000.0,215877000.0,140517000.0,2022-12-31
2571.0,80409623.0,80412194.0,25397000.0,393998000.0,458876000.0,306827000.0,393998000.0,25397000.0,458876000.0,458876000.0,458876000.0,458876000.0,-90000.0,-90000.0,47000.0,-772110000.0,1230319000.0,804000.0,804000.0,0.0,55881000.0,24675000.0,1875000.0,22800000.0,22800000.0,31206000.0,2597000.0,2597000.0,4199000.0,24410000.0,23813000.0,597000.0,597000.0,514757000.0,176724000.0,1340000.0,459000.0,28957000.0,64878000.0,25724000.0,39154000.0,81090000.0,-10229000.0,91319000.0,1694000.0,69450000.0,15806000.0,4369000.0,0.0,338033000.0,6949000.0,331084000.0,266505000.0,64579000.0,2023-03-31
2571.0,80518844.0,80521415.0,25386000.0,338092000.0,402970000.0,277728000.0,338092000.0,25386000.0,402970000.0,402970000.0,402970000.0,402970000.0,-722000.0,-722000.0,47000.0,-837811000.0,1240745000.0,805000.0,805000.0,0.0,58811000.0,24465000.0,2072000.0,22393000.0,22393000.0,34346000.0,2993000.0,2993000.0,6013000.0,25340000.0,24743000.0,597000.0,597000.0,461781000.0,149707000.0,1362000.0,542000.0,0.0,64878000.0,25724000.0,39154000.0,82925000.0,-11422000.0,94347000.0,3289000.0,70317000.0,16396000.0,4345000.0,0.0,312074000.0,5034000.0,307040000.0,261964000.0,45076000.0,2023-06-30
0.0,90146602.0,90146602.0,25183000.0,476782000.0,541086000.0,413389000.0,476782000.0,25183000.0,541086000.0,541086000.0,541086000.0,541086000.0,-508000.0,-508000.0,0.0,-899710000.0,1440403000.0,901000.0,901000.0,0.0,57676000.0,24200000.0,1869000.0,22331000.0,22331000.0,33476000.0,2852000.0,2852000.0,8359000.0,22265000.0,22265000.0,,,598762000.0,151897000.0,1372000.0,542000.0,0.0,64304000.0,25150000.0,39154000.0,85679000.0,-12642000.0,98321000.0,6255000.0,70982000.0,16995000.0,4089000.0,0.0,446865000.0,9694000.0,437171000.0,211514000.0,225657000.0,2023-09-30
,90282267.0,90282267.0,25042000.0,428270000.0,492574000.0,329717000.0,428270000.0,25042000.0,492574000.0,492574000.0,492574000.0,492574000.0,319000.0,319000.0,0.0,-959370000.0,1450722000.0,903000.0,903000.0,0.0,73767000.0,25262000.0,2936000.0,22326000.0,22326000.0,48505000.0,2716000.0,2716000.0,9930000.0,35859000.0,22722000.0,13137000.0,13137000.0,566341000.0,188119000.0,1372000.0,533000.0,34320000.0,64304000.0,25150000.0,39154000.0,87590000.0,-14032000.0,101622000.0,6723000.0,77650000.0,17249000.0,,0.0,378222000.0,5047000.0,373175000.0,317271000.0,55904000.0,2023-12-31
