tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,pretax_income,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,total_revenue,operating_revenue,date
0.0,0.0,-63954000.0,-66723000.0,3383000.0,-63954000.0,-67337000.0,1859000.0,-614000.0,1245000.0,-66723000.0,-66723000.0,68582000.0,-69082000.0,-66723000.0,-66723000.0,-66723000.0,-66723000.0,-66723000.0,-66723000.0,1859000.0,-614000.0,1245000.0,-68582000.0,68582000.0,50037000.0,19045000.0,19045000.0,19045000.0,0.0,0.0,2022-12-31
0.0,0.0,-56194000.0,-58335000.0,1673000.0,-56194000.0,-57867000.0,3859000.0,468000.0,4327000.0,-58335000.0,-58335000.0,62194000.0,-62194000.0,-58335000.0,-58335000.0,-58335000.0,-58335000.0,-58335000.0,-58335000.0,3859000.0,468000.0,4327000.0,-62194000.0,62194000.0,46371000.0,15823000.0,15823000.0,15823000.0,0.0,0.0,2023-03-31
0.0,0.0,-63502000.0,-65701000.0,1731000.0,-63502000.0,-65233000.0,3056000.0,468000.0,3524000.0,-65701000.0,-65701000.0,68757000.0,-68757000.0,-65701000.0,-65701000.0,-65701000.0,-65701000.0,-65701000.0,-65701000.0,3056000.0,468000.0,3524000.0,-68757000.0,68757000.0,51383000.0,17374000.0,17374000.0,17374000.0,0.0,0.0,2023-06-30
0.0,0.0,-59671000.0,-61899000.0,1759000.0,-59671000.0,-61430000.0,3530000.0,469000.0,3999000.0,-61899000.0,-61899000.0,65429000.0,-65429000.0,-61899000.0,-61899000.0,-61899000.0,-61899000.0,-61899000.0,-61899000.0,3530000.0,469000.0,3999000.0,-65429000.0,65429000.0,46844000.0,18585000.0,18585000.0,18585000.0,0.0,0.0,2023-09-30
0.0,0.0,-57255000.0,-59660000.0,1935000.0,-57255000.0,-59190000.0,3619000.0,470000.0,4089000.0,-59660000.0,-59660000.0,63279000.0,-63279000.0,-59660000.0,-59660000.0,-59660000.0,-59660000.0,-59660000.0,-59660000.0,3619000.0,470000.0,4089000.0,-63279000.0,63279000.0,41744000.0,21535000.0,21535000.0,21535000.0,0.0,0.0,2023-12-31
