tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.175807,683709000000.0,326809000000.0,248029000000.0,2463828000000.0,683709000000.0,435680000000.0,-30158000000.0,37101000000.0,6943000000.0,326809000000.0,326809000000.0,2991532000000.0,428737000000.0,1238413000.0,1235285000.0,263.89,264.56,326809000000.0,0.0,326809000000.0,326809000000.0,-1697000000.0,328506000000.0,328506000000.0,70073000000.0,398579000000.0,7355000000.0,7355000000.0,-30158000000.0,37101000000.0,6943000000.0,421382000000.0,527704000000.0,-1484000000.0,529188000000.0,949086000000.0,2463828000000.0,3412914000000.0,3412914000000.0,2022-12-31
0.0,0.106935,376055000000.0,128158000000.0,268948000000.0,2389957000000.0,376055000000.0,107107000000.0,31762000000.0,-37495000000.0,2537000000.0,128158000000.0,128158000000.0,2945708000000.0,128464000000.0,1237895000.0,1234274000.0,103.53,103.83,128158000000.0,0.0,128158000000.0,128158000000.0,-981000000.0,129139000000.0,129139000000.0,15463000000.0,144602000000.0,-5002000000.0,5887000000.0,31762000000.0,-37495000000.0,2537000000.0,117842000000.0,555751000000.0,4992000000.0,550759000000.0,673593000000.0,2389957000000.0,3063550000000.0,3063550000000.0,2023-03-31
0.0,0.211,536721000000.0,217545000000.0,251767000000.0,2249053000000.0,536721000000.0,284954000000.0,22992000000.0,8920000000.0,31912000000.0,217545000000.0,217545000000.0,2715250000000.0,253042000000.0,1238363000.0,1234242000.0,175.67,176.26,217545000000.0,0.0,217545000000.0,217545000000.0,-397000000.0,217942000000.0,217942000000.0,58092000000.0,276034000000.0,4640000000.0,4640000000.0,22992000000.0,8920000000.0,31912000000.0,248402000000.0,466197000000.0,-8742000000.0,474939000000.0,714599000000.0,2249053000000.0,2963652000000.0,2963652000000.0,2023-06-30
0.0,0.2191,594325000000.0,200105000000.0,318699000000.0,2053208000000.0,594325000000.0,275626000000.0,-5414000000.0,18031000000.0,12617000000.0,200105000000.0,200105000000.0,2568557000000.0,263009000000.0,1237223000.0,1233588000.0,161.74,162.21,200105000000.0,,200105000000.0,200105000000.0,-1051000000.0,201156000000.0,201156000000.0,56439000000.0,257595000000.0,2943000000.0,2943000000.0,-5414000000.0,18031000000.0,12617000000.0,260066000000.0,515349000000.0,-3380000000.0,518729000000.0,775415000000.0,2053208000000.0,2828623000000.0,2828623000000.0,2023-09-30
0.0,0.198851,778861000000.0,363918000000.0,281564000000.0,2736489000000.0,778861000000.0,497297000000.0,-4783000000.0,38742000000.0,33959000000.0,363918000000.0,363918000000.0,3287510000000.0,463338000000.0,1234358000.0,1230805000.0,294.82,295.67,363918000000.0,,363918000000.0,363918000000.0,-3453000000.0,367371000000.0,367371000000.0,91184000000.0,458555000000.0,3321000000.0,3321000000.0,-4783000000.0,38742000000.0,33959000000.0,460017000000.0,551021000000.0,-3691000000.0,554712000000.0,1011038000000.0,2736489000000.0,3747527000000.0,3747527000000.0,2023-12-31
