free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_payments,net_issuance_payments_of_debt,net_short_term_debt_issuance,short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_investment_purchase_and_sale,sale_of_investment,purchase_of_investment,net_business_purchase_and_sale,sale_of_business,purchase_of_business,net_ppe_purchase_and_sale,sale_of_ppe,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,taxes_refund_paid,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_tax_payable,change_in_income_tax_payable,change_in_inventory,change_in_receivables,other_non_cash_items,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,earnings_losses_from_equity_investments,gain_loss_on_investment_securities,net_income_from_continuing_operations,date
95990000000.0,-39227000000.0,-36939000000.0,285840000000.0,-205643000000.0,1287980000000.0,1209752000000.0,-48545000000.0,126773000000.0,42991000000.0,42991000000.0,7654000000.0,-43147000000.0,-43147000000.0,-39227000000.0,-39227000000.0,117711000000.0,-103425000000.0,,221136000000.0,-36939000000.0,258075000000.0,-217851000000.0,-217851000000.0,34022000000.0,-12556000000.0,3439000000.0,-15995000000.0,-36747000000.0,1221000000.0,-37968000000.0,-202570000000.0,3073000000.0,-205643000000.0,301633000000.0,301633000000.0,-113805000000.0,-598112000000.0,-102650000000.0,172028000000.0,-384570000000.0,-37974000000.0,-37974000000.0,-71873000000.0,33899000000.0,33899000000.0,-102101000000.0,-142845000000.0,458006000000.0,248029000000.0,248029000000.0,-7801000000.0,-6961000000.0,-840000000.0,315316000000.0,2022-12-31
217427000000.0,-7941000000.0,-25870000000.0,17837000000.0,-178887000000.0,1480900000000.0,1287980000000.0,6795000000.0,186125000000.0,-15048000000.0,-15048000000.0,1111000000.0,-185000000.0,-185000000.0,-7941000000.0,-7941000000.0,-8033000000.0,4626000000.0,4626000000.0,-12659000000.0,-25870000000.0,13211000000.0,-195141000000.0,-195141000000.0,-11676000000.0,-3744000000.0,1808000000.0,-5552000000.0,-2955000000.0,0.0,-2955000000.0,-176766000000.0,2121000000.0,-178887000000.0,396314000000.0,396314000000.0,-114784000000.0,-214859000000.0,76105000000.0,38337000000.0,-417591000000.0,-136852000000.0,-136852000000.0,-171764000000.0,,,12159000000.0,212983000000.0,336439000000.0,268948000000.0,268948000000.0,-28215000000.0,-5530000000.0,-22685000000.0,144602000000.0,2023-03-31
-143170000000.0,-10150000000.0,-28414000000.0,299638000000.0,-130501000000.0,1532099000000.0,1480900000000.0,48648000000.0,2551000000.0,213867000000.0,213867000000.0,1748000000.0,-48955000000.0,-48955000000.0,-10150000000.0,-10150000000.0,271224000000.0,294039000000.0,294039000000.0,-22815000000.0,-28414000000.0,5599000000.0,-198647000000.0,-198647000000.0,2008000000.0,-16909000000.0,4410000000.0,-21319000000.0,-59480000000.0,,-59480000000.0,-124266000000.0,6235000000.0,-130501000000.0,-12669000000.0,-12669000000.0,-121147000000.0,-310897000000.0,144119000000.0,376738000000.0,-731786000000.0,194526000000.0,194526000000.0,194526000000.0,,,-283152000000.0,-11342000000.0,-96512000000.0,251767000000.0,251767000000.0,-11914000000.0,2275000000.0,-14189000000.0,276034000000.0,2023-06-30
-47873000000.0,-28514000000.0,-42420000000.0,-289869000000.0,-175573000000.0,1626514000000.0,1532099000000.0,15183000000.0,79232000000.0,87953000000.0,87953000000.0,1295000000.0,-378000000.0,-378000000.0,-28514000000.0,-28514000000.0,115550000000.0,153800000000.0,,-38250000000.0,-42420000000.0,4170000000.0,-136421000000.0,-136421000000.0,1376000000.0,44392000000.0,71964000000.0,-27572000000.0,-7793000000.0,,-7793000000.0,-174396000000.0,1177000000.0,-175573000000.0,127700000000.0,127700000000.0,-33683000000.0,-387774000000.0,728082000000.0,-348917000000.0,-379918000000.0,66931000000.0,66931000000.0,109973000000.0,,,-211311000000.0,-242641000000.0,-27902000000.0,318699000000.0,318699000000.0,765000000.0,-2608000000.0,3373000000.0,257595000000.0,2023-09-30
672984000000.0,-36041000000.0,-28477000000.0,456043000000.0,-143943000000.0,2019112000000.0,1626514000000.0,-39817000000.0,432415000000.0,-99627000000.0,-99627000000.0,5778000000.0,-49091000000.0,-49091000000.0,-36041000000.0,-36041000000.0,-20273000000.0,-45687000000.0,,25414000000.0,-28477000000.0,53891000000.0,-284885000000.0,-284885000000.0,-18637000000.0,-22079000000.0,4102000000.0,-26181000000.0,-103652000000.0,,-103652000000.0,-140517000000.0,3426000000.0,-143943000000.0,816927000000.0,816927000000.0,-96601000000.0,134994000000.0,-452978000000.0,847863000000.0,-302531000000.0,-25083000000.0,-25083000000.0,-51532000000.0,26449000000.0,26449000000.0,405946000000.0,-338223000000.0,61638000000.0,281564000000.0,281564000000.0,-23223000000.0,-2699000000.0,-20524000000.0,458555000000.0,2023-12-31
