free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,cash_dividends_paid,net_preferred_stock_issuance,preferred_stock_payments,preferred_stock_issuance,net_common_stock_issuance,common_stock_issuance,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,dividends_received_cfi,net_investment_properties_purchase_and_sale,sale_of_investment_properties,purchase_of_investment_properties,capital_expenditure_reported,operating_cash_flow,cash_flow_from_continuing_operating_activities,dividend_received_cfo,change_in_working_capital,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_accrued_expense,other_non_cash_items,stock_based_compensation,depreciation_amortization_depletion,depreciation_and_amortization,operating_gains_losses,earnings_losses_from_equity_investments,gain_loss_on_investment_securities,net_foreign_currency_exchange_gain_loss,net_income_from_continuing_operations,date,net_business_purchase_and_sale,sale_of_business,purchase_of_business
614474000.0,0.0,-11225000.0,0.0,7358000.0,-121877000.0,805157000.0,911679000.0,0.0,-106522000.0,-410381000.0,-410381000.0,-6598000.0,-399916000.0,0.0,0.0,0.0,7358000.0,7358000.0,-11225000.0,-11225000.0,-11225000.0,0.0,-432492000.0,-432492000.0,0.0,-310615000.0,0.0,-310615000.0,-121877000.0,736351000.0,736351000.0,309000.0,,,,,-49819000.0,12106000.0,226538000.0,226538000.0,132283000.0,-6852000.0,0.0,139135000.0,414934000.0,2022-12-31,,,
600251000.0,,-129000.0,,25116000.0,-96642000.0,725774000.0,805157000.0,0.0,-79383000.0,-563965000.0,-563965000.0,-12701000.0,-576251000.0,0.0,,0.0,25116000.0,25116000.0,-129000.0,-129000.0,-129000.0,,-212311000.0,-212311000.0,,-115669000.0,,-115669000.0,-96642000.0,696893000.0,696893000.0,324000.0,-79061000.0,-36611000.0,-42450000.0,-42450000.0,2890000.0,9845000.0,221650000.0,221650000.0,20830000.0,-5995000.0,,26825000.0,520415000.0,2023-03-31,,,
780817000.0,,-8071000.0,,4941000.0,-101583000.0,682091000.0,725774000.0,,-43683000.0,-591121000.0,-591121000.0,-11687000.0,-576304000.0,0.0,,0.0,4941000.0,4941000.0,-8071000.0,-8071000.0,-8071000.0,,-334962000.0,-334962000.0,,-236544000.0,,-236544000.0,-101583000.0,882400000.0,882400000.0,17005000.0,54925000.0,17192000.0,37733000.0,37733000.0,3768000.0,11949000.0,222133000.0,222133000.0,-8545000.0,-9565000.0,,1020000.0,581165000.0,2023-06-30,,,
750797000.0,,-29000.0,,1042000.0,-124874000.0,660355000.0,682091000.0,,-21736000.0,1603605000.0,1603605000.0,-2384000.0,-576297000.0,0.0,,0.0,1042000.0,1042000.0,2181244000.0,2181244000.0,-29000.0,,-2501012000.0,-2501012000.0,0.0,-197987000.0,,-198088000.0,-124874000.0,875671000.0,875671000.0,334000.0,61981000.0,-21300000.0,83281000.0,83281000.0,3547000.0,9515000.0,238748000.0,238748000.0,-55097000.0,-7227000.0,,-47782000.0,616643000.0,2023-09-30,,,
653646000.0,,-30000.0,0.0,-31099000.0,-138038000.0,400375000.0,660355000.0,,-259980000.0,-561447000.0,-561447000.0,-6979000.0,-576470000.0,0.0,,0.0,,,-30000.0,-30000.0,-30000.0,0.0,-490217000.0,-490217000.0,7810000.0,-359989000.0,39885000.0,-399874000.0,-138038000.0,791684000.0,791684000.0,11670000.0,-18944000.0,24354000.0,-43298000.0,-43298000.0,10303000.0,10257000.0,287525000.0,287525000.0,48976000.0,-5110000.0,-17090000.0,71176000.0,441897000.0,2023-12-31,0.0,0.0,0.0
