tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,research_and_development,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,gain_on_sale_of_business
-29171520.0,0.21,816525000.0,-138912000.0,-138912000.0,412360000.0,226538000.0,259657000.0,677613000.0,451075000.0,-25624000.0,36141000.0,10517000.0,522100480.0,412360000.0,519536000.0,176144000.0,175345000.0,2.06,2.07,362622000.0,362622000.0,1064000.0,48674000.0,412360000.0,-2574000.0,414934000.0,414934000.0,414934000.0,-128448000.0,3612000.0,0.0,0.0,6852000.0,-138912000.0,-25624000.0,36141000.0,10517000.0,569006000.0,259879000.0,4425000.0,226538000.0,226538000.0,8455000.0,20461000.0,20461000.0,12763000.0,7698000.0,828885000.0,259657000.0,1088542000.0,1088542000.0,2022-12-31,
-5174820.0,0.21,802808000.0,-24642000.0,-24642000.0,517708000.0,221650000.0,288291000.0,778166000.0,556516000.0,-24242000.0,36101000.0,11859000.0,537175180.0,517708000.0,535485000.0,176228000.0,175451000.0,2.65,2.67,467588000.0,467588000.0,1442000.0,48678000.0,517708000.0,-2707000.0,520415000.0,520415000.0,520415000.0,-14090000.0,4557000.0,,,5995000.0,-24642000.0,-24242000.0,36101000.0,11859000.0,558747000.0,247194000.0,3316000.0,221650000.0,221650000.0,5157000.0,17071000.0,17071000.0,11467000.0,5604000.0,805941000.0,288291000.0,1094232000.0,1094232000.0,2023-03-31,
-172410.0,0.21,842198000.0,-821000.0,-821000.0,578029000.0,222133000.0,279880000.0,841377000.0,619244000.0,-24834000.0,38079000.0,13245000.0,578677590.0,578029000.0,527447000.0,176212000.0,175484000.0,3.0,3.01,528259000.0,528259000.0,1097000.0,48673000.0,578029000.0,-3136000.0,581165000.0,581165000.0,581165000.0,13676000.0,4932000.0,,,9565000.0,-821000.0,-24834000.0,38079000.0,13245000.0,592323000.0,247567000.0,3061000.0,222133000.0,222133000.0,2889000.0,19484000.0,19484000.0,11286000.0,8198000.0,839890000.0,279880000.0,1119770000.0,1119770000.0,2023-06-30,
10098900.0,0.21,865651000.0,48090000.0,48090000.0,613298000.0,238748000.0,288944000.0,913741000.0,674993000.0,-29835000.0,58350000.0,28515000.0,575306900.0,613298000.0,556317000.0,176150000.0,175499000.0,3.2,3.21,563237000.0,563237000.0,1383000.0,48678000.0,613298000.0,-3345000.0,616643000.0,616643000.0,616643000.0,58975000.0,3658000.0,88000.0,88000.0,7227000.0,48002000.0,-29835000.0,58350000.0,28515000.0,587503000.0,267373000.0,2903000.0,238748000.0,238748000.0,4757000.0,20965000.0,20965000.0,14734000.0,6231000.0,854876000.0,288944000.0,1143820000.0,1143820000.0,2023-09-30,
-16858800.0,0.21,889125000.0,-80280000.0,-80280000.0,439292000.0,287525000.0,290831000.0,808845000.0,521320000.0,-57402000.0,68602000.0,11200000.0,502713200.0,439292000.0,579385000.0,,,,,389657000.0,389657000.0,961000.0,48674000.0,439292000.0,-2605000.0,441897000.0,441897000.0,452718000.0,-70363000.0,4807000.0,-26451000.0,,5110000.0,-53829000.0,-57402000.0,68602000.0,11200000.0,580483000.0,288554000.0,,287525000.0,287525000.0,,23112000.0,23112000.0,17746000.0,5366000.0,869037000.0,290831000.0,1159868000.0,1159868000.0,2023-12-31,0.0
