treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_debt,long_term_provisions,current_liabilities,other_current_liabilities,current_debt_and_capital_lease_obligation,current_debt,other_current_borrowings,current_notes_payable,pensionand_other_post_retirement_benefit_plans_current,current_provisions,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,total_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,investments_and_advances,other_investments,goodwill_and_other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,construction_in_progress,other_properties,current_assets,other_current_assets,restricted_cash,prepaid_assets,inventory,receivables,receivables_adjustments_allowances,other_receivables,taxes_receivable,accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,commercial_paper
,229546105.0,229546105.0,12010900000.0,12036100000.0,7147100000.0,21519800000.0,-1651800000.0,7147100000.0,9483700000.0,19389400000.0,9493300000.0,9600000.0,9483700000.0,-34500000.0,-34500000.0,2298500000.0,7219700000.0,7219700000.0,19996600000.0,16502800000.0,462500000.0,458400000.0,458400000.0,1996600000.0,1996600000.0,9905700000.0,9905700000.0,1112800000.0,3493800000.0,353800000.0,2130400000.0,2130400000.0,439100000.0,1691300000.0,81100000.0,40400000.0,888100000.0,124300000.0,124300000.0,763800000.0,163000000.0,600800000.0,29489900000.0,27647900000.0,534500000.0,653300000.0,653300000.0,2336600000.0,2336600000.0,22277200000.0,-12556300000.0,34833500000.0,1421200000.0,166600000.0,1842000000.0,412500000.0,359000000.0,47800000.0,672900000.0,324600000.0,-31400000.0,200900000.0,9300000.0,8900000.0,8900000.0,25200000.0,25200000.0,2022-12-31,
,229676699.0,229676699.0,12322000000.0,12350400000.0,7152400000.0,21839400000.0,-1668100000.0,7152400000.0,9489000000.0,19586200000.0,9501700000.0,12700000.0,9489000000.0,-33200000.0,,2300000000.0,7222200000.0,7222200000.0,20184200000.0,16717800000.0,464100000.0,481100000.0,481100000.0,2027600000.0,2027600000.0,10097200000.0,10097200000.0,1124100000.0,3466400000.0,370800000.0,2253200000.0,2253200000.0,139400000.0,2113800000.0,52700000.0,39700000.0,750000000.0,122100000.0,122100000.0,627900000.0,261500000.0,366400000.0,29685900000.0,27887600000.0,553600000.0,689500000.0,689500000.0,2336600000.0,2336600000.0,22467900000.0,-12389300000.0,34857200000.0,1458300000.0,302500000.0,1798300000.0,432500000.0,365000000.0,41000000.0,724100000.0,207300000.0,-22900000.0,143400000.0,0.0,4700000.0,4700000.0,28400000.0,28400000.0,2023-03-31,
,229701709.0,229701709.0,12873200000.0,12904600000.0,7198300000.0,22439500000.0,-2116300000.0,7198300000.0,9534900000.0,19632000000.0,9550700000.0,15800000.0,9534900000.0,-31900000.0,-31900000.0,2337800000.0,7229000000.0,7229000000.0,20726400000.0,16774800000.0,463900000.0,512400000.0,512400000.0,2053900000.0,2053900000.0,10097100000.0,10097100000.0,1143900000.0,3951600000.0,344600000.0,2807500000.0,2807500000.0,89400000.0,2718100000.0,55000000.0,40500000.0,704000000.0,100700000.0,100700000.0,603300000.0,233500000.0,369800000.0,30277100000.0,28441800000.0,534800000.0,717200000.0,717200000.0,2336600000.0,2336600000.0,22975900000.0,-12639000000.0,35614900000.0,1194100000.0,289000000.0,1835300000.0,348100000.0,347000000.0,58300000.0,729400000.0,321100000.0,-22600000.0,159500000.0,0.0,7600000.0,7600000.0,31400000.0,31400000.0,2023-06-30,
0.0,229716510.0,229716510.0,12719400000.0,12760400000.0,7412400000.0,22509400000.0,-2913600000.0,7412400000.0,9749000000.0,19046600000.0,9767800000.0,18800000.0,9749000000.0,-30500000.0,-30500000.0,2548000000.0,7231500000.0,7231500000.0,20848200000.0,16038500000.0,452500000.0,469800000.0,469800000.0,2096700000.0,2096700000.0,9297600000.0,9297600000.0,1155300000.0,4809700000.0,358100000.0,3462800000.0,3462800000.0,889400000.0,2573400000.0,67400000.0,40900000.0,880500000.0,122600000.0,122600000.0,757900000.0,339900000.0,418000000.0,30616000000.0,28719900000.0,549700000.0,711200000.0,711200000.0,2336600000.0,2336600000.0,23276800000.0,-12856900000.0,36133700000.0,1403600000.0,311900000.0,1896100000.0,323200000.0,395000000.0,52000000.0,739900000.0,345000000.0,-21500000.0,144500000.0,14900000.0,15700000.0,15700000.0,41000000.0,41000000.0,2023-09-30,
,229729296.0,229729296.0,13119400000.0,13147100000.0,7326500000.0,22810200000.0,-1723500000.0,7326500000.0,9663100000.0,20716400000.0,9685000000.0,21900000.0,9663100000.0,-29600000.0,-29600000.0,2457800000.0,7234900000.0,7234900000.0,21291100000.0,17778500000.0,457900000.0,464100000.0,464100000.0,2097900000.0,2097900000.0,11053300000.0,11053300000.0,1162800000.0,3512600000.0,396200000.0,2093800000.0,2093800000.0,800000000.0,342000000.0,74500000.0,40300000.0,907800000.0,134200000.0,134200000.0,773600000.0,156700000.0,616900000.0,30976100000.0,29187000000.0,560000000.0,766400000.0,766400000.0,2336600000.0,2336600000.0,23728700000.0,-13301600000.0,37030300000.0,1543500000.0,203800000.0,1789100000.0,323500000.0,342000000.0,51300000.0,776200000.0,268400000.0,-24200000.0,169400000.0,11500000.0,2600000.0,2600000.0,27700000.0,27700000.0,2023-12-31,951800000.0
