tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,special_income_charges,other_special_charges,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,other_taxes,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.34,-797915000.0,,,621277000.0,336599000.0,2647994000.0,-797915000.0,-1134514000.0,-151393000.0,-1430046000.0,-779988000.0,621277000.0,621277000.0,5325314000.0,,,,,,621277000.0,621277000.0,621277000.0,-2233000.0,623510000.0,0.0,623510000.0,-327978000.0,295532000.0,145555000.0,,,148462000.0,,-151393000.0,,-1430046000.0,-779988000.0,301370000.0,2677320000.0,1671088000.0,,,,,,,,,2978690000.0,2647994000.0,5626684000.0,4965858000.0,2022-12-31
-130164204.60197,0.278755,1713723000.0,-466949000.0,-466949000.0,626590000.0,352650000.0,3772676000.0,1246774000.0,894124000.0,135258000.0,13023000.0,240639000.0,963374795.39803,626590000.0,4421962000.0,,684302985.0,684302985.0,0.915662,0.915662,626590000.0,626590000.0,626590000.0,-8900000.0,635490000.0,,635490000.0,245611000.0,881101000.0,-362861000.0,,,104088000.0,-466949000.0,135258000.0,-148281000.0,13023000.0,240639000.0,1108704000.0,319360000.0,41092000.0,1448000.0,22724000.0,22724000.0,254096000.0,12631000.0,241465000.0,86477000.0,154988000.0,1428064000.0,4102602000.0,5530666000.0,5084519000.0,2023-03-31
-184732506.162331,0.393705,1357950000.0,-469215000.0,-469215000.0,317792000.0,357622000.0,4681494000.0,888735000.0,531113000.0,238305000.0,23594000.0,16614000.0,602274493.837669,317792000.0,4694043000.0,,684302985.0,684302985.0,0.464402,0.464402,317792000.0,317792000.0,317792000.0,10086000.0,307706000.0,,307706000.0,199813000.0,507519000.0,-396470000.0,,,72745000.0,-469215000.0,238305000.0,-245285000.0,23594000.0,16614000.0,665685000.0,12549000.0,,12549000.0,,,,,,,,678234000.0,4681494000.0,5359728000.0,4882881000.0,2023-06-30
-5760620.0,0.34,484990000.0,-16943000.0,-16943000.0,431142000.0,316960000.0,4277718000.0,468047000.0,151087000.0,-209966000.0,22348000.0,30536000.0,442324380.0,441894000.0,5256183000.0,128739000.0,745867195.0,745867195.0,0.592457,0.592457,441894000.0,441894000.0,441894000.0,-5758000.0,441163000.0,10752000.0,436900000.0,-308161000.0,128739000.0,50899000.0,21659000.0,-21659000.0,67842000.0,-38602000.0,-209966000.0,218154000.0,22348000.0,30536000.0,287806000.0,676479000.0,179692000.0,69496000.0,14974000.0,14974000.0,412317000.0,9604000.0,402713000.0,104918000.0,297795000.0,964285000.0,4579704000.0,5543989000.0,5423257000.0,2023-09-30
-501280521.951275,0.296575,2946529000.0,-1690231000.0,-1690231000.0,555256000.0,354808000.0,3856924000.0,1256298000.0,901490000.0,1488654000.0,21450000.0,-2428000.0,1744206478.048725,737994000.0,4549215000.0,,,,,,737994000.0,737994000.0,737994000.0,-63786000.0,942809000.0,182738000.0,619042000.0,260998000.0,880040000.0,-1627097000.0,-28127000.0,28127000.0,63134000.0,-1662104000.0,1488654000.0,-1512532000.0,21450000.0,-2428000.0,1018483000.0,395502000.0,53057000.0,72011000.0,58019000.0,58019000.0,212415000.0,9531000.0,202884000.0,77735000.0,125149000.0,1413985000.0,4153713000.0,5567698000.0,12376753000.0,2023-12-31
