treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,liabilities_heldfor_sale_non_current,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,long_term_equity_investment,investmentsin_joint_venturesat_cost,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,assets_held_for_sale_current,receivables,other_receivables,taxes_receivable,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,cash_financial,date
,138953354.0,138953354.0,1047338000.0,2814553000.0,-900370000.0,4763322000.0,469749000.0,-900370000.0,606865000.0,2555634000.0,4710368000.0,2692893000.0,137259000.0,2555634000.0,-918361000.0,-918361000.0,-689111000.0,4161716000.0,1390000.0,1390000.0,8712777000.0,3155059000.0,142995000.0,271000.0,236129000.0,236129000.0,14065000.0,14065000.0,2761599000.0,606865000.0,2154734000.0,5557718000.0,43066000.0,1222358000.0,1222358000.0,52954000.0,52954000.0,4239340000.0,2196700000.0,2042640000.0,55334000.0,55334000.0,1987306000.0,11405670000.0,5378213000.0,256025000.0,293987000.0,293987000.0,376951000.0,376951000.0,376951000.0,3456004000.0,31300000.0,3424704000.0,995246000.0,,995246000.0,,995246000.0,,,,6027467000.0,784816000.0,72588000.0,4009713000.0,1488926000.0,87487000.0,2433300000.0,-78300000.0,2511600000.0,1160350000.0,1160350000.0,1160350000.0,2022-12-31
,138724105.0,138724105.0,1135705000.0,2812347000.0,-863762000.0,4803560000.0,501878000.0,-863762000.0,603127000.0,2594340000.0,4746531000.0,2736875000.0,142535000.0,2594340000.0,-921087000.0,-921087000.0,-662891000.0,4176931000.0,1387000.0,1387000.0,8649651000.0,3112386000.0,118057000.0,275000.0,229527000.0,229527000.0,9209000.0,9209000.0,2755318000.0,603127000.0,2152191000.0,5537265000.0,62237000.0,1177293000.0,1177293000.0,57029000.0,57029000.0,4240706000.0,2153800000.0,2086906000.0,43676000.0,43676000.0,2043230000.0,11386526000.0,5347370000.0,221356000.0,292844000.0,292844000.0,387103000.0,387103000.0,387103000.0,3458102000.0,26800000.0,3431302000.0,987965000.0,,987965000.0,,987965000.0,,,,6039143000.0,755062000.0,110574000.0,4099992000.0,1604593000.0,67499000.0,2427900000.0,-76300000.0,2504200000.0,1073515000.0,1073515000.0,1073515000.0,2023-03-31
,138499043.0,138499043.0,946136000.0,2790160000.0,-1012221000.0,4658632000.0,556967000.0,-1012221000.0,586293000.0,2454765000.0,4601804000.0,2622325000.0,167560000.0,2454765000.0,-900815000.0,-900815000.0,-872832000.0,4227027000.0,1385000.0,1385000.0,8804118000.0,3089343000.0,121211000.0,305000.0,224673000.0,224673000.0,9822000.0,9822000.0,2733332000.0,586293000.0,2147039000.0,5714775000.0,57695000.0,1223150000.0,1223150000.0,56828000.0,56828000.0,4377102000.0,2222000000.0,2155102000.0,48789000.0,48789000.0,2106313000.0,11426443000.0,5154747000.0,232282000.0,354945000.0,354945000.0,138191000.0,138191000.0,138191000.0,3466986000.0,22400000.0,3444586000.0,962343000.0,,962343000.0,,962343000.0,,,,6271742000.0,719885000.0,108592000.0,4185534000.0,1608335000.0,58699000.0,2518500000.0,-77100000.0,2595600000.0,1257731000.0,1257731000.0,1257731000.0,2023-06-30
0.0,136210883.0,136210883.0,942617000.0,2751674000.0,-1224398000.0,4415155000.0,319228000.0,-1224398000.0,548851000.0,2212332000.0,4325701000.0,2383711000.0,171379000.0,2212332000.0,-926577000.0,-926577000.0,-1103976000.0,4241523000.0,1362000.0,1362000.0,8849687000.0,2999404000.0,123846000.0,792000.0,195586000.0,195586000.0,16960000.0,16960000.0,2662220000.0,548851000.0,2113369000.0,5850283000.0,45671000.0,1188742000.0,1188742000.0,89454000.0,89454000.0,4526416000.0,2287500000.0,2238916000.0,48161000.0,48161000.0,2190755000.0,11233398000.0,5063880000.0,218666000.0,439604000.0,439604000.0,139236000.0,139236000.0,139236000.0,3436730000.0,17800000.0,3418930000.0,829644000.0,-771800000.0,1601444000.0,329400000.0,447044000.0,814600000.0,10400000.0,0.0,6169511000.0,730098000.0,95221000.0,4083986000.0,1525051000.0,14435000.0,2544500000.0,-94200000.0,2638700000.0,1260206000.0,1260206000.0,1260206000.0,2023-09-30
0.0,136018182.0,136018182.0,1009490000.0,2725025000.0,-1232079000.0,4449046000.0,279546000.0,-1232079000.0,523275000.0,2247296000.0,4357499000.0,2428218000.0,180922000.0,2247296000.0,-889788000.0,-889788000.0,-1109616000.0,4245340000.0,1360000.0,1360000.0,8961703000.0,2959217000.0,117108000.0,828000.0,190850000.0,190850000.0,16953000.0,16953000.0,2633478000.0,523275000.0,2110203000.0,6002486000.0,39422000.0,1282681000.0,1282681000.0,91547000.0,91547000.0,4588836000.0,2420000000.0,2168836000.0,59219000.0,59219000.0,2109617000.0,11389921000.0,5107844000.0,208891000.0,459568000.0,459568000.0,132460000.0,132460000.0,132460000.0,3479375000.0,20700000.0,3458675000.0,827550000.0,,827550000.0,,827550000.0,,,,6282032000.0,723141000.0,85896000.0,4280735000.0,1744521000.0,11714000.0,2524500000.0,-82600000.0,2607100000.0,1192260000.0,1192260000.0,1192260000.0,2023-12-31
