tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-58863000.0,0.21,530300000.0,-280300000.0,-280300000.0,76100000.0,156200000.0,2608800000.0,250000000.0,93800000.0,-49300000.0,49300000.0,297537000.0,76100000.0,3301500000.0,90700000.0,89000000.0,88500000.0,0.86,0.86,76100000.0,76100000.0,76100000.0,-300000.0,76400000.0,,76400000.0,-31900000.0,44500000.0,-278900000.0,2500000.0,-282000000.0,270300000.0,11700000.0,-1100000.0,1700000.0,-49300000.0,49300000.0,372700000.0,597100000.0,60600000.0,60600000.0,60600000.0,60600000.0,536500000.0,969800000.0,2704400000.0,3674200000.0,3679600000.0,2022-12-31
-1995200.0,0.232,503000000.0,-8600000.0,-8600000.0,212900000.0,165900000.0,2706600000.0,494400000.0,328500000.0,-50700000.0,50700000.0,219504800.0,212900000.0,3426100000.0,341000000.0,89000000.0,88400000.0,2.39,2.41,212900000.0,212900000.0,212900000.0,-400000.0,213300000.0,,213300000.0,64500000.0,277800000.0,-23300000.0,-12600000.0,-10800000.0,2200000.0,8600000.0,-2100000.0,2200000.0,-50700000.0,50700000.0,351800000.0,622900000.0,69300000.0,69300000.0,69300000.0,69300000.0,553600000.0,974700000.0,2803200000.0,3777900000.0,3784100000.0,2023-03-31
-3426300.0,0.243,388000000.0,-14100000.0,-14100000.0,155000000.0,119100000.0,2123900000.0,373900000.0,254800000.0,-49800000.0,49800000.0,165673700.0,188900000.0,2748800000.0,266300000.0,89103774.0,88685446.0,2.12,2.13,188900000.0,188900000.0,188900000.0,-200000.0,189100000.0,33900000.0,155200000.0,49800000.0,205000000.0,-30100000.0,-16900000.0,-18600000.0,2800000.0,15800000.0,900000.0,4500000.0,-49800000.0,49800000.0,284900000.0,557300000.0,51500000.0,51500000.0,51500000.0,51500000.0,505800000.0,842200000.0,2191500000.0,3033700000.0,3039800000.0,2023-06-30
-138600.0,0.231,435500000.0,-600000.0,-600000.0,183300000.0,145900000.0,2115400000.0,434900000.0,289000000.0,-50300000.0,50300000.0,183761400.0,183300000.0,2786800000.0,252300000.0,87000000.0,86600000.0,2.11,2.12,183300000.0,183300000.0,183300000.0,-300000.0,183600000.0,0.0,183600000.0,55100000.0,238700000.0,19000000.0,19900000.0,-17700000.0,10200000.0,7500000.0,-300000.0,17100000.0,-50300000.0,50300000.0,270000000.0,581200000.0,55700000.0,55700000.0,55700000.0,55700000.0,525500000.0,851200000.0,2205600000.0,3056800000.0,3063800000.0,2023-09-30
-69153000.0,0.21,377400000.0,-329300000.0,-329300000.0,-167100000.0,146400000.0,2124700000.0,48100000.0,-98300000.0,-48800000.0,48800000.0,93047000.0,-167100000.0,2804000000.0,-122800000.0,85500000.0,84900000.0,-1.97,-1.97,-167100000.0,-167100000.0,-167100000.0,-300000.0,-166800000.0,0.0,-166800000.0,19700000.0,-147100000.0,-327600000.0,1600000.0,-352100000.0,333800000.0,18300000.0,100000.0,22800000.0,-48800000.0,48800000.0,229300000.0,592100000.0,59200000.0,59200000.0,59200000.0,59200000.0,532900000.0,821400000.0,2211900000.0,3033300000.0,3041600000.0,2023-12-31
