tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,rent_expense_supplemental,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,rent_and_landing_fees,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.254344,96686000.0,59226000.0,17206000.0,42632000.0,96686000.0,79480000.0,4988000.0,52000.0,,59226000.0,59226000.0,100229000.0,3653000.0,77673000.0,37573000.0,37480000.0,1.58,1.58,59226000.0,59226000.0,59226000.0,59226000.0,59226000.0,20202000.0,79428000.0,-3233000.0,-1553000.0,66000.0,4988000.0,52000.0,,77673000.0,56121000.0,8267000.0,15730000.0,15730000.0,32124000.0,3442000.0,28682000.0,28682000.0,3653000.0,133794000.0,44108000.0,177902000.0,177662000.0,2022-12-31
0.0,0.25,116154000.0,73628000.0,17829000.0,50947000.0,116154000.0,98325000.0,4119000.0,130000.0,4249000.0,73628000.0,73628000.0,107813000.0,3611000.0,95356000.0,37645000.0,37478000.0,1.96,1.96,73628000.0,73628000.0,73628000.0,73628000.0,73628000.0,24567000.0,98195000.0,-1280000.0,-1484000.0,204000.0,4119000.0,130000.0,4249000.0,95356000.0,55498000.0,8156000.0,16461000.0,16461000.0,30881000.0,2995000.0,27886000.0,27886000.0,3611000.0,150854000.0,52315000.0,203169000.0,202981000.0,2023-03-31
0.0,0.242,97357000.0,59859000.0,18354000.0,47034000.0,97357000.0,79003000.0,5259000.0,53000.0,5312000.0,59859000.0,59859000.0,104119000.0,3199000.0,75727000.0,37588000.0,37485000.0,1.59,1.6,59859000.0,59859000.0,59859000.0,59859000.0,59859000.0,19091000.0,78950000.0,-2036000.0,-2286000.0,250000.0,5259000.0,53000.0,5312000.0,75727000.0,55736000.0,7381000.0,17005000.0,17005000.0,31350000.0,3308000.0,28042000.0,28042000.0,3199000.0,131463000.0,48383000.0,179846000.0,179656000.0,2023-06-30
0.0,0.234,90958000.0,54941000.0,19051000.0,47382000.0,90958000.0,71907000.0,6426000.0,164000.0,6590000.0,54941000.0,54941000.0,105375000.0,,66909000.0,37574000.0,37491000.0,1.46,1.47,54941000.0,54941000.0,54941000.0,54941000.0,54941000.0,16802000.0,71743000.0,-1592000.0,-1717000.0,125000.0,6426000.0,164000.0,6590000.0,66909000.0,56503000.0,7168000.0,17561000.0,17561000.0,31774000.0,2100000.0,29674000.0,29674000.0,,123412000.0,48872000.0,172284000.0,172130000.0,2023-09-30
0.0,0.169248,106624000.0,69627000.0,21176000.0,55710000.0,106624000.0,85448000.0,4638000.0,1636000.0,6274000.0,69627000.0,69627000.0,120221000.0,3903000.0,77027000.0,37809000.0,37730000.0,1.84,1.85,69627000.0,69627000.0,69627000.0,69627000.0,69627000.0,14185000.0,83812000.0,2147000.0,1991000.0,156000.0,4638000.0,1636000.0,6274000.0,77027000.0,62865000.0,4610000.0,19530000.0,19530000.0,38725000.0,2646000.0,36079000.0,32176000.0,3903000.0,139892000.0,57356000.0,197248000.0,197780000.0,2023-12-31
