tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,research_and_development,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
1050.0,0.21,49263000.0,5000.0,5000.0,15026000.0,13764000.0,48633000.0,49268000.0,35504000.0,-4787000.0,4787000.0,15022050.0,15026000.0,263574000.0,33887000.0,291228000.0,287957000.0,0.05,0.05,15026000.0,15026000.0,15026000.0,15026000.0,15026000.0,15691000.0,30717000.0,1622000.0,1617000.0,5000.0,-5000.0,-4787000.0,,4787000.0,33882000.0,207750000.0,6573000.0,6573000.0,6573000.0,6573000.0,53411000.0,147766000.0,111524000.0,36242000.0,36242000.0,241632000.0,55824000.0,297456000.0,297456000.0,2022-12-31
-32760.0,0.21,36032000.0,-156000.0,-156000.0,80293000.0,14033000.0,52105000.0,35876000.0,21843000.0,4066000.0,-4066000.0,80416240.0,80293000.0,294888000.0,19431000.0,293917000.0,289751000.0,0.27,0.28,80293000.0,80293000.0,80293000.0,80293000.0,80293000.0,-54384000.0,25909000.0,2256000.0,2412000.0,-156000.0,156000.0,4066000.0,,-4066000.0,19587000.0,235323000.0,6573000.0,6573000.0,6573000.0,6573000.0,64549000.0,164201000.0,126807000.0,37394000.0,37394000.0,254910000.0,59565000.0,314475000.0,314475000.0,2023-03-31
-80.0,0.08,47887000.0,-1000.0,-1000.0,38188000.0,13597000.0,54507000.0,47886000.0,34289000.0,7146000.0,,38188920.0,38188000.0,298597000.0,34288000.0,296387000.0,291325000.0,0.13,0.13,38188000.0,38188000.0,38188000.0,38188000.0,38188000.0,3498000.0,41686000.0,251000.0,252000.0,-1000.0,1000.0,7146000.0,-7146000.0,,34289000.0,236253000.0,5760000.0,5760000.0,5760000.0,5760000.0,66282000.0,164211000.0,125117000.0,39094000.0,39094000.0,270542000.0,62344000.0,332886000.0,332886000.0,2023-06-30
120.0,0.12,48767000.0,1000.0,1000.0,35809000.0,13500000.0,56494000.0,48768000.0,35268000.0,8509000.0,,35808120.0,35809000.0,316432000.0,35269000.0,297794000.0,293654000.0,0.12,0.12,35809000.0,35809000.0,35809000.0,35809000.0,35809000.0,4894000.0,40703000.0,-3074000.0,-3075000.0,1000.0,-1000.0,8509000.0,-8509000.0,,35268000.0,252065000.0,5627000.0,5627000.0,5627000.0,5627000.0,74084000.0,172354000.0,127605000.0,44749000.0,44749000.0,287333000.0,64367000.0,351700000.0,351700000.0,2023-09-30
210.0,0.21,49469000.0,1000.0,1000.0,42691000.0,13751000.0,59569000.0,49470000.0,35719000.0,10605000.0,,42690210.0,42691000.0,329377000.0,35720000.0,299246000.0,294869000.0,0.14,0.14,42691000.0,42691000.0,42691000.0,42691000.0,42691000.0,-267000.0,42424000.0,-3900000.0,-3901000.0,1000.0,-1000.0,10605000.0,-10605000.0,,35719000.0,261508000.0,5451000.0,5451000.0,5451000.0,5451000.0,80102000.0,175955000.0,132723000.0,43232000.0,43232000.0,297227000.0,67869000.0,365096000.0,365096000.0,2023-12-31
