tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,salaries_and_wages,total_revenue,operating_revenue,date
-13978201.634877,0.155313,-90000000.0,-90000000.0,925000000.0,175000000.0,4293000000.0,1681000000.0,5974000000.0,1001021798.365123,925000000.0,1501000000.0,1501000000.0,0.57,0.57,853000000.0,853000000.0,4000000.0,68000000.0,925000000.0,-5000000.0,930000000.0,930000000.0,171000000.0,1101000000.0,-90000000.0,90000000.0,-18000000.0,85000000.0,85000000.0,85000000.0,85000000.0,2546000000.0,144000000.0,2402000000.0,2402000000.0,6336000000.0,6336000000.0,2022-12-31
-51484000.0,0.211,-244000000.0,-244000000.0,1698000000.0,257000000.0,4634000000.0,2330000000.0,6964000000.0,1890516000.0,1698000000.0,1532000000.0,1532000000.0,1.04,1.04,1592000000.0,1592000000.0,106000000.0,,1698000000.0,-6000000.0,1704000000.0,1704000000.0,455000000.0,2159000000.0,-244000000.0,244000000.0,-32000000.0,160000000.0,160000000.0,160000000.0,160000000.0,2768000000.0,122000000.0,2646000000.0,2646000000.0,7141000000.0,7141000000.0,2023-03-31
-67580000.0,0.218,-310000000.0,-310000000.0,1361000000.0,255000000.0,4415000000.0,3111000000.0,7526000000.0,1603420000.0,1361000000.0,1533000000.0,1533000000.0,0.84,0.84,1281000000.0,1281000000.0,7000000.0,73000000.0,1361000000.0,-8000000.0,1369000000.0,1369000000.0,382000000.0,1751000000.0,-310000000.0,310000000.0,3000000.0,159000000.0,159000000.0,159000000.0,159000000.0,2768000000.0,122000000.0,2646000000.0,2646000000.0,7141000000.0,7141000000.0,2023-06-30
-62480000.0,0.22,-284000000.0,-284000000.0,1523000000.0,256000000.0,4236000000.0,3518000000.0,7754000000.0,1744520000.0,1523000000.0,1549000000.0,1548000000.0,0.91,0.91,1412000000.0,1412000000.0,9000000.0,102000000.0,1523000000.0,-1000000.0,1524000000.0,1524000000.0,431000000.0,1955000000.0,-284000000.0,284000000.0,0.0,161000000.0,161000000.0,161000000.0,161000000.0,2791000000.0,176000000.0,2615000000.0,2615000000.0,7000000000.0,7000000000.0,2023-09-30
-23769000.0,0.139,-171000000.0,-171000000.0,847000000.0,250000000.0,4111000000.0,3652000000.0,7763000000.0,994231000.0,847000000.0,,,,,766000000.0,766000000.0,4000000.0,77000000.0,847000000.0,-14000000.0,861000000.0,861000000.0,139000000.0,1000000000.0,-171000000.0,171000000.0,-116000000.0,156000000.0,156000000.0,156000000.0,156000000.0,2815000000.0,306000000.0,2509000000.0,2509000000.0,6731000000.0,6731000000.0,2023-12-31
