tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,earnings_from_equity_interest_net_of_tax,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date,total_unusual_items,total_unusual_items_excluding_goodwill,special_income_charges,impairment_of_capital_assets
0.0,0.275,-4665000000.0,-3721000000.0,495000000.0,26429000000.0,-4665000000.0,-5160000000.0,-110000000.0,110000000.0,-3721000000.0,-3721000000.0,39587000000.0,-6151000000.0,863600000.0,863600000.0,-4.31,-4.31,-3721000000.0,-3721000000.0,-3721000000.0,94000000.0,-3816000000.0,-3816000000.0,7000000.0,-1447000000.0,-5270000000.0,1045000000.0,992000000.0,53000000.0,-110000000.0,110000000.0,-6205000000.0,13158000000.0,13158000000.0,6953000000.0,26429000000.0,33382000000.0,33382000000.0,2022-11-30,,,,
0.0,0.115,1308000000.0,703000000.0,560000000.0,27807000000.0,1308000000.0,748000000.0,-141000000.0,141000000.0,703000000.0,703000000.0,34741000000.0,197000000.0,863400000.0,862600000.0,0.81,0.81,703000000.0,703000000.0,703000000.0,159000000.0,544000000.0,543000000.0,6000000.0,70000000.0,607000000.0,627000000.0,552000000.0,75000000.0,-141000000.0,141000000.0,121000000.0,6934000000.0,6934000000.0,7055000000.0,27807000000.0,34862000000.0,34862000000.0,2023-02-28,,,,
0.0,0.21,388000000.0,118000000.0,597000000.0,28826000000.0,388000000.0,-209000000.0,-173000000.0,173000000.0,118000000.0,118000000.0,35949000000.0,-477000000.0,863800000.0,863100000.0,0.14,0.14,118000000.0,118000000.0,118000000.0,166000000.0,-48000000.0,-48000000.0,4000000.0,-330000000.0,-382000000.0,326000000.0,268000000.0,58000000.0,-173000000.0,173000000.0,-535000000.0,7123000000.0,7123000000.0,6588000000.0,28826000000.0,35415000000.0,35415000000.0,2023-05-31,,,,
0.0,0.4,385000000.0,-180000000.0,605000000.0,28947000000.0,385000000.0,-220000000.0,-155000000.0,155000000.0,-180000000.0,-180000000.0,35937000000.0,-451000000.0,,,,,-180000000.0,-180000000.0,-180000000.0,28000000.0,-208000000.0,-209000000.0,15000000.0,-151000000.0,-375000000.0,296000000.0,231000000.0,65000000.0,-155000000.0,155000000.0,-514000000.0,6990000000.0,6990000000.0,6476000000.0,28947000000.0,35422000000.0,35422000000.0,2023-08-31,,,,
0.0,0.207,357000000.0,-67000000.0,616000000.0,29937000000.0,357000000.0,-259000000.0,-99000000.0,99000000.0,-67000000.0,-67000000.0,36788000000.0,-39000000.0,863000000.0,863000000.0,-0.08,-0.08,-67000000.0,-67000000.0,-67000000.0,210000000.0,-278000000.0,-278000000.0,6000000.0,-74000000.0,-358000000.0,-178000000.0,-220000000.0,42000000.0,-99000000.0,99000000.0,-80000000.0,6851000000.0,6851000000.0,6771000000.0,29937000000.0,36707000000.0,36707000000.0,2023-11-30,,,,
-742140000.0,0.06,7000000.0,-5908000000.0,614000000.0,30012000000.0,-12362000000.0,-12976000000.0,-138000000.0,138000000.0,5718860000.0,-5908000000.0,37933000000.0,-13171000000.0,862500000.0,862500000.0,-6.85,-6.85,-5908000000.0,-5908000000.0,-5908000000.0,6415000000.0,-12322000000.0,-12322000000.0,10000000.0,-782000000.0,-13114000000.0,-12095000000.0,195000000.0,79000000.0,-138000000.0,138000000.0,-880000000.0,7921000000.0,7921000000.0,7041000000.0,30012000000.0,37052000000.0,37052000000.0,2024-02-29,-12369000000.0,-12369000000.0,-12369000000.0,12369000000.0
