ordinary_shares_number,share_issued,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,current_liabilities,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,construction_in_progress,other_properties,machinery_furniture_equipment,buildings_and_improvements,properties,current_assets,other_current_assets,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,cash_equivalents,cash_financial,date,treasury_shares_number,other_equity_adjustments
683202000.0,683202000.0,228968000.0,3156832000.0,3281654000.0,3074146000.0,3156832000.0,228968000.0,3281654000.0,3281654000.0,3281654000.0,3281654000.0,-11419000.0,-2114658000.0,5407724000.0,7000.0,7000.0,581076000.0,200545000.0,21851000.0,178694000.0,178694000.0,380531000.0,50274000.0,50274000.0,48146000.0,282111000.0,194191000.0,87920000.0,87920000.0,3862730000.0,408053000.0,17403000.0,124822000.0,24595000.0,100227000.0,265828000.0,-116291000.0,382119000.0,104557000.0,7582000.0,206253000.0,63727000.0,,0.0,3454677000.0,74918000.0,681532000.0,681532000.0,-12672000.0,694204000.0,2698227000.0,1087164000.0,1611063000.0,1136698000.0,474365000.0,2022-12-31,,
684157000.0,684157000.0,159506000.0,2936757000.0,3059739000.0,2976465000.0,2936757000.0,159506000.0,3059739000.0,3059739000.0,3059739000.0,3059739000.0,-7132000.0,-2323237000.0,5390101000.0,7000.0,7000.0,506683000.0,184760000.0,25254000.0,159506000.0,159506000.0,321923000.0,,,,321923000.0,244639000.0,77284000.0,77284000.0,3566422000.0,268034000.0,17174000.0,122982000.0,,,127878000.0,,127878000.0,,,30272000.0,,97606000.0,0.0,3298388000.0,80695000.0,487964000.0,487964000.0,-13085000.0,501049000.0,2729729000.0,1078487000.0,1651242000.0,,,2023-03-31,,
669516000.0,669516000.0,163015000.0,2571940000.0,2693082000.0,2621264000.0,2571940000.0,163015000.0,2693082000.0,2693082000.0,2693082000.0,2693082000.0,-8706000.0,-2358179000.0,5059960000.0,7000.0,7000.0,508714000.0,188835000.0,25820000.0,163015000.0,163015000.0,319879000.0,,,,319879000.0,255799000.0,64080000.0,64080000.0,3201796000.0,260653000.0,17517000.0,121142000.0,,,121994000.0,,121994000.0,,,28414000.0,,93580000.0,0.0,2941143000.0,101680000.0,544055000.0,544055000.0,-12074000.0,556129000.0,2295408000.0,1115556000.0,1179852000.0,,,2023-06-30,,
673639000.0,673639000.0,170860000.0,2687340000.0,2806642000.0,2734922000.0,2687340000.0,170860000.0,2806642000.0,2806642000.0,2806642000.0,2806642000.0,-7449000.0,-2351446000.0,5165530000.0,7000.0,7000.0,497940000.0,193595000.0,22735000.0,170860000.0,170860000.0,304345000.0,,,,304345000.0,232855000.0,71490000.0,71490000.0,3304582000.0,265315000.0,13715000.0,119302000.0,,,132298000.0,,132298000.0,,,26998000.0,,105300000.0,0.0,3039267000.0,84365000.0,624223000.0,624223000.0,-9554000.0,633777000.0,2330679000.0,1162260000.0,1168419000.0,,,2023-09-30,,
678018000.0,678018000.0,196282000.0,2973218000.0,3090680000.0,3021469000.0,2973218000.0,196282000.0,3090680000.0,3090680000.0,3090680000.0,3090680000.0,-1013000.0,-2150268000.0,5241954000.0,7000.0,7000.0,503725000.0,186635000.0,26019000.0,160616000.0,160616000.0,317090000.0,35666000.0,35666000.0,48924000.0,232500000.0,153442000.0,79058000.0,79058000.0,3594405000.0,255846000.0,14040000.0,117462000.0,17235000.0,100227000.0,124344000.0,-90116000.0,214460000.0,64326000.0,10335000.0,,47680000.0,92119000.0,0.0,3338559000.0,64316000.0,763159000.0,763159000.0,-10635000.0,773794000.0,2511084000.0,1149148000.0,1361936000.0,1141353000.0,220583000.0,2023-12-31,0.0,-1013000.0
