tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.165888,275104000.0,,,158302000.0,24225000.0,880364000.0,275104000.0,250879000.0,-59033000.0,61094000.0,2061000.0,158302000.0,158302000.0,1143413000.0,248818000.0,35715408.0,35419718.0,4.43,4.471886,158302000.0,158302000.0,158302000.0,158302000.0,158302000.0,31483000.0,189785000.0,,,,,-59033000.0,61094000.0,2061000.0,248818000.0,263049000.0,284222000.0,153467000.0,130755000.0,130755000.0,511867000.0,880364000.0,1392231000.0,1392231000.0,2022-12-31
-31886.0,0.214,198193000.0,-149000.0,-149000.0,104770000.0,18170000.0,638851000.0,198044000.0,179874000.0,-44156000.0,46547000.0,2391000.0,104887114.0,104770000.0,846766000.0,177483000.0,35708938.0,35330133.0,2.93,2.965457,104770000.0,104770000.0,104770000.0,104770000.0,104770000.0,28557000.0,133327000.0,-149000.0,,-149000.0,149000.0,-44156000.0,46547000.0,2391000.0,177632000.0,207915000.0,207915000.0,112726000.0,95189000.0,95189000.0,385547000.0,638851000.0,1024398000.0,1024398000.0,2023-03-31
0.0,0.208,201537000.0,0.0,0.0,109380000.0,18561000.0,619971000.0,201537000.0,182976000.0,-42395000.0,44932000.0,2537000.0,109380000.0,109380000.0,829224000.0,195403000.0,35492423.0,35057585.0,3.08,3.12001,109380000.0,109380000.0,109380000.0,109380000.0,109380000.0,28664000.0,138044000.0,-14964000.0,-14964000.0,0.0,0.0,-42395000.0,44932000.0,2537000.0,195403000.0,209253000.0,209253000.0,111459000.0,97794000.0,97794000.0,404656000.0,619971000.0,1024627000.0,1024627000.0,2023-06-30
0.0,0.159,220370000.0,,,147676000.0,,629192000.0,220370000.0,220370000.0,-42089000.0,44796000.0,2707000.0,147676000.0,147676000.0,837929000.0,189432000.0,35357043.0,35030660.0,4.18,4.22,147676000.0,147676000.0,147676000.0,147676000.0,147676000.0,27898000.0,175574000.0,28231000.0,28231000.0,,,-42089000.0,44796000.0,2707000.0,189432000.0,208737000.0,208737000.0,111534000.0,97203000.0,97203000.0,398169000.0,629192000.0,1027361000.0,1027361000.0,2023-08-31
0.0,0.158896,238638000.0,,,147676000.0,18268000.0,629192000.0,238638000.0,220370000.0,-42089000.0,44796000.0,2707000.0,147676000.0,147676000.0,837929000.0,189432000.0,35357043.0,35030660.0,4.18,4.22,147676000.0,147676000.0,147676000.0,147676000.0,147676000.0,27898000.0,175574000.0,28231000.0,28231000.0,,,-42089000.0,44796000.0,2707000.0,189432000.0,208737000.0,208737000.0,111534000.0,97203000.0,97203000.0,398169000.0,629192000.0,1027361000.0,1027361000.0,2023-09-30
0.0,0.23457,291336000.0,,,157292000.0,25641000.0,863927000.0,291336000.0,265695000.0,-56152000.0,60200000.0,4048000.0,157292000.0,157292000.0,1145622000.0,257201000.0,,,,,157292000.0,157292000.0,157292000.0,157292000.0,157292000.0,48203000.0,205495000.0,4297000.0,4446000.0,,,-56152000.0,60200000.0,4048000.0,257350000.0,281695000.0,281844000.0,137476000.0,144368000.0,144368000.0,539045000.0,863927000.0,1402972000.0,1402972000.0,2023-12-31
