tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,other_special_charges,impairment_of_capital_assets,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,insurance_and_claims,salaries_and_wages,total_revenue,operating_revenue,date
0.0,0.076402,,,7503000000.0,1197000000.0,9984000000.0,43443000000.0,53427000000.0,7503000000.0,7503000000.0,,,,,7503000000.0,,7503000000.0,,,7503000000.0,-270000000.0,7773000000.0,7773000000.0,643000000.0,8416000000.0,,,,5039000000.0,,,33723000000.0,,35062000000.0,57695000000.0,412000000.0,,41986000000.0,41986000000.0,2022-12-31
-26969527.740682,0.085347,-316000000.0,-316000000.0,7355000000.0,1437000000.0,17593000000.0,39653000000.0,57246000000.0,7644030472.259318,7355000000.0,9833194422.0,9791770998.0,0.75,0.75,7355000000.0,,7355000000.0,,,7355000000.0,-179000000.0,7534000000.0,7534000000.0,703000000.0,8237000000.0,-285000000.0,271000000.0,14000000.0,3022000000.0,1645000000.0,1645000000.0,12350000000.0,,12350000000.0,4484000000.0,228000000.0,7638000000.0,34242000000.0,34242000000.0,2023-03-31
-129122215.091226,0.181351,-712000000.0,-712000000.0,8619000000.0,1462000000.0,12380000000.0,41923000000.0,54303000000.0,9201877784.908772,8619000000.0,9870682968.0,9799944273.0,0.87,0.88,8619000000.0,,8619000000.0,,,8619000000.0,-310000000.0,8929000000.0,8929000000.0,1978000000.0,10907000000.0,-666000000.0,642000000.0,24000000.0,9152000000.0,1679000000.0,1679000000.0,12862000000.0,481000000.0,12381000000.0,4059000000.0,241000000.0,8081000000.0,38868000000.0,38868000000.0,2023-06-30
-340027499.283873,0.191349,-1777000000.0,-1777000000.0,8358000000.0,1341000000.0,20067000000.0,39978000000.0,60045000000.0,9794972500.716127,8358000000.0,9866367990.0,9801282937.0,0.85,0.85,8143000000.0,0.0,8143000000.0,109000000.0,106000000.0,8358000000.0,-111000000.0,8469000000.0,8469000000.0,2004000000.0,10473000000.0,-314000000.0,308000000.0,6000000.0,10727000000.0,1572000000.0,1572000000.0,12800000000.0,535000000.0,12265000000.0,3900000000.0,,8365000000.0,37158000000.0,37158000000.0,2023-09-30
