ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,retained_earnings,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,other_non_current_liabilities,tradeand_other_payables_non_current,non_current_deferred_liabilities,non_current_deferred_revenue,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_capital_lease_obligation,current_debt,other_current_borrowings,pensionand_other_post_retirement_benefit_plans_current,payables_and_accrued_expenses,current_accrued_expenses,payables,total_tax_payable,income_tax_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,non_current_deferred_assets,non_current_deferred_taxes_assets,investments_and_advances,other_investments,investmentin_financial_assets,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,machinery_furniture_equipment,properties,current_assets,other_current_assets,hedging_assets_current,prepaid_assets,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
216000000.0,216000000.0,965000000.0,3035000000.0,-3094000000.0,3536000000.0,-1023000000.0,-3094000000.0,405000000.0,906000000.0,3186000000.0,906000000.0,906000000.0,-207000000.0,-207000000.0,-2100000000.0,3213000000.0,3213000000.0,,7729000000.0,3918000000.0,134000000.0,85000000.0,1096000000.0,1052000000.0,44000000.0,2603000000.0,323000000.0,2280000000.0,3811000000.0,,2731000000.0,2731000000.0,432000000.0,82000000.0,350000000.0,350000000.0,293000000.0,355000000.0,181000000.0,174000000.0,40000000.0,40000000.0,134000000.0,8635000000.0,5847000000.0,554000000.0,836000000.0,836000000.0,37000000.0,37000000.0,37000000.0,37000000.0,4000000000.0,423000000.0,3577000000.0,420000000.0,-472000000.0,892000000.0,271000000.0,265000000.0,356000000.0,2788000000.0,342000000.0,,342000000.0,642000000.0,642000000.0,,,1804000000.0,139000000.0,1665000000.0,2022-10-31
215000000.0,215000000.0,334000000.0,2666000000.0,-2887000000.0,3426000000.0,-659000000.0,-2887000000.0,385000000.0,1145000000.0,3426000000.0,1145000000.0,1145000000.0,-185000000.0,-185000000.0,-1995000000.0,3325000000.0,3325000000.0,0.0,8293000000.0,4293000000.0,139000000.0,164000000.0,1409000000.0,1377000000.0,32000000.0,2581000000.0,300000000.0,2281000000.0,4000000000.0,,3203000000.0,3203000000.0,85000000.0,85000000.0,,,358000000.0,354000000.0,219000000.0,135000000.0,33000000.0,33000000.0,102000000.0,9438000000.0,6097000000.0,560000000.0,1014000000.0,1014000000.0,102000000.0,102000000.0,102000000.0,102000000.0,4032000000.0,407000000.0,3625000000.0,389000000.0,-488000000.0,877000000.0,245000000.0,269000000.0,363000000.0,3341000000.0,308000000.0,,,961000000.0,961000000.0,-85000000.0,1046000000.0,2072000000.0,125000000.0,1947000000.0,2023-01-31
214000000.0,214000000.0,373000000.0,2684000000.0,-3153000000.0,3179000000.0,-1093000000.0,-3153000000.0,402000000.0,897000000.0,3179000000.0,897000000.0,897000000.0,-200000000.0,-200000000.0,-2271000000.0,3368000000.0,3368000000.0,,8172000000.0,4246000000.0,141000000.0,168000000.0,1327000000.0,1294000000.0,33000000.0,2610000000.0,328000000.0,2282000000.0,3926000000.0,,3189000000.0,3189000000.0,74000000.0,74000000.0,,,284000000.0,379000000.0,148000000.0,231000000.0,104000000.0,104000000.0,127000000.0,9069000000.0,6236000000.0,552000000.0,1042000000.0,1042000000.0,185000000.0,185000000.0,185000000.0,185000000.0,4050000000.0,426000000.0,3624000000.0,407000000.0,-498000000.0,905000000.0,267000000.0,273000000.0,365000000.0,2833000000.0,371000000.0,,,331000000.0,331000000.0,,,2131000000.0,222000000.0,1909000000.0,2023-04-30
214000000.0,214000000.0,568000000.0,2665000000.0,-2841000000.0,3488000000.0,-1054000000.0,-2841000000.0,383000000.0,1206000000.0,3488000000.0,1206000000.0,1206000000.0,-198000000.0,-198000000.0,-2127000000.0,3531000000.0,3531000000.0,,7901000000.0,4026000000.0,149000000.0,147000000.0,1137000000.0,1102000000.0,35000000.0,2593000000.0,311000000.0,2282000000.0,3875000000.0,11000000.0,3131000000.0,3131000000.0,72000000.0,72000000.0,,,279000000.0,393000000.0,153000000.0,240000000.0,116000000.0,116000000.0,124000000.0,9107000000.0,6286000000.0,558000000.0,1078000000.0,1078000000.0,219000000.0,,219000000.0,219000000.0,4047000000.0,410000000.0,3637000000.0,384000000.0,-497000000.0,881000000.0,248000000.0,274000000.0,359000000.0,2821000000.0,346000000.0,8000000.0,,402000000.0,402000000.0,,,2073000000.0,359000000.0,1714000000.0,2023-07-31
214000000.0,214000000.0,757000000.0,2648000000.0,-2533000000.0,3765000000.0,-973000000.0,-2533000000.0,365000000.0,1482000000.0,3765000000.0,1482000000.0,1482000000.0,-257000000.0,-257000000.0,-1939000000.0,3678000000.0,3678000000.0,,7744000000.0,3832000000.0,160000000.0,161000000.0,934000000.0,903000000.0,31000000.0,2577000000.0,294000000.0,2283000000.0,3912000000.0,,3120000000.0,3120000000.0,71000000.0,71000000.0,,,378000000.0,343000000.0,152000000.0,191000000.0,64000000.0,64000000.0,127000000.0,9226000000.0,6287000000.0,566000000.0,1122000000.0,1122000000.0,219000000.0,,219000000.0,219000000.0,4015000000.0,411000000.0,3604000000.0,365000000.0,-489000000.0,854000000.0,237000000.0,261000000.0,356000000.0,2939000000.0,406000000.0,,,579000000.0,579000000.0,,,1954000000.0,428000000.0,1526000000.0,2023-10-31
