tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_ppe,gain_on_sale_of_business,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_amortization_depletion_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-1360000.0,0.226667,460000000.0,-6000000.0,-6000000.0,174000000.0,197000000.0,3934000000.0,454000000.0,257000000.0,-2000000.0,32000000.0,24000000.0,178640000.0,174000000.0,4216000000.0,262703000.0,232558000.0,0.68,0.75,177000000.0,3000000.0,174000000.0,174000000.0,0.0,174000000.0,174000000.0,51000000.0,225000000.0,105000000.0,64000000.0,5000000.0,2000000.0,0.0,6000000.0,-9000000.0,47000000.0,,-2000000.0,-6000000.0,32000000.0,24000000.0,122000000.0,282000000.0,-13000000.0,197000000.0,98000000.0,404000000.0,3934000000.0,4338000000.0,4338000000.0,2022-12-31
3876000.0,0.204,479000000.0,19000000.0,19000000.0,199000000.0,221000000.0,3953000000.0,498000000.0,277000000.0,-3000000.0,27000000.0,30000000.0,183876000.0,199000000.0,4273000000.0,257447000.0,227332000.0,0.78,0.87,199000000.0,,199000000.0,199000000.0,0.0,199000000.0,199000000.0,51000000.0,250000000.0,56000000.0,50000000.0,-3000000.0,2000000.0,,4000000.0,1000000.0,-13000000.0,22000000.0,-3000000.0,6000000.0,27000000.0,30000000.0,197000000.0,320000000.0,,221000000.0,99000000.0,517000000.0,3953000000.0,4470000000.0,4470000000.0,2023-03-31
1391304.347826,0.231884,859000000.0,6000000.0,6000000.0,477000000.0,224000000.0,4161000000.0,865000000.0,641000000.0,8000000.0,20000000.0,34000000.0,472391304.347826,477000000.0,4480000000.0,254155000.0,225538000.0,1.89,2.12,480000000.0,3000000.0,477000000.0,477000000.0,0.0,477000000.0,477000000.0,144000000.0,621000000.0,85000000.0,41000000.0,-2000000.0,,,0.0,2000000.0,38000000.0,8000000.0,8000000.0,6000000.0,20000000.0,34000000.0,528000000.0,319000000.0,-8000000.0,224000000.0,103000000.0,847000000.0,4161000000.0,5008000000.0,5008000000.0,2023-06-30
-1478005.865103,0.123167,599000000.0,-12000000.0,-12000000.0,299000000.0,230000000.0,3838000000.0,587000000.0,357000000.0,16000000.0,16000000.0,39000000.0,309521994.134897,299000000.0,4187000000.0,253070000.0,223109000.0,1.2,1.34,302000000.0,3000000.0,299000000.0,299000000.0,0.0,299000000.0,299000000.0,42000000.0,341000000.0,81000000.0,42000000.0,-18000000.0,,,0.0,18000000.0,51000000.0,6000000.0,16000000.0,7000000.0,16000000.0,39000000.0,244000000.0,349000000.0,1000000.0,230000000.0,118000000.0,593000000.0,3838000000.0,4431000000.0,4431000000.0,2023-09-30
-26880000.0,0.21,213000000.0,-128000000.0,-128000000.0,-80000000.0,241000000.0,3851000000.0,85000000.0,-156000000.0,25000000.0,9000000.0,38000000.0,21120000.0,-80000000.0,4274000000.0,,,,,-77000000.0,3000000.0,-80000000.0,-80000000.0,0.0,-80000000.0,-80000000.0,-85000000.0,-165000000.0,-60000000.0,29000000.0,-140000000.0,,,125000000.0,15000000.0,39000000.0,12000000.0,25000000.0,4000000.0,9000000.0,38000000.0,-130000000.0,423000000.0,1000000.0,241000000.0,181000000.0,293000000.0,3851000000.0,4144000000.0,4144000000.0,2023-12-31
