treasury_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,working_capital,net_tangible_assets,capital_lease_obligations,common_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,total_liabilities_net_minority_interest,total_non_current_liabilities_net_minority_interest,employee_benefits,non_current_pension_and_other_postretirement_benefit_plans,non_current_deferred_liabilities,non_current_deferred_taxes_liabilities,long_term_debt_and_capital_lease_obligation,long_term_capital_lease_obligation,long_term_debt,current_liabilities,other_current_liabilities,current_deferred_liabilities,current_deferred_revenue,current_debt_and_capital_lease_obligation,current_debt,line_of_credit,payables_and_accrued_expenses,current_accrued_expenses,interest_payable,payables,dividends_payable,accounts_payable,total_assets,total_non_current_assets,other_non_current_assets,financial_assets,investments_and_advances,long_term_equity_investment,investmentsin_joint_venturesat_cost,investment_properties,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,other_properties,current_assets,assets_held_for_sale_current,prepaid_assets,inventory,receivables,accounts_receivable,allowance_for_doubtful_accounts_receivable,gross_accounts_receivable,cash_cash_equivalents_and_short_term_investments,cash_and_cash_equivalents,date,other_equity_adjustments,non_current_deferred_assets,taxes_receivable
,269814956.0,269814956.0,3016270000.0,3582617000.0,1814559000.0,6842752000.0,-518803000.0,1814559000.0,513284000.0,3773419000.0,6342700000.0,3787878000.0,14459000.0,3773419000.0,-6050000.0,-1415198000.0,5191969000.0,2698000.0,2698000.0,4316683000.0,3258988000.0,41325000.0,9382000.0,135098000.0,135098000.0,3082565000.0,513284000.0,2569281000.0,1057695000.0,,32046000.0,32046000.0,500052000.0,500052000.0,500052000.0,525597000.0,249923000.0,28360000.0,275674000.0,60419000.0,215255000.0,8104561000.0,7565669000.0,79398000.0,23520000.0,78926000.0,78926000.0,78926000.0,5148746000.0,1958860000.0,925223000.0,1033637000.0,276219000.0,-76334000.0,352553000.0,352553000.0,538892000.0,,26490000.0,29297000.0,430042000.0,430042000.0,-15951000.0,445993000.0,53063000.0,53063000.0,2022-12-31,,,
,270096433.0,270096433.0,3143719000.0,3696072000.0,1755898000.0,6896346000.0,-666407000.0,1755898000.0,505131000.0,3705405000.0,6285846000.0,3721277000.0,15872000.0,3705405000.0,-17737000.0,-1477452000.0,5197893000.0,2701000.0,2701000.0,4350441000.0,3227282000.0,9295000.0,9295000.0,132415000.0,132415000.0,3085572000.0,505131000.0,2580441000.0,1123159000.0,,32921000.0,32921000.0,610500000.0,610500000.0,610500000.0,479738000.0,,,,,,8071718000.0,7614966000.0,157761000.0,,96717000.0,96717000.0,96717000.0,5142711000.0,1949507000.0,918945000.0,1030562000.0,268270000.0,-84172000.0,352442000.0,352442000.0,456752000.0,,,,409530000.0,409530000.0,-17411000.0,426941000.0,47222000.0,47222000.0,2023-03-31,,,
,270186276.0,270186276.0,3264690000.0,3812538000.0,1624593000.0,6888661000.0,-773629000.0,1624593000.0,498975000.0,3575098000.0,6165225000.0,3589759000.0,14661000.0,3575098000.0,10377000.0,-1641872000.0,5203891000.0,2702000.0,2702000.0,4626000000.0,3231559000.0,9221000.0,9221000.0,133236000.0,133236000.0,3089102000.0,498975000.0,2590127000.0,1394441000.0,112752000.0,31180000.0,31180000.0,723436000.0,723436000.0,723436000.0,527073000.0,,,,,,8215759000.0,7594947000.0,194421000.0,,36957000.0,36957000.0,36957000.0,5147523000.0,1950505000.0,914173000.0,1036332000.0,265541000.0,-91095000.0,356636000.0,356636000.0,620812000.0,106368000.0,,,465571000.0,465571000.0,-15891000.0,481462000.0,48873000.0,48873000.0,2023-06-30,,,
0.0,283517013.0,283517013.0,2866297000.0,3399704000.0,2009628000.0,6849983000.0,-412357000.0,2009628000.0,479576000.0,3929855000.0,6490782000.0,3946650000.0,16795000.0,3929855000.0,11459000.0,-1706591000.0,5622152000.0,2835000.0,2835000.0,4067069000.0,3176341000.0,9948000.0,9948000.0,125890000.0,125890000.0,3040503000.0,479576000.0,2560927000.0,890728000.0,,29865000.0,29865000.0,359201000.0,359201000.0,359201000.0,501662000.0,,,,,,8013719000.0,7535348000.0,213188000.0,,36249000.0,36249000.0,36249000.0,5112504000.0,1920227000.0,897238000.0,1022989000.0,253180000.0,-88851000.0,342031000.0,342031000.0,478371000.0,,,,424540000.0,424540000.0,-18470000.0,443010000.0,53831000.0,53831000.0,2023-09-30,,,
0.0,283699120.0,283699120.0,2932886000.0,3492643000.0,1924710000.0,6609407000.0,-380829000.0,1924710000.0,499365000.0,3616129000.0,6217251000.0,3634587000.0,18458000.0,3616129000.0,-16640000.0,-1995975000.0,5625907000.0,2837000.0,2837000.0,4234665000.0,3278396000.0,42112000.0,9082000.0,135797000.0,135797000.0,3100487000.0,499365000.0,2601122000.0,956269000.0,,28379000.0,28379000.0,392156000.0,392156000.0,392156000.0,535734000.0,271076000.0,28399000.0,264658000.0,63564000.0,201094000.0,7869252000.0,7293813000.0,45650000.0,15480000.0,38113000.0,38113000.0,38113000.0,5211901000.0,1691419000.0,897415000.0,794004000.0,247302000.0,-96230000.0,343532000.0,343532000.0,575440000.0,,40942000.0,30719000.0,443387000.0,426048000.0,-21647000.0,447695000.0,60392000.0,60392000.0,2023-12-31,-16640000.0,43948000.0,17339000.0
