tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,other_special_charges,write_off,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-3055500.0,0.21,131222000.0,-14550000.0,-14550000.0,2944000.0,83001000.0,532744000.0,116672000.0,33671000.0,-31774000.0,33407000.0,14438500.0,2944000.0,675818000.0,33044000.0,270770000.0,269826000.0,0.01,0.01,2944000.0,2944000.0,2944000.0,-11000.0,2955000.0,,2955000.0,-2691000.0,264000.0,-13648000.0,3003000.0,-13596000.0,3223000.0,,764000.0,9609000.0,-2101000.0,-954000.0,-31774000.0,33407000.0,45686000.0,142540000.0,82467000.0,82467000.0,60073000.0,188226000.0,533278000.0,721504000.0,721504000.0,2022-12-31
-3074650.533808,0.390036,123517000.0,-7883000.0,-7883000.0,-2562000.0,85426000.0,488521000.0,115634000.0,30208000.0,-34423000.0,34423000.0,2246349.466192,-2562000.0,636802000.0,32349000.0,270230000.0,270230000.0,-0.01,-0.01,-2562000.0,-2562000.0,-2562000.0,9000.0,-2571000.0,,-2571000.0,-1644000.0,-4215000.0,-9479000.0,1433000.0,-7692000.0,2491000.0,,,5201000.0,-3029000.0,-191000.0,-34423000.0,34423000.0,39687000.0,147879000.0,85024000.0,85024000.0,62855000.0,187566000.0,488923000.0,676489000.0,676489000.0,2023-03-31
-21815220.0,0.21,129142000.0,-103882000.0,-103882000.0,-96449000.0,84490000.0,465961000.0,25260000.0,-59632000.0,-36431000.0,36431000.0,-14382220.0,-104724000.0,604236000.0,20667000.0,270462000.0,270462000.0,-0.39,-0.39,-104724000.0,-104724000.0,-104724000.0,78000.0,-104802000.0,-8275000.0,-96527000.0,464000.0,-96063000.0,-105006000.0,-415000.0,-49834000.0,22667000.0,21972000.0,,5195000.0,-709000.0,-54048000.0,-36431000.0,36431000.0,45374000.0,138677000.0,84892000.0,84892000.0,53785000.0,184051000.0,465559000.0,649610000.0,649610000.0,2023-06-30
-2589919.025439,0.176281,137201000.0,-14692000.0,-14692000.0,-2291000.0,89728000.0,478819000.0,122509000.0,32781000.0,-35572000.0,35572000.0,9811080.974561,-2088000.0,620930000.0,33000000.0,278137000.0,278137000.0,-0.01,-0.01,-2088000.0,-2088000.0,-2088000.0,8000.0,-2096000.0,203000.0,-2299000.0,-492000.0,-2791000.0,-14228000.0,723000.0,-14614000.0,10703000.0,0.0,0.0,3911000.0,-259000.0,-78000.0,-35572000.0,35572000.0,47009000.0,142111000.0,89728000.0,89728000.0,52383000.0,189120000.0,478819000.0,667939000.0,667939000.0,2023-09-30
-668447.020901,0.002643,153300000.0,-252921000.0,-252921000.0,-226841000.0,94099000.0,469456000.0,-99621000.0,-193720000.0,-33681000.0,33681000.0,25411552.979099,-226841000.0,621318000.0,-194321000.0,284263000.0,284263000.0,-0.8,-0.8,-226841000.0,-226841000.0,-226841000.0,-41000.0,-226800000.0,0.0,-226800000.0,-601000.0,-227401000.0,-251693000.0,1054000.0,-252916000.0,11486000.0,0.0,236515000.0,4915000.0,174000.0,-5000.0,-33681000.0,33681000.0,57973000.0,151862000.0,94099000.0,94099000.0,57763000.0,209835000.0,469456000.0,679291000.0,679291000.0,2023-12-31
