free_cash_flow,repayment_of_debt,issuance_of_debt,issuance_of_capital_stock,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,cash_dividends_paid,common_stock_dividend_paid,net_common_stock_issuance,common_stock_issuance,net_issuance_payments_of_debt,net_short_term_debt_issuance,short_term_debt_payments,short_term_debt_issuance,net_long_term_debt_issuance,long_term_debt_payments,long_term_debt_issuance,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_business_purchase_and_sale,sale_of_business,purchase_of_business,net_ppe_purchase_and_sale,sale_of_ppe,purchase_of_ppe,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_payables_and_accrued_expense,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,provisionand_write_offof_assets,asset_impairment_charge,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,amortization_cash_flow,amortization_of_intangibles,depreciation,operating_gains_losses,earnings_losses_from_equity_investments,gain_loss_on_investment_securities,net_foreign_currency_exchange_gain_loss,gain_loss_on_sale_of_business,net_income_from_continuing_operations,date
62860000.0,-385563000.0,394750000.0,0.0,-54253000.0,19869000.0,927000.0,53063000.0,45693000.0,1886000.0,5484000.0,-51148000.0,-51148000.0,-4335000.0,3086000.0,-59086000.0,-59086000.0,0.0,0.0,9187000.0,14750000.0,-110000000.0,124750000.0,-5563000.0,-275563000.0,270000000.0,-60481000.0,-60481000.0,-10601000.0,0.0,-10601000.0,-49880000.0,4373000.0,-54253000.0,117113000.0,117113000.0,20952000.0,-6100000.0,10920000.0,16132000.0,16132000.0,1305000.0,5036000.0,3528000.0,764000.0,-3412000.0,-3412000.0,83001000.0,83001000.0,534000.0,534000.0,82467000.0,2984000.0,2101000.0,-21000.0,-2478000.0,0.0,2955000.0,2022-12-31
-27781000.0,-88420000.0,186700000.0,,-69262000.0,47387000.0,556000.0,47222000.0,53063000.0,1403000.0,-7244000.0,38867000.0,38867000.0,-2265000.0,2916000.0,-60064000.0,-60064000.0,,,98280000.0,110096000.0,-76604000.0,186700000.0,-11816000.0,-11816000.0,,-87592000.0,-87592000.0,-18400000.0,0.0,-18400000.0,-69192000.0,70000.0,-69262000.0,41481000.0,41481000.0,-50572000.0,-588000.0,-69996000.0,20012000.0,20012000.0,1240000.0,6970000.0,1458000.0,,-3621000.0,-3621000.0,85426000.0,85426000.0,402000.0,402000.0,85024000.0,3151000.0,3029000.0,191000.0,-458000.0,,-2571000.0,2023-03-31
-37506000.0,-155920000.0,252965000.0,,-78793000.0,20741000.0,3026000.0,48873000.0,47222000.0,-2200000.0,3851000.0,37646000.0,37646000.0,241000.0,102000.0,-59742000.0,-59742000.0,,,97045000.0,109628000.0,-143337000.0,252965000.0,-12583000.0,-12583000.0,,-75082000.0,-75082000.0,-3934000.0,36896000.0,-87000.0,-71148000.0,7645000.0,-78793000.0,41287000.0,41287000.0,-28936000.0,-2082000.0,31035000.0,-57889000.0,-57889000.0,2858000.0,4639000.0,797000.0,,-1459000.0,-1459000.0,84490000.0,84490000.0,,,84892000.0,61728000.0,2439000.0,54048000.0,,,-104802000.0,2023-06-30
26606000.0,-467922000.0,105756000.0,,-83839000.0,48283000.0,1898000.0,53831000.0,48873000.0,-2330000.0,7288000.0,-7453000.0,-7453000.0,-212000.0,1763000.0,-59756000.0,-59756000.0,,,-362166000.0,-353458000.0,-459214000.0,105756000.0,-8708000.0,-8708000.0,,-95704000.0,-91088000.0,-7447000.0,0.0,-48190000.0,-83641000.0,198000.0,-83839000.0,110445000.0,110445000.0,16733000.0,3488000.0,-22196000.0,35441000.0,35441000.0,-272000.0,6203000.0,986000.0,0.0,-2473000.0,-2473000.0,89728000.0,89728000.0,,,89728000.0,1636000.0,4875000.0,78000.0,,0.0,-2096000.0,2023-09-30
74598000.0,-177362000.0,170905000.0,-308000.0,-98344000.0,18102000.0,348000.0,60392000.0,53831000.0,1659000.0,4902000.0,-69345000.0,-69345000.0,-1139000.0,1218000.0,-62659000.0,-62659000.0,-308000.0,-308000.0,-6457000.0,17541000.0,-153364000.0,170905000.0,-23998000.0,-23998000.0,0.0,-98695000.0,-103311000.0,-5125000.0,0.0,-5125000.0,-98186000.0,158000.0,-98344000.0,172942000.0,172942000.0,15958000.0,18808000.0,84702000.0,-312000.0,-312000.0,44110000.0,5780000.0,3181000.0,236515000.0,-3228000.0,-3228000.0,94099000.0,94099000.0,,,,3327000.0,-4790000.0,5000.0,,4616000.0,-226800000.0,2023-12-31
