tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,rent_expense_supplemental,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_non_operating_income_expenses,special_income_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,depreciation_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,other_gand_a,insurance_and_claims,rent_and_landing_fees,salaries_and_wages,total_revenue,operating_revenue,date
17086575000.0,0.275,62133000000.0,62133000000.0,366895000000.0,269892000000.0,3451434000000.0,2960013000000.0,6411447000000.0,321848575000.0,366895000000.0,33342000000.0,389634335.0,389634335.0,0.989112,0.989112,450812171168.0,,452592994159.0,,366895000000.0,229322000000.0,137573000000.0,137573000000.0,244904000000.0,382477000000.0,-218145000000.0,62133000000.0,-3891000000.0,635975000000.0,417764000000.0,417764000000.0,417764000000.0,2084086000000.0,85435000000.0,1998651000000.0,287359000000.0,152524000000.0,33342000000.0,1525426000000.0,3429032000000.0,3429032000000.0,2022-12-31
-249570892.874042,0.261057,-956000000.0,-956000000.0,1497631000000.0,205533000000.0,2785593000000.0,4080990000000.0,6866583000000.0,1498337429107.126,1497631000000.0,24975000000.0,397244787.0,388114802.0,3669.0,3754.0,1457531452987.0,604566012.0,1456926886975.0,40704113025.0,1497631000000.0,-1583000000.0,1499214000000.0,1499214000000.0,529650000000.0,2028864000000.0,-93665000000.0,-956000000.0,956000000.0,765146000000.0,378916000000.0,378916000000.0,378916000000.0,1365888000000.0,43992000000.0,1321896000000.0,205494000000.0,142696000000.0,24975000000.0,948731000000.0,4959588000000.0,4959588000000.0,2023-03-31
0.0,0.232518,,,1499056000000.0,211331000000.0,2973670000000.0,4156990000000.0,7130660000000.0,1499056000000.0,1499056000000.0,,392960694.0,384248339.0,3694.0,3776.0,1451596803160.0,611283413.0,1450985519747.0,48070480253.0,1499056000000.0,-5715000000.0,1504771000000.0,1504771000000.0,455889000000.0,1960660000000.0,-99298000000.0,,,288241000000.0,177103000000.0,177103000000.0,177103000000.0,1734729000000.0,,1734729000000.0,1592942000000.0,141787000000.0,,,4987094000000.0,4987094000000.0,2023-06-30
0.0,0.297283,,,1373755000000.0,,3087548000000.0,4325760000000.0,7413308000000.0,1373755000000.0,1373755000000.0,,406436391.0,397498553.0,3380.0,3456.0,1373755000000.0,,1373755000000.0,,1373755000000.0,31785000000.0,1341970000000.0,1341970000000.0,567718000000.0,1909688000000.0,-51079000000.0,,,7441000000.0,,,,1564691000000.0,,1564691000000.0,1564691000000.0,,,,4557544000000.0,4557544000000.0,2023-09-30
