treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,long_term_debt_and_capital_lease_obligation,long_term_debt,payables_and_accrued_expenses,current_accrued_expenses,total_assets,investments_and_advances,held_to_maturity_securities,available_for_sale_securities,goodwill_and_other_intangible_assets,other_intangible_assets,goodwill,net_ppe,accumulated_depreciation,gross_ppe,leases,other_properties,machinery_furniture_equipment,buildings_and_improvements,land_and_improvements,receivables,accounts_receivable,other_short_term_investments,cash_and_cash_equivalents,cash_financial,date,other_receivables
8770472.0,11400000.0,174007573.0,182778045.0,5879337000.0,6533680000.0,5058761000.0,14305887000.0,5342740000.0,7772207000.0,283979000.0,14589866000.0,8056186000.0,8056186000.0,-684960000.0,431762000.0,2713861000.0,6173240000.0,285807000.0,1828000.0,283979000.0,63221335000.0,6533680000.0,6533680000.0,1481485000.0,1481485000.0,71277521000.0,14457394000.0,6564697000.0,7693932000.0,2713446000.0,199342000.0,2514104000.0,430184000.0,-225152000.0,655336000.0,84477000.0,191068000.0,199695000.0,106180000.0,73916000.0,1618175000.0,1618175000.0,198765000.0,654343000.0,78518000.0,2022-12-31,
8065663.0,11400000.0,174712382.0,182778045.0,7385103000.0,9631874000.0,5149005000.0,17642189000.0,5432984000.0,8010315000.0,283979000.0,17926168000.0,8294294000.0,8294294000.0,-588020000.0,397981000.0,2856745000.0,6137743000.0,285807000.0,1828000.0,283979000.0,66550101000.0,9631874000.0,9631874000.0,1314594000.0,1314594000.0,74844395000.0,14862200000.0,7063223000.0,7757384000.0,2861310000.0,229845000.0,2631465000.0,431432000.0,,,,,,,,1597806000.0,1597806000.0,41593000.0,2246771000.0,14383000.0,2023-03-31,
9517081.0,11400000.0,173260964.0,182778045.0,4001870000.0,5362629000.0,5143630000.0,13358376000.0,5427609000.0,7995747000.0,283979000.0,13642355000.0,8279726000.0,8279726000.0,-718823000.0,455416000.0,3017445000.0,6150713000.0,285807000.0,1828000.0,283979000.0,65758517000.0,5362629000.0,5362629000.0,1404776000.0,1404776000.0,74038243000.0,14703125000.0,6943784000.0,7726177000.0,2852117000.0,220652000.0,2631465000.0,426310000.0,,,,,,,,1663199000.0,1663199000.0,33164000.0,1360759000.0,283623000.0,2023-06-30,
10721945.0,11400000.0,172056100.0,182778045.0,1086926000.0,2860757000.0,5072005000.0,10775979000.0,5355984000.0,7915222000.0,283979000.0,11059958000.0,8199201000.0,8199201000.0,-915779000.0,506003000.0,3170330000.0,6164846000.0,285807000.0,1828000.0,283979000.0,64931650000.0,2860757000.0,2860757000.0,1581635000.0,1581635000.0,73130851000.0,14529163000.0,6875772000.0,7606105000.0,2843217000.0,211752000.0,2631465000.0,431698000.0,,,,,,,,1627408000.0,1627408000.0,47286000.0,1773831000.0,7400000.0,2023-09-30,
10756089.0,11400000.0,172021956.0,182778045.0,1693043000.0,3408838000.0,5571417000.0,11814855000.0,5855396000.0,8406017000.0,283979000.0,12098834000.0,8689996000.0,8689996000.0,-550571000.0,507523000.0,3282530000.0,6179753000.0,285807000.0,1828000.0,283979000.0,66255253000.0,3408838000.0,3408838000.0,,,74945249000.0,16034317000.0,7074588000.0,8922771000.0,2834600000.0,203135000.0,2631465000.0,429561000.0,-186365000.0,615926000.0,88065000.0,183441000.0,162710000.0,107794000.0,73916000.0,3198241000.0,1890088000.0,36958000.0,1715795000.0,429323000.0,2023-12-31,1308153000.0
