tax_effect_of_unusual_items,tax_rate_for_calcs,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,preferred_stock_dividends,net_income,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,special_income_charges,other_special_charges,restructuring_and_mergern_acquisition,gain_on_sale_of_security,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,selling_and_marketing_expense,general_and_administrative_expense,insurance_and_claims,salaries_and_wages,total_revenue,operating_revenue,date,impairment_of_capital_assets
-9730967.390888,0.218457,-44544000.0,-44544000.0,244751000.0,18116000.0,602375000.0,141218000.0,743593000.0,279564032.609112,244751000.0,172699000.0,172522000.0,1.38,1.38,244150000.0,244150000.0,,4163000.0,244751000.0,244751000.0,244751000.0,68413000.0,313164000.0,-44544000.0,1786000.0,42758000.0,-4517000.0,8240000.0,8240000.0,8240000.0,8240000.0,182381000.0,5353000.0,177028000.0,6578000.0,170450000.0,701522000.0,701522000.0,2022-12-31,
-6756940.0,0.23,-29378000.0,-29378000.0,221004000.0,21086000.0,595283000.0,235645000.0,830928000.0,243625060.0,221004000.0,172883000.0,172766000.0,1.24,1.24,216841000.0,216841000.0,,4163000.0,221004000.0,221004000.0,221004000.0,65829000.0,286833000.0,-29378000.0,5000.0,29373000.0,-16747000.0,9497000.0,9497000.0,9497000.0,9497000.0,177752000.0,3341000.0,174411000.0,12323000.0,162088000.0,666049000.0,666049000.0,2023-03-31,
-8576400.0,0.21,-40840000.0,-40840000.0,234968000.0,19962000.0,583829000.0,349567000.0,933396000.0,267231600.0,234968000.0,172803000.0,172739000.0,1.32,1.32,228571000.0,228571000.0,2235000.0,4162000.0,234968000.0,234968000.0,234968000.0,62648000.0,297616000.0,-40840000.0,,40840000.0,-48000.0,9193000.0,9193000.0,9193000.0,9193000.0,184687000.0,4334000.0,180353000.0,13723000.0,166630000.0,673203000.0,673203000.0,2023-06-30,
-11523875.0,0.187,-61625000.0,-61625000.0,226475000.0,18662000.0,587136000.0,343653000.0,930789000.0,276576125.0,226475000.0,171350000.0,171210000.0,1.28,1.29,220167000.0,220167000.0,2146000.0,4162000.0,226475000.0,226475000.0,226475000.0,51965000.0,278440000.0,-61625000.0,,61625000.0,0.0,8899000.0,8899000.0,8899000.0,8899000.0,187296000.0,3236000.0,184060000.0,13310000.0,170750000.0,677518000.0,677518000.0,2023-09-30,
-13793012.016335,0.163446,-84389000.0,-84389000.0,185393000.0,17843000.0,571021000.0,362126000.0,933147000.0,255988987.983665,185393000.0,170623000.0,170415000.0,1.05,1.05,179519000.0,179519000.0,1711000.0,4163000.0,185393000.0,185393000.0,185393000.0,36222000.0,221615000.0,-84389000.0,47322000.0,30679000.0,-16825000.0,8618000.0,8618000.0,8618000.0,8618000.0,235720000.0,5211000.0,230509000.0,58725000.0,171784000.0,634836000.0,634836000.0,2023-12-31,6388000.0
