tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,preferred_stock_dividends,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_discontinuous_operations,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.210306,935000000.0,548000000.0,157000000.0,3006000000.0,935000000.0,778000000.0,-60000000.0,60000000.0,,548000000.0,554000000.0,4161000000.0,777000000.0,422900763.0,422900763.0,1.31,1.31,554000000.0,554000000.0,,554000000.0,-19000000.0,573000000.0,6000000.0,567000000.0,151000000.0,718000000.0,1000000.0,0.0,1000000.0,-60000000.0,60000000.0,,777000000.0,1155000000.0,271000000.0,884000000.0,1932000000.0,3006000000.0,4938000000.0,4938000000.0,2022-12-31
0.0,0.299,839000000.0,372000000.0,157000000.0,2816000000.0,839000000.0,682000000.0,-123000000.0,136000000.0,13000000.0,372000000.0,372000000.0,4148000000.0,559000000.0,457000000.0,454000000.0,0.41,0.42,189000000.0,189000000.0,183000000.0,372000000.0,-11000000.0,383000000.0,,383000000.0,163000000.0,546000000.0,110000000.0,106000000.0,4000000.0,-123000000.0,136000000.0,13000000.0,559000000.0,1332000000.0,270000000.0,1062000000.0,1891000000.0,2816000000.0,4707000000.0,4707000000.0,2023-03-31
0.0,0.24,863000000.0,418000000.0,156000000.0,2877000000.0,863000000.0,707000000.0,-137000000.0,137000000.0,,418000000.0,418000000.0,4247000000.0,570000000.0,458000000.0,455000000.0,0.91,0.92,418000000.0,418000000.0,,418000000.0,-15000000.0,433000000.0,0.0,433000000.0,137000000.0,570000000.0,137000000.0,132000000.0,5000000.0,-137000000.0,137000000.0,,570000000.0,1370000000.0,298000000.0,1072000000.0,1940000000.0,2877000000.0,4817000000.0,4817000000.0,2023-06-30
0.0,0.393,927000000.0,379000000.0,153000000.0,2887000000.0,927000000.0,774000000.0,-132000000.0,138000000.0,6000000.0,379000000.0,375000000.0,4205000000.0,617000000.0,458000000.0,455000000.0,0.82,0.82,375000000.0,375000000.0,,375000000.0,-7000000.0,382000000.0,-4000000.0,386000000.0,250000000.0,636000000.0,151000000.0,151000000.0,0.0,-132000000.0,138000000.0,6000000.0,617000000.0,1318000000.0,322000000.0,996000000.0,1935000000.0,2887000000.0,4822000000.0,4822000000.0,2023-09-30
0.0,0.316913,884000000.0,403000000.0,144000000.0,3050000000.0,884000000.0,740000000.0,-124000000.0,131000000.0,7000000.0,403000000.0,403000000.0,4517000000.0,689000000.0,,,,,403000000.0,403000000.0,0.0,403000000.0,-13000000.0,416000000.0,0.0,416000000.0,193000000.0,609000000.0,44000000.0,42000000.0,2000000.0,-124000000.0,131000000.0,7000000.0,689000000.0,1467000000.0,315000000.0,1152000000.0,2156000000.0,3050000000.0,5206000000.0,5206000000.0,2023-12-31
