tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,average_dilution_earnings,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,earnings_from_equity_interest,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,selling_general_and_administration,general_and_administrative_expense,other_gand_a,salaries_and_wages,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.157478,884546000.0,634864000.0,102241000.0,3743178000.0,884546000.0,782305000.0,-23855000.0,23855000.0,634864000.0,634864000.0,3988021000.0,759048000.0,175892000.0,174706000.0,3.61,3.63,634864000.0,,634864000.0,634864000.0,-4147000.0,639011000.0,639011000.0,119439000.0,758450000.0,-55961000.0,23257000.0,-79218000.0,-23855000.0,23855000.0,838266000.0,149281000.0,6679000.0,6679000.0,6679000.0,6679000.0,142602000.0,142602000.0,142602000.0,79218000.0,987547000.0,3838740000.0,4826287000.0,4826287000.0,2022-12-31
0.0,0.24,977990000.0,637310000.0,107694000.0,3736268000.0,977990000.0,870296000.0,-22507000.0,22507000.0,637310000.0,637310000.0,3988271000.0,835360000.0,172479000.0,171597000.0,3.7,3.71,637310000.0,,637310000.0,637310000.0,-7023000.0,644333000.0,644333000.0,203456000.0,847789000.0,-34639000.0,34936000.0,-69575000.0,-22507000.0,22507000.0,904935000.0,151187000.0,6878000.0,6878000.0,6878000.0,6878000.0,144309000.0,144309000.0,144309000.0,69575000.0,1056122000.0,3837084000.0,4893206000.0,4893206000.0,2023-03-31
0.0,0.24,1206053000.0,812107000.0,110970000.0,3674726000.0,1206053000.0,1095083000.0,-20767000.0,20767000.0,812107000.0,812107000.0,3926905000.0,1063735000.0,168865000.0,168009000.0,4.81,4.83,812107000.0,0.0,812107000.0,812107000.0,-4070000.0,816177000.0,816177000.0,258139000.0,1074316000.0,-59642000.0,31348000.0,-90990000.0,-20767000.0,20767000.0,1154725000.0,152133000.0,10924000.0,10924000.0,10924000.0,10924000.0,141209000.0,141209000.0,141209000.0,90990000.0,1306858000.0,3774772000.0,5081630000.0,5081630000.0,2023-06-30
0.0,0.232,880432000.0,577195000.0,107418000.0,3535780000.0,880432000.0,773014000.0,-18415000.0,18415000.0,577195000.0,577195000.0,3789094000.0,733550000.0,166105000.0,165170000.0,3.47,3.49,577195000.0,,577195000.0,577195000.0,-2587000.0,579782000.0,579782000.0,174817000.0,754599000.0,-24949000.0,39464000.0,-64413000.0,-18415000.0,18415000.0,797963000.0,154056000.0,8160000.0,8160000.0,8160000.0,8160000.0,145896000.0,145896000.0,145896000.0,,952019000.0,3635038000.0,4587057000.0,4587057000.0,2023-09-30
0.0,0.212451,668756000.0,424270000.0,111722000.0,3398903000.0,668756000.0,557034000.0,-14795000.0,14795000.0,424270000.0,424270000.0,3667832000.0,518536000.0,162276000.0,161434000.0,2.61,2.63,424270000.0,,424270000.0,424270000.0,-2770000.0,427040000.0,427040000.0,115199000.0,542239000.0,-8557000.0,38498000.0,-47055000.0,-14795000.0,14795000.0,565591000.0,165293000.0,8086000.0,8086000.0,8086000.0,8086000.0,157207000.0,,,,730884000.0,3502539000.0,4233423000.0,4233423000.0,2023-12-31
