treasury_shares_number,preferred_shares_number,ordinary_shares_number,share_issued,net_debt,total_debt,tangible_book_value,invested_capital,net_tangible_assets,common_stock_equity,preferred_stock_equity,total_capitalization,total_equity_gross_minority_interest,minority_interest,stockholders_equity,gains_losses_not_affecting_retained_earnings,other_equity_adjustments,treasury_stock,retained_earnings,additional_paid_in_capital,capital_stock,common_stock,preferred_stock,total_liabilities_net_minority_interest,long_term_debt_and_capital_lease_obligation,long_term_debt,current_debt_and_capital_lease_obligation,current_debt,line_of_credit,payables_and_accrued_expenses,payables,other_payable,total_assets,investments_and_advances,goodwill_and_other_intangible_assets,goodwill,receivables,loans_receivable,accounts_receivable,cash_cash_equivalents_and_short_term_investments,other_short_term_investments,cash_and_cash_equivalents,date
1172543436.0,20000000.0,734128056.0,1906671492.0,25136000000.0,27179000000.0,35590000000.0,66696000000.0,36075000000.0,39517000000.0,485000000.0,65681000000.0,42235000000.0,2233000000.0,40002000000.0,-22092000000.0,-22092000000.0,56473000000.0,33032000000.0,80284000000.0,5251000000.0,4766000000.0,485000000.0,484399000000.0,25679000000.0,25679000000.0,1500000000.0,1500000000.0,1500000000.0,30383000000.0,30383000000.0,30383000000.0,526634000000.0,243592000000.0,3927000000.0,3927000000.0,13243000000.0,4589000000.0,13243000000.0,240575000000.0,238532000000.0,2043000000.0,2022-12-31
1179092272.0,20000000.0,727579220.0,1906671492.0,24121000000.0,26044000000.0,43317000000.0,69361000000.0,43317000000.0,43317000000.0,,67861000000.0,46306000000.0,2989000000.0,43317000000.0,-19329000000.0,-19329000000.0,56857000000.0,34690000000.0,,84813000000.0,84813000000.0,,490321000000.0,24544000000.0,24544000000.0,1500000000.0,1500000000.0,1500000000.0,30368000000.0,30368000000.0,30368000000.0,536627000000.0,248003000000.0,,,15523000000.0,4405000000.0,15523000000.0,244573000000.0,242650000000.0,1923000000.0,2023-03-31
1189147491.0,20000000.0,717524001.0,1906671492.0,21862000000.0,24145000000.0,41969000000.0,66114000000.0,42454000000.0,41969000000.0,485000000.0,65099000000.0,46491000000.0,4037000000.0,42454000000.0,-18982000000.0,-18982000000.0,57408000000.0,35916000000.0,77677000000.0,5251000000.0,4766000000.0,485000000.0,490647000000.0,22645000000.0,22645000000.0,1500000000.0,1500000000.0,1500000000.0,29588000000.0,29588000000.0,29588000000.0,537138000000.0,239086000000.0,,,12428000000.0,4209000000.0,12428000000.0,235768000000.0,233485000000.0,2283000000.0,2023-06-30
1202096780.0,20000000.0,704574712.0,1906671492.0,22061000000.0,24055000000.0,39499000000.0,63554000000.0,39984000000.0,39499000000.0,485000000.0,63039000000.0,43213000000.0,3229000000.0,39984000000.0,-22529000000.0,-22529000000.0,58191000000.0,37689000000.0,77764000000.0,5251000000.0,4766000000.0,485000000.0,478308000000.0,23055000000.0,23055000000.0,1000000000.0,1000000000.0,1000000000.0,27691000000.0,27691000000.0,27691000000.0,521521000000.0,233343000000.0,,,11388000000.0,3060000000.0,11388000000.0,229982000000.0,227988000000.0,1994000000.0,2023-09-30
1217831721.0,20000000.0,688839771.0,1906671492.0,20232000000.0,22387000000.0,44866000000.0,67253000000.0,45351000000.0,44866000000.0,485000000.0,67488000000.0,51301000000.0,5950000000.0,45351000000.0,-14037000000.0,-14037000000.0,59189000000.0,37516000000.0,75810000000.0,5251000000.0,4766000000.0,485000000.0,488005000000.0,22137000000.0,22137000000.0,250000000.0,250000000.0,250000000.0,29484000000.0,29484000000.0,29484000000.0,539306000000.0,254902000000.0,,,10561000000.0,3102000000.0,10561000000.0,251088000000.0,248933000000.0,2155000000.0,2023-12-31
