symbol,sector,market_cap,ordinary_shares_number,date,predictions,prev_market_cap,fair_market_cup_via_diff,market_cap_norm,fair_market_cap_norm
TAP,Consumer Staples,10712081907.699232,216300000.0,2023-03-31,0.09186853330332372,14037584751.942228,15327197074.224262,49.52418820018138,70.86082789747694
TAP,Consumer Staples,14037584751.942228,216200000.0,2023-06-30,0.2548936394449093,13524281093.979492,16971534322.899904,64.92869913016757,78.4992336859385
TAP,Consumer Staples,13524281093.979492,215800000.0,2023-09-30,-0.023725296920725503,13029879140.059252,12720741388.620178,62.67044065792165,58.946901708156524
TAP,Consumer Staples,13029879140.059252,213300000.0,2023-12-31,0.01642742471997941,,,61.087103328922886,
