free_cash_flow,repurchase_of_capital_stock,repayment_of_debt,capital_expenditure,interest_paid_supplemental_data,income_tax_paid_supplemental_data,end_cash_position,beginning_cash_position,effect_of_exchange_rate_changes,changes_in_cash,financing_cash_flow,cash_flow_from_continuing_financing_activities,net_other_financing_charges,proceeds_from_stock_option_exercised,net_common_stock_issuance,common_stock_payments,net_issuance_payments_of_debt,net_long_term_debt_issuance,long_term_debt_payments,investing_cash_flow,cash_flow_from_continuing_investing_activities,net_other_investing_changes,net_business_purchase_and_sale,purchase_of_business,capital_expenditure_reported,operating_cash_flow,cash_flow_from_continuing_operating_activities,change_in_working_capital,change_in_other_working_capital,change_in_other_current_liabilities,change_in_other_current_assets,change_in_payables_and_accrued_expense,change_in_payable,change_in_account_payable,change_in_tax_payable,change_in_income_tax_payable,change_in_receivables,changes_in_account_receivables,other_non_cash_items,stock_based_compensation,provisionand_write_offof_assets,deferred_tax,deferred_income_tax,depreciation_amortization_depletion,depreciation_and_amortization,net_income_from_continuing_operations,date
164829000.0,-50000000.0,0.0,-9143000.0,8652000.0,73284000.0,614391000.0,632509000.0,8186000.0,-26304000.0,-47530000.0,-47530000.0,-2207000.0,4677000.0,-50000000.0,-50000000.0,0.0,0.0,0.0,-152746000.0,-152746000.0,48000.0,-143651000.0,-143651000.0,-9143000.0,173972000.0,173972000.0,-99957000.0,61206000.0,-6071000.0,-492000.0,93137000.0,93137000.0,102789000.0,-9652000.0,-9652000.0,-247737000.0,-181355000.0,5059000.0,46009000.0,3746000.0,-67156000.0,-67156000.0,28324000.0,28324000.0,257947000.0,2022-12-31
253874000.0,-196494000.0,,-6892000.0,10606000.0,7650000.0,507689000.0,614391000.0,1750000.0,-108452000.0,-240828000.0,-240828000.0,-52916000.0,8582000.0,-196494000.0,-196494000.0,,,,-128390000.0,-128390000.0,-914000.0,-120584000.0,-120584000.0,-6892000.0,260766000.0,260766000.0,81194000.0,-25879000.0,-7621000.0,-5798000.0,-133884000.0,-133884000.0,-135365000.0,1481000.0,1481000.0,254376000.0,185385000.0,5688000.0,44171000.0,-118000.0,-2915000.0,-2915000.0,32124000.0,32124000.0,100622000.0,2023-03-31
57721000.0,0.0,,-5145000.0,11241000.0,75985000.0,477875000.0,507689000.0,-2250000.0,-27564000.0,-3193000.0,-3193000.0,-8233000.0,5040000.0,0.0,0.0,,,,-87237000.0,-87237000.0,-4890000.0,-77202000.0,-77202000.0,-5145000.0,62866000.0,62866000.0,-70467000.0,-19492000.0,1605000.0,3951000.0,16507000.0,16507000.0,12413000.0,4094000.0,4094000.0,-73038000.0,-51950000.0,5917000.0,56301000.0,2429000.0,-33849000.0,-33849000.0,33009000.0,33009000.0,69526000.0,2023-06-30
156264000.0,0.0,,-4504000.0,11948000.0,16500000.0,639342000.0,477875000.0,-6183000.0,167650000.0,11421000.0,11421000.0,-972000.0,12393000.0,0.0,0.0,,,,-4539000.0,-4539000.0,-35000.0,0.0,0.0,-4504000.0,160768000.0,160768000.0,43581000.0,-19871000.0,172000.0,-4050000.0,18507000.0,18507000.0,17755000.0,752000.0,752000.0,48823000.0,35523000.0,7272000.0,58061000.0,131000.0,-37662000.0,-37662000.0,33883000.0,33883000.0,55502000.0,2023-09-30
223945000.0,0.0,,-8777000.0,12274000.0,43982000.0,860201000.0,639342000.0,6732000.0,214127000.0,1281000.0,1281000.0,-2818000.0,4099000.0,0.0,0.0,,,,-19876000.0,-19876000.0,26000.0,-11125000.0,-11125000.0,-8777000.0,232722000.0,232722000.0,-128143000.0,99749000.0,-2799000.0,-2666000.0,140454000.0,140454000.0,133050000.0,7404000.0,7404000.0,-362881000.0,-271474000.0,5875000.0,63358000.0,262000.0,-16880000.0,-16880000.0,33488000.0,33488000.0,274762000.0,2023-12-31
