tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,interest_income,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,total_operating_income_as_reported,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,earnings_from_equity_interest,net_non_operating_interest_income_expense,total_other_finance_cost,interest_expense_non_operating,interest_income_non_operating,operating_income,operating_expense,research_and_development,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
0.0,0.22824,532696000000.0,244655000000.0,179586000000.0,3539583000000.0,532696000000.0,353110000000.0,-2886000000.0,9564000000.0,22998000000.0,244655000000.0,244655000000.0,4157695000000.0,280491000000.0,1693213206.0,1693213206.0,144.49,144.49,244655000000.0,244655000000.0,244655000000.0,-20480000000.0,265135000000.0,265135000000.0,78411000000.0,343546000000.0,65941000000.0,65941000000.0,-2886000000.0,16320000000.0,9564000000.0,22998000000.0,280491000000.0,618112000000.0,220750000000.0,397362000000.0,898603000000.0,3539583000000.0,4438186000000.0,4438186000000.0,2022-12-31
0.0,0.232,215826000000.0,68247000000.0,184740000000.0,3530639000000.0,215826000000.0,31086000000.0,43093000000.0,10898000000.0,25048000000.0,68247000000.0,68247000000.0,4337409000000.0,46826000000.0,,,,,68247000000.0,68247000000.0,68247000000.0,-15188000000.0,83435000000.0,83435000000.0,-63247000000.0,20188000000.0,-69731000000.0,-31442000000.0,43093000000.0,-28943000000.0,10898000000.0,25048000000.0,46826000000.0,806770000000.0,279002000000.0,527768000000.0,853596000000.0,3530639000000.0,4384235000000.0,4384235000000.0,2023-03-31
0.0,0.256308,709663000000.0,363069000000.0,185697000000.0,3627891000000.0,709663000000.0,523966000000.0,77624000000.0,9042000000.0,32855000000.0,363069000000.0,363069000000.0,4230549000000.0,394447000000.0,1657432651.0,1657432651.0,219.06,219.06,363069000000.0,363069000000.0,363069000000.0,-19876000000.0,382945000000.0,382945000000.0,131979000000.0,514924000000.0,42853000000.0,42853000000.0,77624000000.0,-53811000000.0,9042000000.0,32855000000.0,394447000000.0,602658000000.0,197955000000.0,404703000000.0,997105000000.0,3627891000000.0,4624996000000.0,4624996000000.0,2023-06-30
0.0,0.256287,563292000000.0,253232000000.0,188078000000.0,3893860000000.0,563292000000.0,375214000000.0,38364000000.0,10853000000.0,44990000000.0,253232000000.0,253232000000.0,4682270000000.0,302126000000.0,1639514526.0,1639514526.0,154.47,154.47,253232000000.0,253232000000.0,253232000000.0,-17748000000.0,270980000000.0,270980000000.0,93381000000.0,364361000000.0,23871000000.0,23871000000.0,38364000000.0,-4227000000.0,10853000000.0,44990000000.0,302126000000.0,788410000000.0,206239000000.0,582171000000.0,1090536000000.0,3893860000000.0,4984396000000.0,4984396000000.0,2023-09-30
0.0,0.297148,626972000000.0,253308000000.0,229592000000.0,4215973000000.0,626972000000.0,397380000000.0,4884000000.0,12141000000.0,42982000000.0,253308000000.0,253308000000.0,5010288000000.0,379812000000.0,1622521138.0,1622521138.0,156.12,156.12,253308000000.0,253308000000.0,253308000000.0,-17458000000.0,270766000000.0,270766000000.0,114473000000.0,385239000000.0,543000000.0,543000000.0,4884000000.0,25957000000.0,12141000000.0,42982000000.0,379812000000.0,794315000000.0,227197000000.0,567118000000.0,1174127000000.0,4215973000000.0,5390100000000.0,5390100000000.0,2023-12-31
