tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_income_expense,other_non_operating_income_expenses,special_income_charges,gain_on_sale_of_business,write_off,impairment_of_capital_assets,restructuring_and_mergern_acquisition,earnings_from_equity_interest,gain_on_sale_of_security,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,depreciation_amortization_depletion_income_statement,depreciation_and_amortization_in_income_statement,amortization,amortization_of_intangibles_income_statement,depreciation_income_statement,selling_general_and_administration,gross_profit,cost_of_revenue,total_revenue,operating_revenue,date
-46267123.287671,0.239726,750000000.0,-193000000.0,-193000000.0,95000000.0,349000000.0,8403000000.0,557000000.0,208000000.0,-17000000.0,62000000.0,241732876.712329,95000000.0,9229000000.0,286300000.0,285900000.0,0.33,0.33,95000000.0,95000000.0,95000000.0,-16000000.0,111000000.0,111000000.0,35000000.0,146000000.0,-176000000.0,,-92000000.0,-58000000.0,,,-342000000.0,17000000.0,-101000000.0,-17000000.0,62000000.0,339000000.0,826000000.0,349000000.0,349000000.0,,,,477000000.0,1165000000.0,8403000000.0,9568000000.0,9568000000.0,2022-12-31
-30672000.0,0.216,802000000.0,-142000000.0,-142000000.0,209000000.0,365000000.0,9416000000.0,660000000.0,295000000.0,-20000000.0,20000000.0,320328000.0,209000000.0,10269000000.0,286600000.0,286095777.0,0.73,0.730525,209000000.0,209000000.0,209000000.0,-8000000.0,217000000.0,217000000.0,58000000.0,275000000.0,-109000000.0,-142000000.0,-118000000.0,0.0,0.0,,118000000.0,33000000.0,-24000000.0,-20000000.0,20000000.0,404000000.0,853000000.0,365000000.0,365000000.0,,,,488000000.0,1257000000.0,9416000000.0,10673000000.0,10673000000.0,2023-03-31
-13734000.0,0.218,946000000.0,-63000000.0,-63000000.0,339000000.0,366000000.0,9544000000.0,883000000.0,517000000.0,-34000000.0,34000000.0,388266000.0,339000000.0,10415000000.0,286300000.0,286200000.0,1.18,1.18,339000000.0,339000000.0,339000000.0,-15000000.0,354000000.0,354000000.0,129000000.0,483000000.0,-50000000.0,-23000000.0,35000000.0,,0.0,,-35000000.0,36000000.0,-98000000.0,-34000000.0,34000000.0,567000000.0,871000000.0,366000000.0,366000000.0,,,,505000000.0,1438000000.0,9544000000.0,10982000000.0,10982000000.0,2023-06-30
876000.0,0.219,973000000.0,4000000.0,4000000.0,394000000.0,390000000.0,9264000000.0,977000000.0,587000000.0,-49000000.0,49000000.0,390876000.0,394000000.0,10145000000.0,286800000.0,286300000.0,1.37,1.37,394000000.0,394000000.0,394000000.0,-23000000.0,417000000.0,417000000.0,121000000.0,538000000.0,44000000.0,-16000000.0,-15000000.0,,16000000.0,0.0,-1000000.0,40000000.0,19000000.0,-49000000.0,49000000.0,543000000.0,881000000.0,390000000.0,390000000.0,32000000.0,32000000.0,358000000.0,491000000.0,1424000000.0,9264000000.0,10688000000.0,10688000000.0,2023-09-30
-6348387.096774,0.03871,1240000000.0,-164000000.0,-164000000.0,271000000.0,627000000.0,8737000000.0,1076000000.0,449000000.0,-53000000.0,139000000.0,428651612.903226,271000000.0,9930000000.0,286600000.0,286400000.0,0.94,0.95,271000000.0,271000000.0,271000000.0,-27000000.0,298000000.0,298000000.0,12000000.0,310000000.0,-161000000.0,,-66000000.0,,-16000000.0,,66000000.0,3000000.0,-98000000.0,-53000000.0,139000000.0,524000000.0,969000000.0,403000000.0,403000000.0,31000000.0,31000000.0,372000000.0,566000000.0,1493000000.0,8961000000.0,10454000000.0,10454000000.0,2023-12-31
